Data File Name,Eukaryote Total RNA Nano_2020-10-15_13-51-11.xad
Data File Path,C:\Program Files (x86)\Agilent\2100 bioanalyzer\2100 expert\Data\2020-10-15
Date Created,"Thursday, October 15, 2020 8:51:11 PM"
Date Last Modified,"Thursday, October 15, 2020 9:30:27 PM"
Version Created,B.02.10.SI764
Version Last Modified,B.02.10.SI764
 
Assay Name,Eukaryote Total RNA Nano Series II
Assay Path,C:\Program Files (x86)\Agilent\2100 bioanalyzer\2100 expert\assays\RNA
Assay Title,Eukaryote Total RNA Nano
Assay Version,2.6
 
Number of Samples Run,12
 
Sample Name,RNA-U*-7
Number of Events,1060
 
Time,Value
17,-1.774979E-02
17.05,-1.774979E-02
17.1,-1.774979E-02
17.15,-1.774979E-02
17.2,-1.774979E-02
17.25,-1.774979E-02
17.3,-1.774979E-02
17.35,-1.774979E-02
17.4,-1.774979E-02
17.45,-1.774979E-02
17.5,-1.774979E-02
17.55,-1.300923E-02
17.6,-1.656222E-02
17.65,-2.555654E-02
17.7,-4.742055E-02
17.75,-0.0475307
17.8,-3.788089E-02
17.85,-4.496178E-02
17.9,-5.057337E-02
17.95,-0.0450838
18,-2.799632E-02
18.05,-9.313318E-03
18.1,4.755926E-03
18.15,1.753158E-02
18.2,1.577985E-02
18.25,-5.139558E-03
18.3,-2.145139E-02
18.35,-1.290567E-02
18.4,1.116087E-02
18.45,2.441954E-02
18.5,2.103963E-02
18.55,8.069416E-03
18.6,-1.482693E-05
18.65,-2.239141E-02
18.7,-2.924636E-02
18.75,-3.203201E-02
18.8,-2.093871E-02
18.85,-8.140659E-03
18.9,-3.128836E-04
18.95,4.53433E-03
19,8.63808E-03
19.05,-8.958154E-03
19.1,-2.010914E-02
19.15,-1.701074E-02
19.2,4.211273E-03
19.25,2.352153E-02
19.3,1.481188E-02
19.35,6.949218E-03
19.4,-1.644549E-02
19.45,-2.718408E-02
19.5,-2.666825E-02
19.55,-1.356053E-02
19.6,2.991721E-03
19.65,4.112884E-03
19.7,-1.204594E-02
19.75,-1.648558E-02
19.8,-1.556959E-02
19.85,-2.311565E-03
19.9,2.616462E-02
19.95,3.933076E-02
20,3.514047E-02
20.05,2.442415E-02
20.1,1.419261E-02
20.15,2.118437E-02
20.2,3.023913E-02
20.25,3.922275E-02
20.3,4.748064E-02
20.35,2.090571E-02
20.4,5.762947E-04
20.45,4.97996E-03
20.5,-2.03913E-03
20.55,-1.325842E-02
20.6,1.650943E-03
20.65,4.174059E-02
20.7,7.345252E-02
20.75,6.500398E-02
20.8,6.947157E-02
20.85,0.0691897
20.9,4.664429E-02
20.95,2.010689E-02
21,2.158131E-02
21.05,1.883794E-02
21.1,2.567241E-02
21.15,2.469957E-02
21.2,3.081691E-02
21.25,3.832657E-02
21.3,3.248132E-02
21.35,2.941251E-02
21.4,3.355215E-02
21.45,3.154786E-02
21.5,3.161138E-02
21.55,2.064428E-02
21.6,4.141186E-03
21.65,9.156512E-03
21.7,2.680597E-02
21.75,3.940491E-02
21.8,4.155512E-02
21.85,4.210206E-02
21.9,0.0539259
21.95,5.928683E-02
22,5.934038E-02
22.05,3.629439E-02
22.1,1.108812E-03
22.15,9.779915E-02
22.2,0.8451474
22.25,2.739932
22.3,5.885939
22.35,9.839086
22.4,13.64715
22.45,16.19442
22.5,16.80414
22.55,15.44811
22.6,12.9942
22.65,10.18947
22.7,7.584804
22.75,5.413471
22.8,3.708432
22.85,2.408845
22.9,1.470586
22.95,0.8501187
23,0.495984
23.05,0.3002455
23.1,0.1971464
23.15,0.1349113
23.2,0.1009655
23.25,0.0943187
23.3,0.1095067
23.35,0.1280986
23.4,0.1392376
23.45,0.1504403
23.5,0.1704773
23.55,0.1908131
23.6,0.2014707
23.65,0.2153971
23.7,0.2269049
23.75,0.2275899
23.8,0.2216585
23.85,0.2336738
23.9,0.2362902
23.95,0.230009
24,0.223868
24.05,0.2264777
24.1,0.230627
24.15,0.2598818
24.2,0.2769621
24.25,0.3014848
24.3,0.308229
24.35,0.2994195
24.4,0.2904947
24.45,0.2826474
24.5,0.2659256
24.55,0.2821206
24.6,0.2741759
24.65,0.2613177
24.7,0.2657555
24.75,0.2805986
24.8,0.2938309
24.85,0.3082906
24.9,0.3204471
24.95,0.3417089
25,0.3530379
25.05,0.3536987
25.1,0.3624623
25.15,0.3636211
25.2,0.337229
25.25,0.3050212
25.3,0.2857663
25.35,0.2719482
25.4,0.2806367
25.45,0.3147172
25.5,0.3590776
25.55,0.4067094
25.6,0.4521702
25.65,0.5132847
25.7,0.5723943
25.75,0.6107917
25.8,0.6294616
25.85,0.6447042
25.9,0.6534321
25.95,0.6766365
26,0.7065861
26.05,0.7487025
26.1,0.7738347
26.15,0.7729904
26.2,0.7633028
26.25,0.7428417
26.3,0.711663
26.35,0.662671
26.4,0.6055723
26.45,0.5681759
26.5,0.5421431
26.55,0.5191681
26.6,0.5105295
26.65,0.5053898
26.7,0.4974885
26.75,0.499093
26.8,0.5322432
26.85,0.5964362
26.9,0.6848013
26.95,0.8054447
27,0.9622807
27.05,1.133456
27.1,1.281921
27.15,1.398494
27.2,1.471395
27.25,1.501732
27.3,1.521713
27.35,1.581203
27.4,1.653294
27.45,1.706684
27.5,1.746389
27.55,1.777813
27.6,1.79589
27.65,1.787242
27.7,1.758872
27.75,1.717351
27.8,1.669615
27.85,1.606598
27.9,1.596219
27.95,1.637133
28,1.674069
28.05,1.718798
28.1,1.801906
28.15,1.961991
28.2,2.2259
28.25,2.561827
28.3,2.942531
28.35,3.308149
28.4,3.640398
28.45,3.946907
28.5,4.198333
28.55,4.371282
28.6,4.435626
28.65,4.384808
28.7,4.296052
28.75,4.271621
28.8,4.38741
28.85,4.643968
28.9,4.956469
28.95,5.294029
29,5.716489
29.05,6.367419
29.1,7.302589
29.15,8.483075
29.2,9.791934
29.25,11.08553
29.3,12.23158
29.35,13.24021
29.4,14.42388
29.45,16.1432
29.5,18.37878
29.55,20.75687
29.6,22.79964
29.65,24.01452
29.7,23.9751
29.75,22.69625
29.8,20.52755
29.85,17.88157
29.9,15.1398
29.95,12.61402
30,10.57562
30.05,9.085463
30.1,8.038624
30.15,7.282171
30.2,6.667157
30.25,6.115344
30.3,5.627008
30.35,5.246315
30.4,5.006991
30.45,4.846547
30.5,4.652362
30.55,4.362339
30.6,3.962708
30.65,3.499353
30.7,3.015751
30.75,2.598651
30.8,2.28334
30.85,2.07537
30.9,1.926235
30.95,1.807347
31,1.698651
31.05,1.611643
31.1,1.655049
31.15,1.862102
31.2,2.225417
31.25,2.65189
31.3,3.050181
31.35,3.309951
31.4,3.376876
31.45,3.291548
31.5,3.150712
31.55,2.978318
31.6,2.858479
31.65,2.79499
31.7,2.746513
31.75,2.654982
31.8,2.483308
31.85,2.285185
31.9,2.149947
31.95,2.129441
32,2.228302
32.05,2.354395
32.1,2.374618
32.15,2.263155
32.2,2.065649
32.25,1.856358
32.3,1.757348
32.35,1.838049
32.4,2.119881
32.45,2.497181
32.5,2.84366
32.55,3.09712
32.6,3.198834
32.65,3.148972
32.7,3.009927
32.75,2.868181
32.8,2.846397
32.85,2.927043
32.9,3.085717
32.95,3.300858
33,3.505064
33.05,3.657455
33.1,3.725446
33.15,3.719938
33.2,3.709269
33.25,3.742836
33.3,3.944483
33.35,4.383754
33.4,5.02338
33.45,5.701437
33.5,6.248514
33.55,6.578028
33.6,6.694474
33.65,6.618906
33.7,6.394363
33.75,6.062061
33.8,5.655396
33.85,5.217247
33.9,4.836316
33.95,4.640726
34,4.656191
34.05,4.783447
34.1,4.949622
34.15,5.13438
34.2,5.307697
34.25,5.536733
34.3,5.787289
34.35,6.043906
34.4,6.1865
34.45,6.113048
34.5,5.93042
34.55,5.632165
34.6,5.356022
34.65,5.196466
34.7,5.091936
34.75,5.039812
34.8,4.976158
34.85,4.946859
34.9,4.978713
34.95,5.072361
35,5.218349
35.05,5.326544
35.1,5.351444
35.15,5.248826
35.2,5.009028
35.25,4.73701
35.3,4.531136
35.35,4.463884
35.4,4.536309
35.45,4.744154
35.5,5.099844
35.55,5.614602
35.6,6.299428
35.65,7.137398
35.7,7.988431
35.75,8.600287
35.8,8.896342
35.85,9.04383
35.9,9.344286
35.95,10.16062
36,11.59164
36.05,13.57772
36.1,15.94618
36.15,18.88348
36.2,23.82512
36.25,33.73362
36.3,52.62125
36.35,83.84171
36.4,125.6624
36.45,168.8806
36.5,201.9998
36.55,215.3989
36.6,206.4381
36.65,179.2781
36.7,142.6249
36.75,105.5968
36.8,74.11697
36.85,50.09348
36.9,33.03797
36.95,21.4374
37,13.90051
37.05,9.085062
37.1,5.940033
37.15,3.881808
37.2,2.596668
37.25,1.806638
37.3,1.301754
37.35,0.9853449
37.4,0.7784145
37.45,0.6237743
37.5,0.5010007
37.55,0.4195052
37.6,0.3703483
37.65,0.3468887
37.7,0.3438286
37.75,0.3665201
37.8,0.3806622
37.85,0.4169793
37.9,0.4796664
37.95,0.5453474
38,0.5599536
38.05,0.5897298
38.1,0.6033326
38.15,0.6214234
38.2,0.6466928
38.25,0.6875883
38.3,0.7112246
38.35,0.7107139
38.4,0.7102071
38.45,0.7855782
38.5,0.9660407
38.55,1.30795
38.6,1.83201
38.65,2.456518
38.7,3.043596
38.75,3.453515
38.8,3.574306
38.85,3.384971
38.9,2.971472
38.95,2.457645
39,1.946093
39.05,1.495151
39.1,1.121043
39.15,0.8278286
39.2,0.6090569
39.25,0.4443638
39.3,0.3335017
39.35,0.2707708
39.4,0.2336314
39.45,0.2172375
39.5,0.2152467
39.55,0.2510874
39.6,0.2812114
39.65,0.2894646
39.7,0.3125832
39.75,0.3326297
39.8,0.3274103
39.85,0.3012864
39.9,0.2850523
39.95,0.2971086
40,0.2797912
40.05,0.2942642
40.1,0.3366004
40.15,0.347426
40.2,0.3522522
40.25,0.3638771
40.3,0.3803566
40.35,0.3888052
40.4,0.3904729
40.45,0.3776652
40.5,0.360168
40.55,0.3422619
40.6,0.3346129
40.65,0.3344909
40.7,0.3485813
40.75,0.3833665
40.8,0.4202899
40.85,0.4546531
40.9,0.4964495
40.95,0.526166
41,0.5209215
41.05,0.5175799
41.1,0.5130762
41.15,0.5196128
41.2,0.5307934
41.25,0.5515138
41.3,0.5667645
41.35,0.5865604
41.4,0.5989263
41.45,0.6395787
41.5,0.7205923
41.55,0.8829148
41.6,1.124631
41.65,1.423706
41.7,1.796336
41.75,2.159153
41.8,2.432893
41.85,2.552182
41.9,2.466493
41.95,2.244369
42,1.907332
42.05,1.561716
42.1,1.295157
42.15,1.075847
42.2,0.8995309
42.25,0.7568138
42.3,0.6386198
42.35,0.5573897
42.4,0.4952486
42.45,0.4558427
42.5,0.4385006
42.55,0.4106498
42.6,0.3672736
42.65,0.3283018
42.7,0.3223493
42.75,0.3250454
42.8,0.3247775
42.85,0.332164
42.9,0.3361571
42.95,0.3545345
43,0.3420665
43.05,0.3325473
43.1,0.3539068
43.15,0.3418232
43.2,0.307915
43.25,0.3033186
43.3,0.3010367
43.35,0.30473
43.4,0.2635973
43.45,0.2573333
43.5,0.2542026
43.55,0.2396955
43.6,0.2415606
43.65,0.2446359
43.7,0.2379222
43.75,0.2241112
43.8,0.2157011
43.85,0.2118421
43.9,0.2097088
43.95,0.2145373
44,0.2205703
44.05,0.2252988
44.1,0.2326019
44.15,0.2442677
44.2,0.2616552
44.25,0.2683448
44.3,0.2593126
44.35,0.2454816
44.4,0.2147789
44.45,0.184319
44.5,0.175801
44.55,0.1816629
44.6,0.2016492
44.65,0.2165918
44.7,0.203811
44.75,0.2006171
44.8,0.1799114
44.85,0.1783589
44.9,0.1954752
44.95,0.2023648
45,0.1879692
45.05,0.172429
45.1,0.1570816
45.15,0.1440132
45.2,0.1378435
45.25,0.1585774
45.3,0.1868927
45.35,0.2055743
45.4,0.2090193
45.45,0.2147117
45.5,0.1966215
45.55,0.1722348
45.6,0.1650431
45.65,0.1649992
45.7,0.1562844
45.75,0.1433861
45.8,0.141578
45.85,0.1488755
45.9,0.1493456
45.95,0.1448394
46,0.1439468
46.05,0.142679
46.1,0.1371965
46.15,0.1370068
46.2,0.157654
46.25,0.175179
46.3,0.1701897
46.35,0.1544391
46.4,0.1460219
46.45,0.1577949
46.5,0.155884
46.55,0.1666527
46.6,0.178515
46.65,0.1873197
46.7,0.1835019
46.75,0.1803605
46.8,0.1826536
46.85,0.1934426
46.9,0.1871013
46.95,0.189034
47,0.2017281
47.05,0.2130818
47.1,0.2086073
47.15,0.1900962
47.2,0.1854076
47.25,0.1927113
47.3,0.1962556
47.35,0.2024666
47.4,0.2187928
47.45,0.2177995
47.5,0.2053768
47.55,0.1999331
47.6,0.207943
47.65,0.2283189
47.7,0.2462431
47.75,0.2676952
47.8,0.2933026
47.85,0.2979733
47.9,0.2961198
47.95,0.2936477
48,0.2851526
48.05,0.2787123
48.1,0.2745995
48.15,0.2649134
48.2,0.2625532
48.25,0.2495004
48.3,0.2569125
48.35,0.2428641
48.4,0.2300398
48.45,0.2315938
48.5,0.2387805
48.55,0.2457971
48.6,0.2611844
48.65,0.2762165
48.7,0.2777056
48.75,0.2642739
48.8,0.2747324
48.85,0.2681936
48.9,0.259179
48.95,0.245869
49,0.2158851
49.05,0.2033196
49.1,0.2099793
49.15,0.2203767
49.2,0.2406625
49.25,0.2465255
49.3,0.2379265
49.35,0.2179287
49.4,0.1969691
49.45,0.2067467
49.5,0.2198103
49.55,0.2060858
49.6,0.1999018
49.65,0.2052762
49.7,0.2060739
49.75,0.2238303
49.8,0.2337844
49.85,0.2522967
49.9,0.2548071
49.95,0.2325919
50,0.2208768
50.05,0.2150238
50.1,0.1880285
50.15,0.1768799
50.2,0.1762761
50.25,0.1932396
50.3,0.2065384
50.35,0.1930968
50.4,0.1822456
50.45,0.1764549
50.5,0.1893542
50.55,0.2319991
50.6,0.2735493
50.65,0.2984492
50.7,0.296436
50.75,0.2813849
50.8,0.26129
50.85,0.2447112
50.9,0.2439748
50.95,0.2490227
51,0.2433193
51.05,0.2270451
51.1,0.2167925
51.15,0.2167821
51.2,0.2149674
51.25,0.2166006
51.3,0.232109
51.35,0.2423588
51.4,0.2306611
51.45,0.2231254
51.5,0.2361123
51.55,0.2583469
51.6,0.2645585
51.65,0.2440506
51.7,0.2374955
51.75,0.2297178
51.8,0.2372465
51.85,0.240916
51.9,0.2405895
51.95,0.2314506
52,0.2262156
52.05,0.2030657
52.1,0.2209831
52.15,0.2403854
52.2,0.2586817
52.25,0.2488668
52.3,0.2599911
52.35,0.2650579
52.4,0.2666824
52.45,0.2769361
52.5,0.2777036
52.55,0.2679263
52.6,0.2467521
52.65,0.2364696
52.7,0.2419504
52.75,0.249747
52.8,0.2540523
52.85,0.2531461
52.9,0.2415256
52.95,0.2233754
53,0.2091808
53.05,0.2067538
53.1,0.2255087
53.15,0.2466323
53.2,0.2659988
53.25,0.2757009
53.3,0.281609
53.35,0.2908076
53.4,0.2869325
53.45,0.2729665
53.5,0.2946784
53.55,0.3114962
53.6,0.31531
53.65,0.3001372
53.7,0.2804035
53.75,0.2488132
53.8,0.2093617
53.85,0.210704
53.9,0.2401841
53.95,0.2585907
54,0.263401
54.05,0.2657803
54.1,0.2654465
54.15,0.2555064
54.2,0.2581926
54.25,0.2625456
54.3,0.2490785
54.35,0.2340707
54.4,0.2327558
54.45,0.2470421
54.5,0.2584595
54.55,0.2618549
54.6,0.2648296
54.65,0.2481014
54.7,0.2153844
54.75,0.1915104
54.8,0.1651087
54.85,0.1439067
54.9,0.1445304
54.95,0.1754378
55,0.2099363
55.05,0.2421464
55.1,0.2597274
55.15,0.2442042
55.2,0.2311127
55.25,0.2401396
55.3,0.2616402
55.35,0.2909247
55.4,0.2896577
55.45,0.2749419
55.5,0.2558187
55.55,0.2417249
55.6,0.2452889
55.65,0.2474372
55.7,0.2478963
55.75,0.245653
55.8,0.2290995
55.85,0.2284008
55.9,0.2403037
55.95,0.24094
56,0.2397083
56.05,0.2328314
