Data File Name,Eukaryote Total RNA Nano_2020-10-12_16-12-18.xad
Data File Path,C:\Program Files (x86)\Agilent\2100 bioanalyzer\2100 expert\data\2020-10-12
Date Created,"Monday, October 12, 2020 11:12:17 PM"
Date Last Modified,"Monday, October 12, 2020 11:34:43 PM"
Version Created,B.02.10.SI764
Version Last Modified,B.02.10.SI764
 
Assay Name,Eukaryote Total RNA Nano Series II
Assay Path,C:\Program Files (x86)\Agilent\2100 bioanalyzer\2100 expert\assays\RNA
Assay Title,Eukaryote Total RNA Nano
Assay Version,2.6
 
Number of Samples Run,11
 
Sample Name,RNA4_TP10
Number of Events,1060
 
Time,Value
17,3.676605E-02
17.05,2.457428E-02
17.1,3.553009E-02
17.15,6.023407E-03
17.2,-7.183075E-03
17.25,-1.760864E-02
17.3,-2.391815E-02
17.35,-4.082108E-02
17.4,-3.239059E-02
17.45,-1.853561E-02
17.5,-1.565552E-02
17.55,-2.003479E-02
17.6,-6.679535E-03
17.65,-2.023697E-02
17.7,-1.806641E-02
17.75,-1.220322E-02
17.8,2.624512E-03
17.85,-5.462646E-03
17.9,-1.564407E-02
17.95,-2.077866E-02
18,-2.088928E-02
18.05,-2.906036E-02
18.1,-2.455521E-02
18.15,-1.906204E-02
18.2,-2.233887E-02
18.25,-1.479721E-02
18.3,-1.141739E-02
18.35,-5.836487E-03
18.4,-1.64032E-03
18.45,-2.415466E-02
18.5,-4.870224E-02
18.55,-3.611374E-02
18.6,-1.013184E-02
18.65,3.629684E-02
18.7,6.500626E-02
18.75,7.022858E-02
18.8,5.958939E-02
18.85,2.140045E-02
18.9,-6.969452E-03
18.95,8.354187E-03
19,1.663971E-02
19.05,0.0240593
19.1,1.586914E-03
19.15,-2.357101E-02
19.2,-2.602386E-02
19.25,-4.894257E-02
19.3,-5.693817E-02
19.35,-2.152252E-02
19.4,-9.002686E-03
19.45,-1.527786E-02
19.5,-9.361267E-03
19.55,3.546906E-02
19.6,0.0469017
19.65,4.007339E-02
19.7,2.748489E-02
19.75,1.670837E-03
19.8,-1.992798E-02
19.85,-1.501083E-02
19.9,2.593231E-02
19.95,4.819107E-02
20,5.480576E-02
20.05,4.864883E-02
20.1,2.135468E-02
20.15,1.346207E-02
20.2,1.926804E-02
20.25,1.932526E-02
20.3,2.803802E-02
20.35,1.815796E-03
20.4,1.876831E-03
20.45,-4.138947E-03
20.5,-1.221848E-02
20.55,8.647919E-03
20.6,2.230453E-02
20.65,3.634262E-02
20.7,3.659439E-02
20.75,2.580643E-02
20.8,4.322052E-02
20.85,4.945374E-02
20.9,4.145813E-02
20.95,5.302811E-02
21,2.961349E-02
21.05,3.214264E-02
21.1,0.013134
21.15,7.083893E-03
21.2,1.301956E-02
21.25,1.873779E-02
21.3,3.033066E-02
21.35,4.533005E-02
21.4,4.693604E-02
21.45,5.410767E-02
21.5,3.778458E-02
21.55,3.335953E-02
21.6,2.342987E-02
21.65,2.422714E-02
21.7,2.907562E-02
21.75,4.651642E-02
21.8,4.544067E-02
21.85,4.758453E-02
21.9,6.497192E-02
21.95,6.008911E-02
22,4.695892E-02
22.05,3.375626E-02
22.1,2.240753E-02
22.15,3.624725E-02
22.2,4.165268E-02
22.25,4.658508E-02
22.3,0.0374794
22.35,-5.199432E-03
22.4,-2.930832E-02
22.45,-4.905319E-02
22.5,-0.0507164
22.55,-3.891373E-02
22.6,-2.091599E-02
22.65,-2.366638E-02
22.7,1.172638E-02
22.75,0.4748611
22.8,1.879543
22.85,4.391602
22.9,7.570587
22.95,10.61433
23,12.70074
23.05,13.2508
23.1,12.34471
23.15,10.5989
23.2,8.542717
23.25,6.541168
23.3,4.781109
23.35,3.366997
23.4,2.274586
23.45,1.454411
23.5,0.924572
23.55,0.58992
23.6,0.3656578
23.65,0.2408333
23.7,0.2040977
23.75,0.1891632
23.8,0.1780243
23.85,0.1660576
23.9,0.1908798
23.95,0.1899796
24,0.2033005
24.05,0.2154884
24.1,0.2339058
24.15,0.2328911
24.2,0.2484322
24.25,0.2727356
24.3,0.3108521
24.35,0.3349724
24.4,0.3489037
24.45,0.3661728
24.5,0.3883171
24.55,0.4043045
24.6,0.46875
24.65,0.5415306
24.7,0.6105804
24.75,0.6570549
24.8,0.684391
24.85,0.6955223
24.9,0.6951675
24.95,0.7143211
25,0.7526207
25.05,0.8078842
25.1,0.8446541
25.15,0.8800316
25.2,0.9179039
25.25,0.9408226
25.3,0.9570885
25.35,0.9862175
25.4,0.9957314
25.45,1.012669
25.5,1.025478
25.55,1.044262
25.6,1.075321
25.65,1.089855
25.7,1.099003
25.75,1.135452
25.8,1.146736
25.85,1.204166
25.9,1.282021
25.95,1.342049
26,1.391865
26.05,1.422577
26.1,1.457859
26.15,1.487011
26.2,1.508831
26.25,1.539093
26.3,1.529583
26.35,1.510006
26.4,1.500076
26.45,1.519398
26.5,1.537865
26.55,1.571709
26.6,1.603668
26.65,1.607601
26.7,1.606091
26.75,1.625549
26.8,1.64032
26.85,1.659885
26.9,1.64114
26.95,1.633263
27,1.603188
27.05,1.569294
27.1,1.520893
27.15,1.51128
27.2,1.530411
27.25,1.554005
27.3,1.576534
27.35,1.636616
27.4,1.676029
27.45,1.725918
27.5,1.772202
27.55,1.83147
27.6,1.8866
27.65,1.92136
27.7,1.954071
27.75,1.993992
27.8,2.001247
27.85,2.009468
27.9,1.991219
27.95,1.976402
28,1.99752
28.05,1.986725
28.1,1.976887
