Data File Name,Eukaryote Total RNA Nano_2020-10-12_16-39-16.xad
Data File Path,C:\Program Files (x86)\Agilent\2100 bioanalyzer\2100 expert\data\2020-10-12
Date Created,"Monday, October 12, 2020 11:39:16 PM"
Date Last Modified,"Tuesday, October 13, 2020 12:11:08 AM"
Version Created,B.02.10.SI764
Version Last Modified,B.02.10.SI764
 
Assay Name,Eukaryote Total RNA Nano Series II
Assay Path,C:\Program Files (x86)\Agilent\2100 bioanalyzer\2100 expert\assays\RNA
Assay Title,Eukaryote Total RNA Nano
Assay Version,2.6
 
Number of Samples Run,11
 
Sample Name,RNA8_TP4
Number of Events,1060
 
Time,Value
17,-0.1412254
17.05,-0.1331542
17.1,-0.1161361
17.15,-8.703929E-02
17.2,-0.0586536
17.25,-3.970462E-02
17.3,-3.112416E-02
17.35,-2.262634E-02
17.4,1.121811E-02
17.45,5.413749E-02
17.5,8.131403E-02
17.55,0.0732066
17.6,3.705924E-02
17.65,-9.325543E-03
17.7,-5.261604E-02
17.75,-7.574528E-02
17.8,-7.811809E-02
17.85,-6.037754E-02
17.9,-4.848236E-02
17.95,-3.182586E-02
18,-2.364124E-02
18.05,-0.0377656
18.1,-5.315701E-02
18.15,-5.373548E-02
18.2,-6.116975E-02
18.25,-4.496217E-02
18.3,-1.896205E-02
18.35,-7.727779E-03
18.4,-4.043497E-03
18.45,1.114293E-02
18.5,2.382832E-02
18.55,5.35979E-03
18.6,-1.873752E-02
18.65,-1.767622E-02
18.7,3.116457E-03
18.75,1.321302E-02
18.8,4.070986E-02
18.85,6.113235E-02
18.9,5.930403E-02
18.95,5.824163E-02
19,5.611413E-02
19.05,5.933034E-02
19.1,0.0449644
19.15,2.929723E-02
19.2,1.481159E-02
19.25,-2.033402E-03
19.3,-5.93208E-03
19.35,-8.75935E-03
19.4,-2.536862E-02
19.45,-4.270681E-02
19.5,-4.882417E-02
19.55,-3.984383E-02
19.6,-0.0367755
19.65,-2.383855E-02
19.7,-7.249562E-03
19.75,-9.081518E-03
19.8,-1.773513E-02
19.85,-1.907462E-02
19.9,-0.0142843
19.95,4.87275E-03
20,0.028251
20.05,6.395969E-02
20.1,0.1060436
20.15,0.136307
20.2,0.1393064
20.25,0.1240437
20.3,9.756298E-02
20.35,7.253928E-02
20.4,6.195891E-02
20.45,0.0533976
20.5,0.0500196
20.55,2.760023E-02
20.6,2.885345E-02
20.65,4.611174E-02
20.7,5.483393E-02
20.75,3.720203E-02
20.8,1.340134E-02
20.85,-1.723432E-02
20.9,-0.0516393
20.95,-5.330973E-02
21,-3.905579E-02
21.05,-3.501343E-02
21.1,-4.814671E-02
21.15,-6.414037E-02
21.2,-6.381847E-02
21.25,-6.233932E-02
21.3,-6.121084E-02
21.35,-5.484395E-02
21.4,-5.170915E-02
21.45,-4.783099E-02
21.5,-4.245678E-02
21.55,-3.863231E-02
21.6,-3.395031E-02
21.65,-3.430516E-02
21.7,-2.889479E-02
21.75,-1.337393E-02
21.8,-6.983982E-04
21.85,1.264895E-03
21.9,5.471017E-03
21.95,0.0134627
22,0.0325425
22.05,2.717537E-02
22.1,-2.137348E-02
22.15,0.1031716
22.2,0.8869449
22.25,2.907232
22.3,6.187711
22.35,10.10325
22.4,13.62697
22.45,15.68287
22.5,15.80049
22.55,14.26746
22.6,11.89657
22.65,9.363931
22.7,7.034369
22.75,5.080247
22.8,3.518924
22.85,2.298051
22.9,1.431862
22.95,0.8596481
23,0.4968634
23.05,0.2708594
23.1,0.1362465
23.15,5.690422E-02
23.2,0.0117909
23.25,7.64588E-03
23.3,2.339676E-02
23.35,2.875915E-02
23.4,3.810267E-02
23.45,0.0452544
23.5,5.434562E-02
23.55,6.368729E-02
23.6,7.774915E-02
23.65,9.205566E-02
23.7,0.1044483
23.75,0.1346927
23.8,0.1511295
23.85,0.154389
23.9,0.1513921
23.95,0.1535108
24,0.1382487
24.05,0.115888
24.1,0.1152846
24.15,0.1171397
24.2,0.1093876
24.25,0.1352256
24.3,0.1678379
24.35,0.1768394
24.4,0.1569065
24.45,0.1445591
24.5,0.1428268
24.55,0.1172932
24.6,0.1190068
24.65,0.1380385
24.7,0.1489852
24.75,0.1276947
24.8,0.1252802
24.85,0.1201333
24.9,0.120442
24.95,0.111266
25,0.1027918
25.05,8.785962E-02
25.1,7.415565E-02
25.15,7.350247E-02
25.2,0.1066167
25.25,0.1329416
25.3,0.14409
25.35,0.1410493
25.4,0.1365493
25.45,0.1392677
25.5,0.1313152
25.55,0.1029185
25.6,6.440978E-02
25.65,3.481023E-02
25.7,2.576366E-02
25.75,3.325035E-02
25.8,6.134583E-02
25.85,9.717257E-02
25.9,0.1118692
25.95,0.1082942
26,0.1239039
26.05,0.1377656
26.1,0.1353577
26.15,0.1286605
26.2,0.1297935
26.25,0.1326898
26.3,0.1214408
26.35,0.126479
26.4,0.1581898
26.45,0.1792743
26.5,0.219067
26.55,0.27492
26.6,0.3859028
26.65,0.5485122
26.7,0.7485452
26.75,0.9256034
26.8,1.051545
26.85,1.077082
26.9,1.038471
26.95,0.9254644
27,0.7822972
27.05,0.6444877
27.1,0.5224699
27.15,0.4351186
27.2,0.3838671
27.25,0.3916658
27.3,0.4483527
27.35,0.5518076
27.4,0.691604
27.45,0.8183586
27.5,0.9116434
27.55,0.9691766
27.6,1.01943
27.65,1.076229
27.7,1.127816
27.75,1.176651
27.8,1.180775
27.85,1.151116
27.9,1.08541
27.95,0.9903256
28,0.8904033
28.05,0.7986425
28.1,0.7231781
28.15,0.6929508
28.2,0.6692731
28.25,0.6710339
28.3,0.6609024
28.35,0.6697057
28.4,0.700552
28.45,0.7414343
28.5,0.7898912
28.55,0.7977855
28.6,0.7706818
28.65,0.7686443
28.7,0.8160548
28.75,0.9789729
28.8,1.359361
28.85,1.908589
28.9,2.63608
28.95,3.43611
29,4.243741
