,Time,Value,Nucleotides
0,17,-0.1412254,-11.053661737726173
1,17.05,-0.1331542,-11.084725602359697
2,17.1,-0.1161361,-11.111547891061662
3,17.15,-8.703929E-02,-11.134070891817771
4,17.2,-0.0586536,-11.152236938012862
5,17.25,-3.970462E-02,-11.165988408432696
6,17.3,-3.112416E-02,-11.17526772726265
7,17.35,-2.262634E-02,-11.180017364088172
8,17.4,1.121811E-02,-11.180179833895068
9,17.45,5.413749E-02,-11.17569769706904
10,17.5,8.131403E-02,-11.166513559396009
11,17.55,0.0732066,-11.152570072062275
12,17.6,3.705924E-02,-11.133809931653445
13,17.65,-9.325543E-03,-11.110175880155822
14,17.7,-5.261604E-02,-11.081610704955864
15,17.75,-7.574528E-02,-11.048057238839931
16,17.8,-7.811809E-02,-11.009458359994369
17,17.85,-6.037754E-02,-10.965756992005737
18,17.9,-4.848236E-02,-10.916896103860694
19,17.95,-3.182586E-02,-10.862818709946367
20,18,-2.364124E-02,-10.803467870049218
21,18.05,-0.0377656,-10.738786689356203
22,18.1,-5.315701E-02,-10.66871831845475
23,18.15,-5.373548E-02,-10.593205953331648
24,18.2,-6.116975E-02,-10.512192835374464
25,18.25,-4.496217E-02,-10.425622251370328
26,18.3,-1.896205E-02,-10.33343753350681
27,18.35,-7.727779E-03,-10.235582059371552
28,18.4,-4.043497E-03,-10.13199925195201
29,18.45,1.114293E-02,-10.022632579636053
30,18.5,2.382832E-02,-9.90742555621162
31,18.55,5.35979E-03,-9.786321740866612
32,18.6,-1.873752E-02,-9.65926473818891
33,18.65,-1.767622E-02,-9.526198198166838
34,18.7,3.116457E-03,-9.38706581618868
35,18.75,1.321302E-02,-9.241811333042648
36,18.8,4.070986E-02,-9.090378534917335
37,18.85,6.113235E-02,-8.932711253401095
38,18.9,5.930403E-02,-8.768753365482866
39,18.95,5.824163E-02,-8.598448793551057
40,19,5.611413E-02,-8.421741505394635
41,19.05,5.933034E-02,-8.238575514202779
42,19.1,0.0449644,-8.048894878564084
43,19.15,2.929723E-02,-7.852643702468015
44,19.2,1.481159E-02,-7.649766135303707
45,19.25,-2.033402E-03,-7.440206371860484
46,19.3,-5.93208E-03,-7.223908652327765
47,19.35,-8.75935E-03,-7.000817262295044
48,19.4,-2.536862E-02,-6.770876532752112
49,19.45,-4.270681E-02,-6.534030840088747
50,19.5,-4.882417E-02,-6.290224606094256
51,19.55,-3.984383E-02,-6.039402297959185
52,19.6,-0.0367755,-5.781508428273156
53,19.65,-2.383855E-02,-5.5164875550265435
54,19.7,-7.249562E-03,-5.244284281609367
55,19.75,-9.081518E-03,-4.964843256812117
56,19.8,-1.773513E-02,-4.678109174825124
57,19.85,-1.907462E-02,-4.3840267752387945
58,19.9,-0.0142843,-4.082540843044001
59,19.95,4.87275E-03,-3.773596208631261
60,20,0.028251,-3.4571377477913643
61,20.05,6.395969E-02,-3.1331103817153405
62,20.1,0.1060436,-2.801459076994064
63,20.15,0.136307,-2.462128845618736
64,20.2,0.1393064,-2.115064744980657
65,20.25,0.1240437,-1.7602118778710008
66,20.3,9.756298E-02,-1.3975153924811252
67,20.35,7.253928E-02,-1.0269204824025167
68,20.4,6.195891E-02,-0.6483723866270736
69,20.45,0.0533976,-0.2618163895459702
70,20.5,0.0500196,0.13280217904858205
71,20.55,2.760023E-02,0.5355379439648118
72,20.6,2.885345E-02,0.9464454846106207
73,20.65,4.611174E-02,1.365579334994095
74,20.7,5.483393E-02,1.792993983723079
75,20.75,3.720203E-02,2.2287438740051186
76,20.8,1.340134E-02,2.6728834036476314
77,20.85,-1.723432E-02,3.1254669250586744
78,20.9,-0.0516393,3.586548745245409
79,20.95,-5.330973E-02,4.056183125815068
80,21,-3.905579E-02,4.5344242829746975
81,21.05,-3.501343E-02,5.0213263875319285
82,21.1,-4.814671E-02,5.516943564893495
83,21.15,-6.414037E-02,6.021329895066316
84,21.2,-6.381847E-02,6.534539412656983
85,21.25,-6.233932E-02,7.05662610687267
86,21.3,-6.121084E-02,7.587643921519913
87,21.35,-5.484395E-02,8.127646755004946
88,21.4,-5.170915E-02,8.676688460334361
89,21.45,-4.783099E-02,9.234822845114678
90,21.5,-4.245678E-02,9.802103671552004
91,21.55,-3.863231E-02,10.378584656452375
92,21.6,-3.395031E-02,10.964319471221984
93,21.65,-3.430516E-02,11.559361741866581
94,21.7,-2.889479E-02,12.163765048992133
95,21.75,-1.337393E-02,12.777582927804218
96,21.8,-6.983982E-04,13.400868868108972
97,21.85,1.264895E-03,14.033676314311322
98,21.9,5.471017E-03,14.676058665417173
99,21.95,0.0134627,15.32806927503151
100,22,0.0325425,15.989761451359925
101,22.05,2.717537E-02,16.661188457207203
102,22.1,-2.137348E-02,17.342403509978624
103,22.15,0.1031716,18.033459781679454
104,22.2,0.8869449,18.734410398914008
105,22.25,2.907232,19.445308442887352
106,22.3,6.187711,20.16620694940366
107,22.35,10.10325,20.897158908868363
108,22.4,13.62697,21.638217266285267
109,22.45,15.68287,22.389434921258783
110,22.5,15.80049,23.150864727993394
111,22.55,14.26746,23.922559495293086
112,22.6,11.89657,24.704571986562115
113,22.65,9.363931,25.496954919804324
114,22.7,7.034369,26.299760967623627
115,22.75,5.080247,27.113042757223837
116,22.8,3.518924,27.936852870408444
117,22.85,2.298051,28.77124384358106
118,22.9,1.431862,29.616268167745687
119,22.95,0.8596481,30.471978288504943
120,23,0.4968634,31.338426606062427
121,23.05,0.2708594,32.21566547522136
122,23.1,0.1362465,33.10374720538485
123,23.15,5.690422E-02,34.00272406055569
124,23.2,0.0117909,34.91264825933723
125,23.25,7.64588E-03,35.833571974931544
126,23.3,2.339676E-02,36.76554733514203
127,23.35,2.875915E-02,37.708626422370685
128,23.4,3.810267E-02,38.66286127362059
129,23.45,0.0452544,39.628303880493604
130,23.5,5.434562E-02,40.60500618919232
131,23.55,6.368729E-02,41.59302010051883
132,23.6,7.774915E-02,42.592397469875266
133,23.65,9.205566E-02,43.6031901072634
134,23.7,0.1044483,44.62544977728578
135,23.75,0.1346927,45.65922819914351
136,23.8,0.1511295,46.70457704663869
137,23.85,0.154389,47.76154794817273
138,23.9,0.1513921,48.830192486747336
139,23.95,0.1535108,49.910562199963664
140,24,0.1382487,51.00270858002318
141,24.05,0.115888,52.10668307372714
142,24.1,0.1152846,53.22253708247666
143,24.15,0.1171397,54.35032196227263
144,24.2,0.1093876,55.490089023715655
145,24.25,0.1352256,56.64188953200744
146,24.3,0.1678379,57.80577470694806
147,24.35,0.1768394,58.9817957229383
148,24.4,0.1569065,60.17000370897816
149,24.45,0.1445591,61.370449748669046
150,24.5,0.1428268,62.58318488021075
151,24.55,0.1172932,63.80826009640336
152,24.6,0.1190068,65.04572634464736
153,24.65,0.1380385,66.29563452694245
154,24.7,0.1489852,67.55803549988883
155,24.75,0.1276947,68.83298007468596
