Data File Name,Eukaryote Total RNA Nano_2020-10-07_13-56-03.xad
Data File Path,C:\Program Files (x86)\Agilent\2100 bioanalyzer\2100 expert\Data\2020-10-07
Date Created,"Wednesday, October 7, 2020 8:56:02 PM"
Date Last Modified,"Wednesday, October 7, 2020 9:30:29 PM"
Version Created,B.02.10.SI764
Version Last Modified,B.02.10.SI764
 
Assay Name,Eukaryote Total RNA Nano Series II
Assay Path,C:\Program Files (x86)\Agilent\2100 bioanalyzer\2100 expert\assays\RNA
Assay Title,Eukaryote Total RNA Nano
Assay Version,2.6
 
Number of Samples Run,11
 
Sample Name,Ladder
Number of Events,1060
 
Time,Value
17,-1.783371E-02
17.05,-1.783371E-02
17.1,-1.783371E-02
17.15,-1.783371E-02
17.2,-1.675541E-02
17.25,-2.771237E-02
17.3,-3.188494E-02
17.35,-4.071867E-02
17.4,-4.662301E-02
17.45,-3.670045E-02
17.5,-1.740401E-02
17.55,-1.318681E-02
17.6,-1.565192E-02
17.65,-2.368355E-02
17.7,-2.278643E-02
17.75,-2.959672E-02
17.8,-3.350304E-02
17.85,-3.400553E-02
17.9,-4.359993E-02
17.95,-4.087814E-02
18,-3.774262E-03
18.05,3.691101E-02
18.1,7.554988E-02
18.15,6.128793E-02
18.2,2.958493E-02
18.25,-9.951429E-03
18.3,-4.007418E-02
18.35,-2.540127E-02
18.4,8.788553E-03
18.45,2.820226E-02
18.5,4.125948E-02
18.55,4.110804E-02
18.6,4.496302E-02
18.65,4.876676E-02
18.7,5.271719E-02
18.75,3.647834E-02
18.8,0.0114572
18.85,-1.497953E-02
18.9,-0.0261438
18.95,-0.0192501
19,-6.044567E-03
19.05,1.499685E-02
19.1,2.582912E-02
19.15,1.587904E-02
19.2,1.306893E-02
19.25,5.729009E-03
19.3,-1.001532E-02
19.35,-2.148595E-02
19.4,-2.165348E-02
19.45,-2.225815E-02
19.5,-0.0308389
19.55,-2.597494E-02
19.6,-9.86396E-03
19.65,-1.914908E-02
19.7,-3.865363E-02
19.75,-4.497951E-02
19.8,-4.000229E-02
19.85,-3.383043E-02
19.9,-4.120982E-02
19.95,-3.930589E-02
20,-0.0324178
20.05,-3.840327E-02
20.1,-3.065502E-02
20.15,-1.188743E-02
20.2,6.951945E-04
20.25,1.447911E-02
20.3,1.785848E-02
20.35,3.120408E-02
20.4,4.769746E-02
20.45,4.986578E-02
20.5,5.769176E-02
20.55,5.590169E-02
20.6,5.152677E-02
20.65,5.852042E-02
20.7,6.081629E-02
20.75,4.490554E-02
20.8,1.787881E-02
20.85,5.967672E-03
20.9,1.587096E-02
20.95,3.392292E-02
21,5.003528E-02
21.05,4.978594E-02
21.1,2.741281E-02
21.15,9.860683E-04
21.2,-1.803163E-02
21.25,-2.526119E-03
21.3,2.740157E-02
21.35,6.134964E-02
21.4,8.213133E-02
21.45,7.060622E-02
21.5,5.945378E-02
21.55,4.245346E-02
21.6,2.366677E-02
21.65,0.0362697
21.7,4.782032E-02
21.75,5.530367E-02
21.8,5.169665E-02
21.85,3.903417E-02
21.9,3.456724E-02
21.95,2.643151E-02
22,3.132748E-02
22.05,2.419601E-02
22.1,-2.763078E-02
22.15,-0.153118
22.2,3.007904E-02
22.25,1.57036
22.3,5.277327
22.35,10.75272
22.4,16.63935
22.45,21.27203
22.5,23.40336
22.55,22.76476
22.6,20.17072
22.65,16.90599
22.7,13.75258
22.75,10.87305
22.8,8.35403
22.85,6.226913
22.9,4.453924
22.95,3.08085
23,2.052282
23.05,1.312141
23.1,0.8232971
23.15,0.5097644
23.2,0.3250577
23.25,0.2201966
23.3,0.1714368
23.35,0.1711811
23.4,0.1770885
23.45,0.1473896
23.5,0.1503725
23.55,0.1499148
23.6,0.154886
23.65,0.1905885
23.7,0.2251806
23.75,0.2377088
23.8,0.2304079
23.85,0.220466
23.9,0.2207203
23.95,0.2174369
24,0.2195059
24.05,0.2308775
24.1,0.2270124
24.15,0.2208762
24.2,0.224677
24.25,0.2408115
24.3,0.2692107
24.35,0.2876192
24.4,0.2964
24.45,0.2855707
24.5,0.2593796
24.55,0.2298729
24.6,0.2163615
24.65,0.222599
24.7,0.244338
24.75,0.2550194
24.8,0.2549628
24.85,0.2536878
24.9,0.2426513
24.95,0.2224005
25,0.1987244
25.05,0.1827293
25.1,0.1711637
25.15,0.1616855
25.2,0.1715112
25.25,0.18808
25.3,0.1813396
25.35,0.1649928
25.4,0.1559597
25.45,0.1448683
25.5,0.1302896
25.55,0.1352727
25.6,0.1630686
25.65,0.1830274
25.7,0.1894972
25.75,0.1920993
25.8,0.1828761
25.85,0.1486247
25.9,0.1209565
25.95,0.1221226
26,0.1345363
26.05,0.1540994
26.1,0.1754649
26.15,0.1763537
26.2,0.1613257
26.25,0.1397449
26.3,0.1301119
26.35,0.1208735
26.4,0.1110781
26.45,0.1175934
26.5,0.1009103
26.55,7.829987E-02
26.6,6.605265E-02
26.65,5.944388E-02
26.7,6.759275E-02
26.75,7.419799E-02
26.8,7.366836E-02
26.85,7.699894E-02
26.9,6.147425E-02
26.95,8.082793E-02
27,0.1091173
27.05,0.1311219
27.1,0.1652419
27.15,0.2012771
27.2,0.2309602
27.25,0.2442081
27.3,0.2517928
27.35,0.2627542
27.4,0.2372727
27.45,0.2046192
27.5,0.1925132
27.55,0.1727625
27.6,0.1577314
27.65,0.1610499
27.7,0.1889592
27.75,0.2045108
27.8,0.1980898
27.85,0.202171
27.9,0.2072588
27.95,0.2272639
28,0.258495
28.05,0.270798
28.1,0.2635027
28.15,0.2674461
28.2,0.3190935
28.25,0.4312135
28.3,0.6316597
28.35,0.9585723
28.4,1.485291
28.45,2.359739
28.5,3.878528
28.55,6.165623
28.6,9.074874
28.65,11.98948
28.7,14.09275
28.75,14.6549
28.8,13.51365
28.85,11.16304
28.9,8.421508
28.95,5.945735
29,4.146551
29.05,2.98991
29.1,2.288211
29.15,1.834102
29.2,1.5405
29.25,1.35654
29.3,1.252144
29.35,1.190181
29.4,1.127151
29.45,1.044811
29.5,0.9441862
29.55,0.8298686
29.6,0.7204981
29.65,0.600562
29.7,0.5235488
29.75,0.4634005
29.8,0.403432
29.85,0.3705461
29.9,0.3540129
29.95,0.3356651
30,0.3240189
30.05,0.3130914
30.1,0.314179
30.15,0.2995494
30.2,0.2922699
30.25,0.3088002
30.3,0.3144487
30.35,0.297028
30.4,0.3017801
30.45,0.3078915
30.5,0.2952036
30.55,0.349799
30.6,0.4939114
30.65,0.619405
30.7,0.6462103
30.75,0.593661
30.8,0.4953198
30.85,0.3757395
30.9,0.2876226
30.95,0.2751206
31,0.3035072
31.05,0.3144258
31.1,0.3138131
31.15,0.3259509
31.2,0.3382876
