Data File Name,Eukaryote Total RNA Nano_2020-10-15_13-51-11.xad
Data File Path,C:\Program Files (x86)\Agilent\2100 bioanalyzer\2100 expert\Data\2020-10-15
Date Created,"Thursday, October 15, 2020 8:51:11 PM"
Date Last Modified,"Thursday, October 15, 2020 9:30:27 PM"
Version Created,B.02.10.SI764
Version Last Modified,B.02.10.SI764
 
Assay Name,Eukaryote Total RNA Nano Series II
Assay Path,C:\Program Files (x86)\Agilent\2100 bioanalyzer\2100 expert\assays\RNA
Assay Title,Eukaryote Total RNA Nano
Assay Version,2.6
 
Number of Samples Run,12
 
Sample Name,RNA-U*-1
Number of Events,1060
 
Time,Value
17,-9.44519E-03
17.05,-9.44519E-03
17.1,-9.44519E-03
17.15,-0.0129038
17.2,-1.766069E-02
17.25,-2.301292E-02
17.3,-3.923858E-02
17.35,-5.031003E-02
17.4,-5.588436E-02
17.45,-6.285834E-02
17.5,-5.502319E-02
17.55,-4.863276E-02
17.6,-4.698524E-02
17.65,-2.918455E-02
17.7,-1.794124E-02
17.75,-1.687711E-02
17.8,-0.0231475
17.85,-2.371158E-02
17.9,-1.158836E-02
17.95,1.573562E-02
18,3.051987E-02
18.05,0.0223476
18.1,-4.211337E-03
18.15,-2.328516E-02
18.2,-2.340408E-02
18.25,-1.281491E-02
18.3,-8.046988E-03
18.35,-8.494721E-03
18.4,-2.032611E-02
18.45,-3.357995E-02
18.5,-2.993684E-02
18.55,-0.0239055
18.6,-0.0196406
18.65,-2.423503E-02
18.7,-0.0351099
18.75,-3.650475E-02
18.8,-2.582351E-02
18.85,-1.725885E-03
18.9,2.726114E-02
18.95,4.219092E-02
19,4.010514E-02
19.05,0.0215714
19.1,-9.068658E-03
19.15,-2.868717E-02
19.2,-2.579027E-02
19.25,-6.950647E-03
19.3,3.52392E-03
19.35,7.393113E-03
19.4,1.944949E-02
19.45,2.313672E-02
19.5,0.0151947
19.55,6.287792E-03
19.6,-4.835753E-03
19.65,-4.561349E-03
19.7,-1.348159E-03
19.75,1.613944E-02
19.8,2.889859E-02
19.85,2.269121E-02
19.9,-2.849943E-03
19.95,-3.630913E-02
20,-5.581281E-02
20.05,-5.191535E-02
20.1,-3.228131E-02
20.15,3.923965E-03
20.2,2.161875E-02
20.25,3.307305E-02
20.3,2.683074E-02
20.35,1.987417E-02
20.4,2.884956E-02
20.45,2.201799E-02
20.5,1.716839E-02
20.55,-4.440176E-03
20.6,-3.028061E-02
20.65,-4.487737E-02
20.7,-4.398803E-02
20.75,-1.946401E-02
20.8,1.254793E-02
20.85,2.387695E-02
20.9,2.778672E-02
20.95,1.089237E-02
21,5.371094E-04
21.05,-8.849881E-03
21.1,-2.411281E-03
21.15,1.135909E-02
21.2,2.324007E-02
21.25,3.311841E-02
21.3,2.401296E-02
21.35,8.481771E-03
21.4,-1.694192E-02
21.45,-3.320669E-02
21.5,-3.108107E-02
21.55,-2.356393E-02
21.6,-2.359063E-03
21.65,8.401535E-03
21.7,3.465039E-03
21.75,5.704498E-03
21.8,-1.341724E-02
21.85,-1.874583E-02
21.9,-6.248074E-03
21.95,1.123093E-03
22,5.390703E-03
22.05,-6.571297E-03
22.1,-4.159751E-02
22.15,0.1072634
22.2,1.010053
22.25,3.222576
22.3,6.656121
22.35,10.64221
22.4,14.12727
22.45,16.15926
22.5,16.20528
22.55,14.55802
22.6,12.00427
22.65,9.267887
22.7,6.729542
22.75,4.633751
22.8,3.036433
22.85,1.884748
22.9,1.098351
22.95,0.6204863
23,0.3782335
23.05,0.2753574
23.1,0.2341685
23.15,0.2184658
23.2,0.2181647
23.25,0.202877
23.3,0.1914661
23.35,0.1770618
23.4,0.1717203
23.45,0.1785222
23.5,0.1818719
23.55,0.18415
23.6,0.2041059
23.65,0.2129237
23.7,0.2109354
23.75,0.2140917
23.8,0.2238363
23.85,0.2645806
23.9,0.304564
23.95,0.3465784
24,0.3854518
24.05,0.3901984
24.1,0.3715062
24.15,0.3524014
24.2,0.3560405
24.25,0.3770255
24.3,0.388608
24.35,0.3945743
24.4,0.3855318
24.45,0.3484255
24.5,0.3230881
24.55,0.3135466
24.6,0.3038058
24.65,0.3143674
24.7,0.3511992
24.75,0.3923897
24.8,0.4187639
24.85,0.4296083
24.9,0.4458889
24.95,0.4615107
25,0.4852658
25.05,0.5148759
25.1,0.52021
25.15,0.4919033
25.2,0.4554185
25.25,0.4383711
25.3,0.4416981
25.35,0.4874292
25.4,0.5644305
25.45,0.6658705
25.5,0.8199834
25.55,1.008232
25.6,1.190369
25.65,1.347549
25.7,1.444312
25.75,1.481601
25.8,1.469479
25.85,1.453093
25.9,1.449476
25.95,1.42766
26,1.408833
26.05,1.418397
26.1,1.449305
26.15,1.503466
26.2,1.588145
26.25,1.696392
26.3,1.795279
26.35,1.840199
26.4,1.834616
26.45,1.789486
26.5,1.718332
26.55,1.688512
26.6,1.771706
26.65,1.996325
26.7,2.330194
26.75,2.689548
26.8,2.971769
26.85,3.091426
26.9,3.026591
26.95,2.844539
27,2.607128
27.05,2.393618
27.1,2.224378
27.15,2.055999
27.2,1.868477
27.25,1.699599
27.3,1.590389
27.35,1.537556
27.4,1.584684
27.45,1.710589
27.5,1.817792
27.55,1.861496
27.6,1.857188
27.65,1.796503
27.7,1.682212
27.75,1.535697
27.8,1.41448
27.85,1.315892
27.9,1.226456
27.95,1.167504
28,1.145555
28.05,1.16137
28.1,1.232474
28.15,1.354125
28.2,1.498487
28.25,1.65379
28.3,1.789486
28.35,1.907904
28.4,2.00205
28.45,2.100339
28.5,2.227708
28.55,2.375362
28.6,2.507892
28.65,2.600642
28.7,2.653851
28.75,2.621522
28.8,2.520622
28.85,2.398006
28.9,2.276149
28.95,2.159124
29,2.064792
29.05,2.009158
29.1,1.998572
29.15,2.013139
29.2,2.099279
29.25,2.189752
29.3,2.295826
29.35,2.36934
29.4,2.423183
29.45,2.434784
29.5,2.399075
29.55,2.342307
29.6,2.307797
29.65,2.268735
29.7,2.302105
29.75,2.359248
29.8,2.55922
29.85,2.813455
29.9,3.084977
29.95,3.300895
30,3.422325
30.05,3.426266
30.1,3.324963
30.15,3.212492
30.2,3.199508
30.25,3.261171
30.3,3.394105
30.35,3.530646
30.4,3.622478
30.45,3.619931
30.5,3.501764
30.55,3.34419
30.6,3.176548
30.65,3.090741
30.7,3.032677
30.75,3.012017
30.8,2.956983
30.85,2.868786
30.9,2.746608
30.95,2.641729
31,2.568621
31.05,2.551338
31.1,2.591821
31.15,2.669895
31.2,2.784853
31.25,2.961238
31.3,3.157168
31.35,3.39085
31.4,3.597291
31.45,3.796809
31.5,3.97455
31.55,4.112511
31.6,4.260117
31.65,4.382605
31.7,4.459696
31.75,4.523284
31.8,4.519496
31.85,4.477313
31.9,4.408278
31.95,4.373762
32,4.418688
32.05,4.550063
32.1,4.777441
32.15,5.011788
32.2,5.219688
32.25,5.304832
32.3,5.23944
32.35,5.071111
32.4,4.868675
32.45,4.726004
32.5,4.692501
32.55,4.795098
32.6,5.097122
32.65,5.472756
32.7,5.890613
32.75,6.259095
32.8,6.51486
32.85,6.654068
32.9,6.684607
32.95,6.752505
33,6.990989
33.05,7.41644
33.1,7.909266
33.15,8.285772
33.2,8.429315
33.25,8.325464
33.3,8.123353
33.35,8.092147
33.4,8.366448
33.45,8.923324
33.5,9.539838
33.55,9.967448
33.6,10.09004
33.65,9.972232
33.7,9.81609
33.75,9.797396
33.8,10.05797
33.85,10.6278
33.9,11.38068
33.95,12.17652
34,12.8702
34.05,13.30531
34.1,13.44515
34.15,13.32861
34.2,13.11978
34.25,12.97927
34.3,12.88289
34.35,12.77505
34.4,12.53228
34.45,12.08846
34.5,11.50601
34.55,10.94429
34.6,10.55762
34.65,10.42898
34.7,10.60896
34.75,11.21685
34.8,12.24873
34.85,13.63592
34.9,15.18062
34.95,16.75116
35,18.19608
35.05,19.25517
35.1,19.82632
35.15,19.76559
35.2,19.02394
35.25,17.69681
35.3,15.9444
35.35,14.23397
35.4,12.91613
35.45,12.20108
35.5,12.25994
35.55,12.94842
35.6,14.19225
35.65,15.79423
35.7,17.53358
35.75,19.38035
35.8,21.04638
35.85,22.19885
35.9,22.74374
35.95,22.62358
36,22.10848
36.05,21.66247
36.1,21.80029
36.15,22.86674
36.2,24.76753
36.25,27.59719
36.3,31.4258
36.35,37.09697
36.4,46.72819
36.45,64.70924
36.5,98.2158
36.55,155.1159
36.6,237.6799
36.65,336.8416
36.7,435.2634
36.75,512.3304
36.8,554.0128
36.85,555.5371
36.9,522.7862
36.95,465.9621
37,396.0927
37.05,321.6905
37.1,249.391
37.15,184.7442
37.2,131.2646
37.25,90.10654
37.3,60.54519
37.35,40.13359
37.4,26.97946
37.45,18.52875
37.5,12.88725
37.55,9.272253
37.6,6.529529
37.65,4.858703
37.7,3.667305
37.75,2.896807
37.8,2.435371
37.85,2.111374
37.9,1.864715
37.95,1.643293
38,1.444901
38.05,1.252809
38.1,1.087417
38.15,0.9691721
38.2,0.9067735
38.25,0.848
38.3,0.7737936
38.35,0.7035889
38.4,0.6310559
38.45,0.6087099
38.5,0.595671
38.55,0.60462
38.6,0.6056083
38.65,0.6241536
38.7,0.634586
38.75,0.6791026
38.8,0.7037532
38.85,0.6912301
38.9,0.6581888
38.95,0.6052591
39,0.5505081
39.05,0.5369613
39.1,0.5361907
39.15,0.5718699
39.2,0.5717397
39.25,0.5863599
39.3,0.601084
39.35,0.6039214
39.4,0.602657
39.45,0.5764809
39.5,0.5571175
39.55,0.5461627
39.6,0.5446617
39.65,0.5542535
39.7,0.5592152
39.75,0.5910749
39.8,0.6177024
39.85,0.658354
39.9,0.711061
39.95,0.7670726
40,0.817398
40.05,0.8481389
40.1,0.8666881
40.15,0.873336
40.2,0.8927692
40.25,0.9350128
40.3,0.9768788
40.35,1.016336
40.4,1.055499
40.45,1.104399
40.5,1.15658
40.55,1.202832
40.6,1.235206
40.65,1.22399
40.7,1.18628
40.75,1.135673
40.8,1.092304
40.85,1.089857
40.9,1.15206
40.95,1.241866
41,1.341945
41.05,1.426056
41.1,1.458731
41.15,1.462422
41.2,1.474982
41.25,1.535547
41.3,1.678793
41.35,1.88525
41.4,2.108954
41.45,2.279521
41.5,2.341121
41.55,2.30147
41.6,2.19436
41.65,2.100554
41.7,2.137557
41.75,2.411171
41.8,2.921904
41.85,3.659633
41.9,4.604871
41.95,5.685294
42,6.858342
42.05,8.022891
42.1,9.012306
42.15,9.655563
42.2,9.826825
42.25,9.569416
42.3,9.035773
42.35,8.339496
42.4,7.566836
42.45,6.756733
42.5,5.950814
42.55,5.166521
42.6,4.451243
42.65,3.841441
42.7,3.335348
42.75,2.845653
42.8,2.373047
42.85,1.957376
42.9,1.611948
42.95,1.287732
43,1.044377
43.05,0.8803196
43.1,0.7643937
43.15,0.6596695
43.2,0.5659574
43.25,0.5033576
43.3,0.4433784
43.35,0.376837
43.4,0.3296095
43.45,0.298763
43.5,0.257093
43.55,0.2262234
43.6,0.2311475
43.65,0.2744143
43.7,0.2905349
43.75,0.2969193
43.8,0.2778529
43.85,0.2488125
43.9,0.2205859
43.95,0.212028
44,0.2297867
44.05,0.226266
44.1,0.2330276
44.15,0.2557531
44.2,0.2592133
44.25,0.2624782
44.3,0.2599676
44.35,0.2503783
44.4,0.2269481
44.45,0.1798568
44.5,0.1655682
44.55,0.1521397
44.6,0.1626763
44.65,0.1598384
44.7,0.1481815
44.75,0.1524337
44.8,0.1430407
44.85,0.1327632
44.9,0.1253866
44.95,0.1296799
45,0.1694527
45.05,0.1751858
45.1,0.1738993
45.15,0.1854452
45.2,0.1881088
45.25,0.179225
45.3,0.1776462
45.35,0.209718
45.4,0.2534703
45.45,0.2556218
45.5,0.2879092
45.55,0.3037011
45.6,0.2888019
45.65,0.2729584
45.7,0.2594815
45.75,0.2591149
45.8,0.2561556
45.85,0.2596843
45.9,0.2867158
45.95,0.2950137
46,0.3326984
46.05,0.3746719
46.1,0.4193868
46.15,0.4540767
46.2,0.4595842
46.25,0.4658026
46.3,0.4722928
46.35,0.4880152
46.4,0.53022
46.45,0.5701219
46.5,0.6064779
46.55,0.62356
46.6,0.6094629
46.65,0.5927694
46.7,0.5649995
46.75,0.5297554
46.8,0.5072048
46.85,0.4641932
46.9,0.4141684
46.95,0.3869974
47,0.3520436
47.05,0.3271592
47.1,0.3181704
47.15,0.3206127
47.2,0.3205566
47.25,0.2901687
47.3,0.2568837
47.35,0.2386047
47.4,0.2239352
47.45,0.2208525
47.5,0.225787
47.55,0.2541774
47.6,0.2869495
47.65,0.319894
47.7,0.3549206
47.75,0.3669569
47.8,0.3646069
47.85,0.3639486
47.9,0.3682232
47.95,0.3869356
48,0.4083822
48.05,0.4466059
48.1,0.4810133
48.15,0.502591
48.2,0.5228941
48.25,0.5387853
48.3,0.5370219
48.35,0.528383
48.4,0.5220861
48.45,0.5135971
48.5,0.4891341
48.55,0.4621316
48.6,0.4289532
48.65,0.3991356
48.7,0.3732193
48.75,0.3380153
48.8,0.296267
48.85,0.2615148
48.9,0.2447352
48.95,0.235719
49,0.240017
49.05,0.2493968
49.1,0.2551599
49.15,0.2608732
49.2,0.2652683
49.25,0.2755504
49.3,0.2871137
49.35,0.2854469
49.4,0.2742792
49.45,0.2436552
49.5,0.2194926
49.55,0.2124261
49.6,0.2144592
49.65,0.2313225
49.7,0.2730111
49.75,0.3131285
49.8,0.3385958
49.85,0.3645782
49.9,0.3743845
49.95,0.357833
50,0.3525444
50.05,0.3570023
50.1,0.360798
50.15,0.3645648
50.2,0.368894
50.25,0.3692512
50.3,0.3656626
50.35,0.3634471
50.4,0.3708498
50.45,0.3754585
50.5,0.37282
50.55,0.3680581
50.6,0.3528791
50.65,0.335435
50.7,0.3114649
50.75,0.2795569
50.8,0.2540634
50.85,0.2473806
50.9,0.2373044
50.95,0.2187436
51,0.1933846
51.05,0.1811163
51.1,0.1694063
51.15,0.1771554
51.2,0.1826724
51.25,0.1932785
51.3,0.173741
51.35,0.1618226
51.4,0.141232
51.45,0.1319004
51.5,0.1310831
51.55,0.1428559
51.6,0.1461758
51.65,0.1440228
51.7,0.1260341
51.75,0.1190819
51.8,0.0916005
51.85,9.167034E-02
51.9,0.1195445
51.95,0.1343037
52,0.1424474
52.05,0.1317183
52.1,0.1204136
52.15,0.108377
52.2,0.1092541
52.25,0.123391
52.3,0.1054411
52.35,0.0832283
52.4,8.724892E-02
52.45,5.725374E-02
52.5,7.001965E-02
52.55,8.161769E-02
52.6,9.037934E-02
52.65,8.064095E-02
52.7,9.264588E-02
52.75,0.1122407
52.8,0.1180235
52.85,0.1085696
52.9,0.115692
52.95,0.1198668
53,9.385361E-02
53.05,7.727382E-02
53.1,5.782031E-02
53.15,4.883184E-02
53.2,6.616428E-02
53.25,9.940432E-02
53.3,0.1256789
53.35,0.1434793
53.4,0.1353832
53.45,0.1403214
53.5,0.1339849
53.55,0.1249435
53.6,0.1154591
53.65,0.1204023
53.7,0.1194813
53.75,0.1025723
53.8,9.827651E-02
53.85,0.1197134
53.9,0.131602
53.95,0.1402841
54,0.1493697
54.05,0.1510822
54.1,0.1277637
54.15,0.1121205
54.2,0.1220901
54.25,0.1386806
54.3,0.1495373
54.35,0.1560224
54.4,0.1533668
54.45,0.1247406
54.5,9.659322E-02
54.55,0.0787456
54.6,7.513117E-02
54.65,9.526037E-02
54.7,0.1197804
54.75,0.1226816
54.8,0.1127848
54.85,9.549247E-02
54.9,8.184271E-02
54.95,0.064331
55,5.644349E-02
55.05,6.804889E-02
55.1,9.350476E-02
55.15,0.1225687
55.2,0.1308643
55.25,0.1262703
55.3,0.1194051
55.35,0.1153092
55.4,0.1176047
55.45,0.1272636
55.5,0.1240911
55.55,0.1084211
55.6,9.909965E-02
55.65,0.1005795
55.7,0.1053105
55.75,0.109888
55.8,0.1182339
55.85,0.1143996
55.9,9.897651E-02
55.95,8.532085E-02
56,7.056952E-02
56.05,5.328441E-02
56.1,6.244642E-02
56.15,8.553871E-02
