,Sample,Nucleotide,Timepoint,Plate,FileNumber,FileName,peak_nts,start_nt,end_nt,p4p6_area,background_area,total_area,subtracted_area,normalized_area
0,RNA-1,natural,0.0,1,1,Eukaryote Total RNA Nano_2020-10-21_16-07-11_1_nts.csv,[ 23.46200583 923.35372053],823.353720533342,1023.353720533342,621.6637264357175,1923.2847133605549,3789.719623689721,1866.4349103291663,3.0023223665152403
1,RNA-1,natural,0.5,1,2,Eukaryote Total RNA Nano_2020-10-21_16-07-11_2_nts.csv,[ 23.46200583 929.26058738],829.260587383956,1029.2605873839561,353.31182038090043,942.9868751164802,1751.3728173606373,808.3859422441571,2.2880240501793794
2,RNA-1,natural,1.0,1,3,Eukaryote Total RNA Nano_2020-10-21_16-07-11_3_nts.csv,[ 23.46200583 935.19013935],835.1901393484725,1035.1901393484725,332.86618415184955,712.7188911321623,1173.667461567526,460.94857043536376,1.3847864168295467
3,RNA-1,natural,1.5,1,4,Eukaryote Total RNA Nano_2020-10-21_16-07-11_4_nts.csv,[ 23.46200583 935.19013935],835.1901393484725,1035.1901393484725,323.11125602264116,470.7453830200482,746.953660054502,276.20827703445383,0.8548395386606379
4,RNA-1,natural,2.0,1,5,Eukaryote Total RNA Nano_2020-10-21_16-07-11_5_nts.csv,[ 23.46200583 929.26058738],829.260587383956,1029.2605873839561,329.9179922453931,498.1501849620389,705.8706345240232,207.7204495619843,0.6296123716935139
5,RNA-1,natural,3.0,1,6,Eukaryote Total RNA Nano_2020-10-21_16-07-11_6_nts.csv,[ 23.46200583 941.14240953],841.1424095269102,1041.1424095269103,390.6475979338982,314.3133931451141,370.60571926381124,56.29232611869713,0.14410001857536675
6,RNA-1,natural,4.0,1,7,Eukaryote Total RNA Nano_2020-10-21_16-07-11_7_nts.csv,[23.46200583],-76.5379941717535,123.4620058282465,318.25714167719445,29.044964608181285,156.4433512124227,127.39838660424141,0.40030016587486517
7,RNA-1,natural,5.0,1,8,Eukaryote Total RNA Nano_2020-10-21_16-07-11_8_nts.csv,[23.46200583],-76.5379941717535,123.4620058282465,391.68538606536157,54.70306589892459,183.95972828447995,129.25666238555536,0.33000123819780697
8,RNA-1,natural,18.0,1,9,Eukaryote Total RNA Nano_2020-10-21_16-07-11_9_nts.csv,[23.46200583],-76.5379941717535,123.4620058282465,477.73989789380187,110.6350346709437,224.8391317667403,114.20409709579661,0.23905078390832527
9,RNA-1,natural,24.0,1,10,Eukaryote Total RNA Nano_2020-10-21_16-07-11_10_nts.csv,[23.46200583],-76.5379941717535,123.4620058282465,685.9711295784304,186.718366176697,285.704185930272,98.98581975357499,0.1443002707918737
10,RNA-1,5mC,0.0,1,11,Eukaryote Total RNA Nano_2020-10-21_16-07-11_11_nts.csv,[ 23.46200583 894.1585039 ],794.1585038981079,994.1585038981079,150.5006239988014,253.1161163649063,1260.3717424518634,1007.2556260869571,6.692700663453588
11,RNA-1,5mC,0.5,1,12,Eukaryote Total RNA Nano_2020-10-21_16-07-11_12_nts.csv,[ 23.46200583 899.95244197],799.9524419745172,999.9524419745172,165.68380810620465,317.8429015134062,975.7806727131577,657.9377711997515,3.9710444775509273
12,RNA-1,5mC,1.0,2,1,Eukaryote Total RNA Nano_2020-10-21_16-14-00_1_nts.csv,[ 23.19126839 923.50002009],823.5000200919244,1023.5000200919244,157.30366144040426,320.3090963113007,749.3386310235867,429.02953471228597,2.727397002610948
13,RNA-1,5mC,1.5,2,2,Eukaryote Total RNA Nano_2020-10-21_16-14-00_2_nts.csv,[ 23.19126839 923.50002009],823.5000200919244,1023.5000200919244,164.58752160945053,320.319681205909,635.0333248367045,314.71364363079556,1.9121355042794743
14,RNA-1,5mC,2.0,2,3,Eukaryote Total RNA Nano_2020-10-21_16-14-00_3_nts.csv,[ 23.19126839 923.50002009],823.5000200919244,1023.5000200919244,206.38622604674342,357.5163988643677,625.4918839617362,267.9754850973685,1.2984174875927816
15,RNA-1,5mC,3.0,2,4,Eukaryote Total RNA Nano_2020-10-21_16-14-00_4_nts.csv,[ 23.19126839 923.50002009],823.5000200919244,1023.5000200919244,243.70828703537845,360.69576168920884,528.7818411176961,168.08607942848727,0.6897019443745328
16,RNA-1,5mC,4.0,2,5,Eukaryote Total RNA Nano_2020-10-21_16-14-00_5_nts.csv,[ 23.19126839 923.50002009],823.5000200919244,1023.5000200919244,261.64582926747454,312.57133863765245,404.15146199233453,91.58012335468209,0.3500156054888298
17,RNA-1,5mC,5.0,2,6,Eukaryote Total RNA Nano_2020-10-21_16-14-00_6_nts.csv,[23.19126839],-76.80873161109594,123.19126838890406,288.56896270125867,50.05794605601397,190.68064662331122,140.62270056729724,0.48731055221928715
