,Time,Value,Nucleotides
0,17,3.688812E-02,16.70567707625088
1,17.05,3.688812E-02,16.258538301750093
2,17.1,3.688812E-02,15.819181679662051
3,17.15,3.688812E-02,15.387650790660473
4,17.2,3.688812E-02,14.963989179928546
5,17.25,3.688812E-02,14.54824035715967
6,17.3,3.688812E-02,14.140447796557112
7,17.35,3.688812E-02,13.740654936833664
8,17.4,3.688812E-02,13.348905181212388
9,17.45,3.688812E-02,12.96524189742587
10,17.5,3.688812E-02,12.58970841771685
11,17.55,3.688812E-02,12.222348038837595
12,17.6,4.635792E-02,11.863204022050638
13,17.65,4.574011E-02,11.512319593127984
14,17.7,0.0587061,11.169737942351674
15,17.75,6.073909E-02,10.835502224513618
16,17.8,4.822513E-02,10.509655558915597
17,17.85,3.480419E-02,10.192241029369256
18,17.9,1.895131E-02,9.883301684195999
19,17.95,8.518889E-05,9.582880536227151
20,18,-1.258596E-02,9.291020562804079
21,18.05,-1.088142E-02,9.007764705777618
22,18.1,-1.339107E-02,8.733155871508814
23,18.15,-1.058874E-02,8.467236930868523
24,18.2,1.060171E-02,8.210050719237131
25,18.25,2.443651E-02,7.961640036505344
26,18.3,4.234202E-02,7.722047647073282
27,18.35,5.518918E-02,7.491316279851503
28,18.4,5.864169E-02,7.2694886282598645
29,18.45,5.260064E-02,7.056607350228489
30,18.5,0.0416378,6.8527150681969715
31,18.55,3.127453E-02,6.657854369115
32,18.6,1.508266E-02,6.472067804442304
33,18.65,-5.325606E-03,6.295397890148081
34,18.7,-1.894437E-02,6.127887106711398
35,18.75,-3.201912E-02,5.969577899121816
36,18.8,-4.715233E-02,5.820512676878025
37,18.85,-2.996594E-02,5.680733813988809
38,18.9,-7.298326E-03,5.550283648972993
39,18.95,1.009508E-02,5.429204484859099
40,19,0.0195588,5.3175385891854035
41,19.05,0.0243573,5.215328194000335
42,19.1,2.875179E-02,5.1226154958619645
43,19.15,4.45808E-03,5.039442655838286
44,19.2,-1.061246E-02,4.96585179950705
45,19.25,1.682065E-02,4.901885016956101
46,19.3,4.474498E-04,4.847584362782982
47,19.35,-1.079185E-02,4.802991856095105
48,19.4,-1.845389E-02,4.768149480509749
49,19.45,-3.807176E-02,4.743099184154119
50,19.5,-2.449072E-02,4.727882879665174
51,19.55,-2.158672E-02,4.722542444189855
52,19.6,-1.480806E-02,4.727119719384689
53,19.65,-1.209015E-03,4.741656511416522
54,19.7,1.026063E-03,4.766194590961732
55,19.75,9.104678E-03,4.80077569320656
56,19.8,3.709274E-03,4.845441517847348
57,19.85,6.082395E-03,4.900233729089905
58,19.9,0.0206382,4.96519395565042
59,19.95,1.749923E-02,5.040363790754384
60,20,9.416305E-03,5.125784792137495
61,20.05,1.092699E-02,5.221498482045206
62,20.1,7.887752E-03,5.3275463472328966
63,20.15,-5.698029E-03,5.44396983896587
64,20.2,-2.140715E-02,5.570810373019128
65,20.25,-3.095177E-02,5.708109329677427
66,20.3,-2.746055E-02,5.855908053735732
67,20.35,-1.440969E-02,6.014247854498649
68,20.4,-1.647665E-03,6.183170005780596
69,20.45,1.415729E-02,6.362715745906087
70,20.5,1.479769E-02,6.552926277709105
71,20.55,3.992219E-03,6.753842768534071
72,20.6,-8.481354E-03,6.965506350234705
73,20.65,-2.609489E-02,7.187958119174937
74,20.7,-3.010357E-02,7.42123913622828
75,20.75,-0.0257358,7.665390426778345
76,20.8,-1.703811E-02,7.920452980718551
77,20.85,-1.359836E-02,8.186467752452018
78,20.9,-5.123786E-03,8.463475660892072
79,20.95,-3.804629E-03,8.751517589461457
80,21,1.249259E-02,9.050634386093009
81,21.05,1.168067E-02,9.360866863229603
82,21.1,2.266283E-02,9.68225579782387
83,21.15,3.485823E-02,10.014841931337855
84,21.2,0.0419971,10.358665969744095
85,21.25,4.625924E-02,10.713768583524768
86,21.3,4.659795E-02,11.080190407671637
87,21.35,4.473025E-02,11.45797204168673
88,21.4,4.944111E-02,11.84715404958149
89,21.45,3.494814E-02,12.247776959877854
90,21.5,1.942781E-02,12.659881265607169
91,21.55,1.236497E-02,13.08350742431071
92,21.6,-1.17757E-03,13.51869585803962
93,21.65,-0.0209323,13.965486953354798
94,21.7,-2.961571E-02,14.423921061327292
95,21.75,-2.813514E-02,14.894038497537679
96,21.8,-3.232389E-02,15.375879542076746
97,21.85,-0.0347317,15.869484439544692
98,21.9,-2.139834E-02,16.37489339905204
99,21.95,-7.440772E-03,16.89214659421907
100,22,-1.894471E-02,17.4212841631757
101,22.05,-7.685529E-02,17.962346208561712
102,22.1,-0.177426,18.515372797526993
103,22.15,-0.1189658,19.08040396173118
104,22.2,0.8535762,19.657479697343717
105,22.25,3.592105,20.246639965043983
106,22.3,8.366498,20.847924690021046
107,22.35,14.34388,21.46137376197413
108,22.4,19.992,22.087027035112214
109,22.45,23.83983,22.72492432815386
110,22.5,24.91527,23.3751054243279
111,22.55,23.27235,24.037610071372796
112,22.6,20.04562,24.712477981536836
113,22.65,16.33121,25.399748831578393
114,22.7,12.82489,26.099462262765428
115,22.75,9.739001,26.81165788087594
116,22.8,7.103744,27.53637525619763
117,22.85,4.975558,28.273653923528457
118,22.9,3.34794,29.02353338217563
119,22.95,2.162737,29.786053095956845
120,23,1.342891,30.561252493199163
121,23.05,0.8258888,31.349170966739564
122,23.1,0.5301303,32.14984787392541
123,23.15,0.3636717,32.963322536613134
124,23.2,0.266026,33.78963424116955
125,23.25,0.223313,34.6288222384714
126,23.3,0.2338409,35.48092574390506
127,23.35,0.2615926,36.34598393736667
128,23.4,0.2915815,37.22403596326245
129,23.45,0.3349276,38.115120930508226
130,23.5,0.3785421,39.01927791253007
131,23.55,0.4082819,39.93654594726377
132,23.6,0.422468,40.86696403715462
133,23.65,0.4393272,41.81057114915819
134,23.7,0.4388774,42.76740621473965
135,23.75,0.4527937,43.73750812987453
136,23.8,0.4800472,44.720915755047656
137,23.85,0.5111005,45.71766791525374
138,23.9,0.5464486,46.72780339999764
139,23.95,0.587581,47.751360963294076
140,24,0.6605923,48.78837932366747
141,24.05,0.7515503,49.83889716415206
142,24.1,0.8200405,50.902953132292
143,24.15,0.8916759,51.98058584014137
144,24.2,0.9705211,53.07183386426425
145,24.25,1.028709,54.17673574573422
146,24.3,1.103452,55.29532999013503
147,24.35,1.219456,56.42765506756004
148,24.4,1.326151,57.573749412612585
149,24.45,1.430725,58.73365142440608
150,24.5,1.556091,59.90739946656345
151,24.55,1.705764,61.09503186721753
152,24.6,1.878416,62.296586919011105
153,24.65,2.029445,63.51210287909697
154,24.7,2.140246,64.74161796913776
155,24.75,2.178008,65.98517037530567
156,24.8,2.140854,67.24279824828298
157,24.85,2.07608,68.51453970326179
158,24.9,2.008771,69.80043281994378
159,24.95,1.965784,71.1005156425413
160,25,1.954074,72.41482617977542
161,25.05,1.957268,73.7434024048782
162,25.1,1.981564,75.08628225559082
163,25.15,2.015053,76.44350363416436
164,25.2,2.057551,77.81510440736031
165,25.25,2.122934,79.20112240644951
166,25.3,2.182446,80.60159542721266
167,25.35,2.230697,82.01656122994066
168,25.4,2.251717,83.44605753943372
169,25.45,2.23795,84.89012204500267
170,25.5,2.232706,86.34879240046732
171,25.55,2.204772,87.8221062241584
172,25.6,2.196718,89.31010109891554
173,25.65,2.191201,90.81281457208871
174,25.7,2.186267,92.33028415553758
175,25.75,2.183706,93.86254732563185
176,25.8,2.18394,95.40964152325094
177,25.85,2.208255,96.97160415378391
178,25.9,2.241222,98.54847258712996
179,25.95,2.299945,100.1402841576984
180,26,2.371984,101.74707616440818
181,26.05,2.471156,103.36888587068768
182,26.1,2.597178,105.00575050447571
183,26.15,2.711869,106.65770725822063
184,26.2,2.777287,108.32479328888095
185,26.25,2.771761,110.0070457179248
186,26.3,2.687136,111.70450163133017
187,26.35,2.553929,113.41719807958472
188,26.4,2.388874,115.14517207768651
189,26.45,2.260114,116.88846060514348
190,26.5,2.209632,118.64710060597264
191,26.55,2.212642,120.4211289887015
192,26.6,2.258675,122.21058262636731
193,26.65,2.347377,124.01549835651682
194,26.7,2.453043,125.83591298120754
195,26.75,2.546932,127.67186326700588
196,26.8,2.618868,129.52338594498838
197,26.85,2.682879,131.390517710742
198,26.9,2.75586,133.27329522436273
199,26.95,2.804676,135.1717551104571
200,27,2.884231,137.08593395814114
201,27.05,3.027952,139.01586832104053
202,27.1,3.170916,140.96159471729152
203,27.15,3.325214,142.92314962953927
204,27.2,3.485267,144.90056950493977
205,27.25,3.580735,146.89389075515828
206,27.3,3.603337,148.9031497563699
207,27.35,3.547444,150.9283828492601
208,27.4,3.523577,152.96962633902336
209,27.45,3.428508,155.02691649536513
210,27.5,3.308327,157.10028955249967
211,27.55,3.220118,159.18978170915176
212,27.6,3.122745,161.2954291285557
213,27.65,3.007071,163.41726793845572
214,27.7,2.90561,165.5553342311059
215,27.75,2.862357,167.70966406327074
216,27.8,2.863716,169.88029345622385
217,27.85,2.866855,172.06725839574872
218,27.9,2.906148,174.27059483213895
219,27.95,2.968807,176.49033868019836
220,28,2.996954,178.72652581924024
221,28.05,2.997862,180.9791920930872
222,28.1,2.975652,183.24837331007285
223,28.15,2.949432,185.53410524303973
224,28.2,2.935631,187.8364236293404
225,28.25,2.933573,190.15536417083837
226,28.3,2.964046,192.49096253390533
227,28.35,3.00878,194.84325434942386
228,28.4,3.040917,197.212275212786
229,28.45,3.079265,199.5980606838941
230,28.5,3.145226,202.00064628715973
231,28.55,3.251959,204.42006751150507
232,28.6,3.423401,206.85635981036097
233,28.65,3.69288,209.30955860166972
234,28.7,4.116682,211.77969926788262
235,28.75,4.709187,214.26681715596072
236,28.8,5.437522,216.7709475773751
237,28.85,6.284521,219.2921258081067
238,28.9,7.187892,221.83038708864598
239,28.95,8.165062,224.3857666239943
240,29,9.085002,226.95829958366164
241,29.05,9.925969,229.54802110166855
242,29.1,10.47803,232.15496627654494
243,29.15,10.62148,234.7791701713314
244,29.2,10.25129,237.420667813578
245,29.25,9.516446,240.07949419534407
246,29.3,8.602449,242.7556842731998
247,29.35,7.647466,245.4492729682242
248,29.4,6.766533,248.1602951660068
249,29.45,6.027808,250.88878571664722
250,29.5,5.413871,253.63477943475397
251,29.55,4.933808,256.39831109944686
252,29.6,4.541687,259.1794154543543
253,29.65,4.249554,261.97812720761465
254,29.7,4.039421,264.79448103187707
255,29.75,3.85518,267.62851156429997
256,29.8,3.690102,270.4802534065512
257,29.85,3.553046,273.349741124809
258,29.9,3.444629,276.2370092497617
259,29.95,3.365362,279.14209227660683
260,30,3.298567,282.065024665052
261,30.05,3.21637,285.00584083931545
262,30.1,3.140412,287.964575188124
263,30.15,3.06843,290.94126206471543
264,30.2,2.987784,293.9359357868366
265,30.25,2.923781,296.94863063674484
266,30.3,2.904672,299.9793808612071
267,30.35,2.8973,303.0282206714993
268,30.4,2.887817,306.0951842434084
269,30.45,2.878491,309.1803057172319
270,30.5,2.880222,312.28361919777507
271,30.55,2.910952,315.40515875435426
272,30.6,2.933041,318.5449584207959
273,30.65,2.998215,321.70305219543553
274,30.7,3.087342,324.87947404111924
275,30.75,3.130158,328.0742578852024
276,30.8,3.17193,331.2874376195508
277,30.85,3.184034,334.5190471005391
278,30.9,3.167944,337.7691201490532
279,30.95,3.103344,341.03769055048826
280,31,3.019517,344.32479205474885
281,31.05,2.932257,347.63045837625015
282,31.1,2.878723,350.9547231939164
283,31.15,2.841421,354.2976201511821
284,31.2,2.828054,357.6591828559921
285,31.25,2.802842,361.03944488080066
286,31.3,2.757496,364.43843976257097
287,31.35,2.703936,367.856201002778
288,31.4,2.648969,371.2927620674053
289,31.45,2.60621,374.7481563869464
290,31.5,2.573416,378.2224173564051
291,31.55,2.541277,381.71557833529454
292,31.6,2.510157,385.22767264763786
293,31.65,2.495794,388.7587335819686
294,31.7,2.486684,392.3087943913295
295,31.75,2.499911,395.8778882932737
296,31.8,2.514803,399.4660484698631
297,31.85,2.492092,403.0733080676715
298,31.9,2.445954,406.6997001977801
299,31.95,2.415481,410.3452579357825
300,32,2.413827,414.0100143217799
301,32.05,2.4381,417.6940023603844
302,32.1,2.474376,421.3972550207184
303,32.15,2.479196,425.11980523641296
304,32.2,2.482385,428.8616859056099
305,32.25,2.45432,432.6229298909609
306,32.3,2.420027,436.40357001962695
307,32.35,2.403378,440.2036390832798
308,32.4,2.416073,444.0231698380999
309,32.45,2.417201,447.8621950047791
310,32.5,2.408077,451.7207472685167
311,32.55,2.390062,455.5988592790238
312,32.6,2.357879,459.4965636505216
313,32.65,2.326904,463.4138929617401
314,32.7,2.310549,467.35087975591875
315,32.75,2.315645,471.3075565408084
316,32.8,2.338014,475.28395578866866
317,32.85,2.341443,479.28010993627026
318,32.9,2.338313,483.29605138489137
319,32.95,2.33617,487.33181250032294
320,33,2.313481,491.3874256128628
321,33.05,2.277683,495.46292301732126
322,33.1,2.241675,499.5583369730169
323,33.15,2.203223,503.6736997037786
324,33.2,2.160336,507.8090433979463
325,33.25,2.113741,511.964400208367
326,33.3,2.079674,516.1398022524003
327,33.35,2.070494,520.3352816119146
328,33.4,2.041806,524.5508703332878
329,33.45,1.983917,528.7866004274083
330,33.5,1.903307,533.042503869673
331,33.55,1.845445,537.318612599991
332,33.6,1.786759,541.6149585227793
333,33.65,1.77958,545.9315735069661
334,33.7,1.788424,550.2684893859887
335,33.75,1.804271,554.6257379577933
336,33.8,1.80001,559.0033509848381
337,33.85,1.778252,563.4013601940908
338,33.9,1.716239,567.8197972770265
339,33.95,1.659117,572.2586938896325
340,34,1.599371,576.7180816524059
341,34.05,1.574918,581.1979921503525
342,34.1,1.543828,585.69845693299
343,34.15,1.547247,590.2195075143425
344,34.2,1.547794,594.7611753729475
345,34.25,1.551147,599.3234919518501
346,34.3,1.535671,603.9064886586059
347,34.35,1.505174,608.5101968652821
348,34.4,1.479041,613.134647908452
349,34.45,1.470075,617.779873089203
350,34.5,1.463855,622.4459036731276
351,34.55,1.469252,627.1327708903328
352,34.6,1.470225,631.8405059354343
353,34.65,1.460846,636.5691399675545
354,34.7,1.455483,641.3187041103306
355,34.75,1.440699,646.0892294519044
356,34.8,1.437926,650.8807470449321
357,34.85,1.444425,655.6932879065778
358,34.9,1.45299,660.5268830185137
359,34.95,1.485009,665.3815633269267
360,35,1.506384,670.2573597425086
361,35.05,1.499544,675.1543031404628
362,35.1,1.50489,680.072424360505
363,35.15,1.503183,685.0117542068557
