,Time,Value,Nucleotides
0,17,-5.892345E-02,-30.337636001400256
1,17.05,-5.667407E-02,-30.000158297468715
2,17.1,-5.686389E-02,-29.66317316687548
3,17.15,-0.0535408,-29.32658626838952
4,17.2,-5.391189E-02,-28.990303433249665
5,17.25,-4.577942E-02,-28.654230665165187
6,17.3,-2.783168E-02,-28.31827414031659
7,17.35,-6.55293E-03,-27.982340207353786
8,17.4,8.392571E-03,-27.646335387396903
9,17.45,6.973284E-03,-27.310166374037635
10,17.5,1.203918E-02,-26.973740033336753
11,17.55,-1.059904E-03,-26.63696340382603
12,17.6,-1.142733E-02,-26.299743696507676
13,17.65,-8.963661E-03,-25.96198829485388
14,17.7,1.876628E-04,-25.623604754807275
15,17.75,1.139213E-02,-25.2845008047816
16,17.8,2.075487E-02,-24.944584345659678
17,17.85,2.513373E-02,-24.603763450796237
18,17.9,2.251732E-02,-24.261946366014058
19,17.95,6.456375E-03,-23.919041509609542
20,18,1.067505E-02,-23.574957472346114
21,18.05,-1.072796E-02,-23.229603017459908
22,18.1,-0.0393458,-22.882887080656474
23,18.15,-5.560762E-02,-22.534718770111795
24,18.2,-5.290104E-02,-22.18500736647252
25,18.25,-3.852451E-02,-21.833662322855275
26,18.3,-2.470292E-02,-21.480593264847585
27,18.35,-7.207598E-03,-21.12570999050638
28,18.4,8.130022E-03,-20.768922470359712
29,18.45,-6.760152E-03,-20.410140847406183
30,18.5,-9.402956E-04,-20.04927543711392
31,18.55,1.007433E-02,-19.686236727422624
32,18.6,2.790397E-02,-19.320935378740955
33,18.65,3.374555E-02,-18.953282223949486
34,18.7,3.387466E-02,-18.583188268397407
35,18.75,2.729416E-02,-18.210564689905596
36,18.8,1.157416E-02,-17.835322838765023
37,18.85,-1.686203E-03,-17.45737423773619
38,18.9,-2.761886E-03,-17.076630582051735
39,18.95,-7.900673E-03,-16.69300373941303
40,19,1.561977E-03,-16.30640574999245
41,19.05,-1.838444E-04,-15.91674882643224
42,19.1,-1.026314E-02,-15.523945353846102
43,19.15,-3.009282E-02,-15.127907889817266
44,19.2,-3.366377E-02,-14.728549164399169
45,19.25,-3.363364E-02,-14.3257820801158
46,19.3,-3.882913E-02,-13.919519711962266
47,19.35,-4.430527E-02,-13.509675307403427
48,19.4,-4.726682E-02,-13.096162286374124
49,19.45,-7.033241E-02,-12.678894241280318
50,19.5,-8.334507E-02,-12.257784936997268
51,19.55,-0.0850546,-11.83274831087192
52,19.6,-7.653362E-02,-11.403698472720635
53,19.65,-7.058475E-02,-10.970549704831228
54,19.7,-5.395772E-02,-10.533216461960478
55,19.75,-3.760166E-02,-10.091613371336166
56,19.8,-0.0386967,-9.645655232656509
57,19.85,-4.312171E-02,-9.195257018090047
58,19.9,-2.360143E-02,-8.740333872275869
59,19.95,-2.075428E-02,-8.28080111232282
60,20,-2.864583E-02,-7.816574227810975
61,20.05,-0.0309156,-7.347568880790163
62,20.1,-2.885808E-02,-6.873700905781334
63,20.15,-3.570289E-02,-6.394886309773824
64,20.2,-4.206185E-02,-5.911041272230136
65,20.25,-0.0368515,-5.422082145080708
66,20.3,-2.851699E-02,-4.927925452727891
67,20.35,-3.237931E-02,-4.428487892043904
68,20.4,-2.172457E-02,-3.9236863323712896
69,20.45,-1.173866E-02,-3.4134378155229115
70,20.5,-8.846303E-03,-2.897659555781729
71,20.55,-0.0149644,-2.37626893990182
72,20.6,-3.206244E-02,-1.849183527107357
73,20.65,-0.0437824,-1.3163210490919255
74,20.7,-5.382948E-02,-0.7775994100214803
75,20.75,-6.661535E-02,-0.23293668653047916
76,20.8,-6.542016E-02,0.3177488722757289
77,20.85,-4.767192E-02,0.8745388448214726
78,20.9,-3.885761E-02,1.437514637059735
79,20.95,-4.423678E-02,2.006757482474086
80,21,-5.292664E-02,2.582348442078114
81,21.05,-4.843849E-02,3.1643684044138354
82,21.1,-3.660105E-02,3.752898085554534
83,21.15,-2.534263E-02,4.34801802910124
84,21.2,-3.036188E-02,4.9498086061857975
85,21.25,-4.452006E-02,5.558350015469273
86,21.3,-7.047495E-02,6.173722283142638
87,21.35,-7.679983E-02,6.796005262926656
88,21.4,-6.471223E-02,7.425278636071084
89,21.45,-4.672151E-02,8.061621911355815
90,21.5,-3.778399E-02,8.705114425089505
91,21.55,-4.646211E-02,9.355835341112993
92,21.6,-0.0540495,10.013863650792587
93,21.65,-2.703927E-02,10.679278173028024
94,21.7,-1.387236E-02,11.352157554247242
95,21.75,2.207184E-03,12.032580268407514
96,21.8,4.462489E-04,12.720624616995451
97,21.85,-1.609308E-02,13.416368729027909
98,21.9,-1.386397E-02,14.11989056105233
