Data File Name,Eukaryote Total RNA Nano_2020-10-22_11-04-04.xad
Data File Path,C:\Program Files (x86)\Agilent\2100 bioanalyzer\2100 expert\Data\2020-10-22
Date Created,"Thursday, October 22, 2020 6:04:04 PM"
Date Last Modified,"Thursday, October 22, 2020 6:29:25 PM"
Version Created,B.02.10.SI764
Version Last Modified,B.02.10.SI764
 
Assay Name,Eukaryote Total RNA Nano Series II
Assay Path,C:\Program Files (x86)\Agilent\2100 bioanalyzer\2100 expert\assays\RNA
Assay Title,Eukaryote Total RNA Nano
Assay Version,2.6
 
Number of Samples Run,10
 
Sample Name,RNA4_U_TP2
Number of Events,1060
 
Time,Value
17,-0.1756198
17.05,-0.1795092
17.1,-0.1637051
17.15,-0.1395259
17.2,-0.1197762
17.25,-0.1026619
17.3,-8.699957E-02
17.35,-0.0820314
17.4,-9.389187E-02
17.45,-9.995583E-02
17.5,-0.1063652
17.55,-0.1181006
17.6,-0.1218856
17.65,-0.1186263
17.7,-0.1129326
17.75,-0.1117915
17.8,-0.1068111
17.85,-0.1012482
17.9,-9.105078E-02
17.95,-8.231912E-02
18,-8.122963E-02
18.05,-8.503708E-02
18.1,-8.488205E-02
18.15,-0.0882052
18.2,-9.348696E-02
18.25,-0.1081731
18.3,-0.1188499
18.35,-0.1234118
18.4,-0.1267175
18.45,-0.1189036
18.5,-9.883408E-02
18.55,-0.0799232
18.6,-6.716346E-02
18.65,-4.617305E-02
18.7,-1.698512E-02
18.75,1.447955E-03
18.8,1.682906E-02
18.85,3.336536E-02
18.9,4.872603E-02
18.95,5.400509E-02
19,6.393088E-02
19.05,7.683896E-02
19.1,7.435045E-02
19.15,6.548552E-02
19.2,6.758935E-02
19.25,6.175545E-02
19.3,3.653722E-02
19.35,6.438905E-04
19.4,-3.383881E-02
19.45,-5.536056E-02
19.5,-6.073072E-02
19.55,-5.369978E-02
19.6,-2.332016E-02
19.65,9.372289E-03
19.7,2.238389E-02
19.75,6.857931E-03
19.8,-1.106388E-02
19.85,-2.769011E-02
19.9,-4.386328E-02
19.95,-4.452216E-02
20,-2.979382E-02
20.05,-0.0252137
20.1,-1.978801E-02
20.15,-9.850106E-03
20.2,-7.956812E-03
20.25,-2.721245E-02
20.3,-5.631094E-02
20.35,-8.070854E-02
20.4,-7.510409E-02
20.45,-4.532871E-02
20.5,6.593407E-03
20.55,4.337708E-02
20.6,5.119848E-02
20.65,2.015603E-02
20.7,-2.456552E-02
20.75,-4.693273E-02
20.8,-5.557333E-02
20.85,-5.672608E-02
20.9,-3.750348E-02
20.95,4.453187E-03
21,3.072068E-02
21.05,2.159984E-02
21.1,2.228915E-04
21.15,-2.148179E-02
21.2,-5.070658E-02
21.25,-5.909731E-02
21.3,-5.369061E-02
21.35,-2.663119E-02
21.4,4.284138E-04
21.45,2.035141E-02
21.5,4.415042E-02
21.55,5.924897E-02
21.6,5.439364E-02
21.65,3.977832E-02
21.7,0.0274127
21.75,2.654076E-02
21.8,2.506977E-02
21.85,4.151604E-02
21.9,5.293514E-02
21.95,5.559039E-02
22,7.914588E-02
22.05,5.810612E-02
22.1,-6.301024E-03
22.15,-0.0544464
22.2,0.4515381
22.25,2.187956
22.3,5.409178
22.35,9.747928
22.4,14.12868
22.45,17.31061
22.5,18.49978
22.55,17.79676
22.6,15.75959
22.65,13.16667
22.7,10.51783
22.75,8.148177
22.8,6.086551
22.85,4.387048
22.9,3.048757
22.95,2.079511
23,1.31767
23.05,0.7713204
23.1,0.4340675
23.15,0.2563319
23.2,0.1424324
23.25,8.876812E-02
23.3,0.0565189
23.35,2.169159E-02
23.4,-2.653986E-02
23.45,-5.117278E-02
23.5,-2.874842E-02
23.55,-7.187916E-03
23.6,3.486441E-02
23.65,7.793038E-02
23.7,0.1044378
23.75,0.1040859
23.8,8.112046E-02
23.85,5.634885E-02
23.9,5.004842E-02
23.95,5.522466E-02
24,8.321228E-02
24.05,0.1004033
24.1,0.1204895
24.15,0.1291596
24.2,0.117098
24.25,0.1122021
24.3,0.1194585
24.35,0.1454058
24.4,0.1702979
24.45,0.1863983
24.5,0.188883
24.55,0.1895826
24.6,0.1659464
24.65,0.124599
24.7,9.307411E-02
24.75,7.574844E-02
24.8,6.096064E-02
24.85,6.063556E-02
24.9,6.399654E-02
24.95,6.694148E-02
25,0.0535113
25.05,3.834096E-02
25.1,2.838866E-02
25.15,0.0259497
25.2,3.981366E-02
25.25,6.311111E-02
25.3,7.439205E-02
25.35,8.431099E-02
25.4,8.493489E-02
25.45,7.180039E-02
25.5,6.535492E-02
25.55,6.600558E-02
25.6,6.499366E-02
25.65,5.917532E-02
25.7,0.0590569
25.75,8.429642E-02
25.8,0.1241178
25.85,0.1685904
25.9,0.1850941
25.95,0.1671696
26,0.1328799
26.05,0.1040098
26.1,9.647456E-02
26.15,0.1102449
26.2,0.1393084
26.25,0.1640455
26.3,0.1694804
26.35,0.1711889
26.4,0.1716933
26.45,0.1713186
26.5,0.1696586
26.55,0.171767
26.6,0.1844045
26.65,0.1987735
26.7,0.2058538
26.75,0.2047228
26.8,0.2195508
26.85,0.2296123
26.9,0.2300473
26.95,0.2404289
27,0.253451
27.05,0.2718136
27.1,0.2747988
27.15,0.2740722
27.2,0.2869317
27.25,0.2941813
27.3,0.315589
27.35,0.3641394
27.4,0.4211606
27.45,0.4691447
27.5,0.4978068
27.55,0.5033088
27.6,0.4724391
27.65,0.4418513
27.7,0.4175501
27.75,0.3972166
27.8,0.3742995
27.85,0.3559076
27.9,0.348616
27.95,0.3538914
28,0.3614101
28.05,0.39013
28.1,0.3953398
28.15,0.3773068
