Data File Name,Eukaryote Total RNA Nano_2020-10-22_11-19-17.xad
Data File Path,C:\Program Files (x86)\Agilent\2100 bioanalyzer\2100 expert\Data\2020-10-22
Date Created,"Thursday, October 22, 2020 6:19:17 PM"
Date Last Modified,"Thursday, October 22, 2020 6:52:33 PM"
Version Created,B.02.10.SI764
Version Last Modified,B.02.10.SI764
 
Assay Name,Eukaryote Total RNA Nano Series II
Assay Path,C:\Program Files (x86)\Agilent\2100 bioanalyzer\2100 expert\assays\RNA
Assay Title,Eukaryote Total RNA Nano
Assay Version,2.6
 
Number of Samples Run,10
 
Sample Name,RNA7_U_TP3
Number of Events,1060
 
Time,Value
17,3.334045E-03
17.05,3.334045E-03
17.1,3.334045E-03
17.15,3.334045E-03
17.2,3.334045E-03
17.25,-3.481093E-03
17.3,2.722831E-02
17.35,6.492683E-02
17.4,7.350452E-02
17.45,6.933721E-02
17.5,8.467446E-02
17.55,0.1039385
17.6,9.415632E-02
17.65,5.907608E-02
17.7,0.2363837
17.75,0.6958374
17.8,1.125264
17.85,1.334995
17.9,1.199426
17.95,0.8243438
18,0.3374977
18.05,-2.472468E-02
18.1,-7.354531E-02
18.15,3.977587E-02
18.2,0.0894053
18.25,0.1002376
18.3,7.259528E-02
18.35,0.0589283
18.4,4.552374E-02
18.45,5.875849E-02
18.5,0.0584073
18.55,7.059209E-02
18.6,6.948948E-02
18.65,7.479776E-02
18.7,8.856932E-02
18.75,9.248798E-02
18.8,7.529854E-02
18.85,4.387072E-02
18.9,2.324308E-02
18.95,2.568662E-03
19,-0.0153774
19.05,-1.128766E-02
19.1,-0.0166453
19.15,-2.329494E-02
19.2,-0.0333176
19.25,-3.949265E-02
19.3,-0.0310758
19.35,-2.190331E-02
19.4,-9.724583E-03
19.45,-0.0107525
19.5,-1.843907E-02
19.55,-1.953779E-02
19.6,-2.432731E-02
19.65,-2.824821E-02
19.7,-3.192589E-02
19.75,-3.227254E-02
19.8,-3.470527E-02
19.85,-2.804438E-02
19.9,-1.749556E-02
19.95,-1.952332E-02
20,-2.374903E-02
20.05,-3.705362E-02
