,Time,Value,Nucleotides
0,17,-3.119983E-02,-777.4841807930934
1,17.05,-3.893106E-02,-766.1725946344413
2,17.1,-5.450185E-02,-754.9562873519844
3,17.15,-6.516905E-02,-743.8345785114725
4,17.2,-5.321403E-02,-732.8067892523413
5,17.25,-3.112981E-02,-721.8722422877381
6,17.3,-1.316901E-02,-711.0302619045051
7,17.35,2.524341E-03,-700.2801739631886
8,17.4,-8.814382E-03,-689.6213058980411
9,17.45,-3.749504E-02,-679.0529867170026
10,17.5,-5.048655E-02,-668.5745470017355
11,17.55,-4.326098E-02,-658.185318907581
12,17.6,-1.205241E-02,-647.8846361636006
13,17.65,2.210374E-02,-637.671834072542
14,17.7,5.247214E-02,-627.5462495108623
15,17.75,6.094534E-02,-617.5072209287209
16,17.8,7.253888E-02,-607.5540883499798
17,17.85,7.556117E-02,-597.6861933721902
18,17.9,5.752461E-02,-587.902879166626
19,17.95,4.589446E-02,-578.2034904782413
20,18,4.667849E-02,-568.5873736256999
21,18.05,2.396574E-02,-559.0538765013698
22,18.1,1.957009E-02,-549.6023485713195
23,18.15,1.760805E-02,-540.232140875316
24,18.2,2.492207E-02,-530.9426060268288
25,18.25,2.806958E-02,-521.7330982130352
26,18.3,2.628681E-02,-512.6029731947965
27,18.35,3.063443E-02,-503.5515883066946
28,18.4,0.0184585,-494.5783024570028
29,18.45,5.707721E-03,-485.68247612769846
30,18.5,-1.029321E-02,-476.86347137445955
31,18.55,-2.847419E-02,-468.1206518266699
32,18.6,-3.511117E-02,-459.4533826873976
33,18.65,-4.262099E-02,-450.8610307334402
34,18.7,-4.214387E-02,-442.34296431527036
35,18.75,-4.260769E-02,-433.89855335708125
36,18.8,-3.913473E-02,-425.527169356752
37,18.85,-4.276728E-02,-417.2281853858767
38,18.9,-4.316951E-02,-409.00097608974284
39,18.95,-3.157044E-02,-400.84491768734006
40,19,-2.824511E-02,-392.75938797136223
41,19.05,-4.623558E-02,-384.7437663081964
42,19.1,-5.329069E-02,-376.7974336379448
43,19.15,-6.907576E-02,-368.91977247440445
44,19.2,-0.0663708,-361.11016690506403
45,19.25,-5.643731E-02,-353.36800259112897
46,19.3,-1.952058E-02,-345.6926667675052
47,19.35,3.632186E-02,-338.08354824278103
48,19.4,7.296782E-02,-330.54003739927066
49,19.45,8.636032E-02,-323.06152619297427
50,19.5,0.0940114,-315.64740815359255
51,19.55,6.880442E-02,-308.2970783845449
52,19.6,5.574281E-02,-301.00993356293293
53,19.65,4.284113E-02,-293.78537193956436
54,19.7,5.403272E-02,-286.6227933389582
55,19.75,6.194925E-02,-279.5215991593159
56,19.8,5.609362E-02,-272.48119237255924
57,19.85,5.093718E-02,-265.5009775243052
58,19.9,5.430365E-02,-258.580360733873
59,19.95,5.269217E-02,-251.71874969427154
60,20,4.892299E-02,-244.91555367222463
61,20.05,4.284564E-02,-238.1701835081567
62,20.1,4.629138E-02,-231.48205161618534
63,20.15,6.408328E-02,-224.8505719841378
64,20.2,8.029064E-02,-218.27516017353992
65,20.25,9.180018E-02,-211.75523331962358
66,20.3,9.075702E-02,-205.29021013130114
67,20.35,7.240215E-02,-198.87951089121816
68,20.4,5.324113E-02,-192.52255745569528
69,20.45,3.747377E-02,-186.21877325476999
70,20.5,2.971707E-02,-179.96758329216937
71,20.55,3.729564E-02,-173.7684141453392
72,20.6,4.290795E-02,-167.62069396540574
