Data File Name,Eukaryote Total RNA Nano_2020-10-22_12-33-14.xad
Data File Path,C:\Program Files (x86)\Agilent\2100 bioanalyzer\2100 expert\Data\2020-10-22
Date Created,"Thursday, October 22, 2020 7:33:13 PM"
Date Last Modified,"Thursday, October 22, 2020 8:31:49 PM"
Version Created,B.02.10.SI764
Version Last Modified,B.02.10.SI764
 
Assay Name,Eukaryote Total RNA Nano Series II
Assay Path,C:\Program Files (x86)\Agilent\2100 bioanalyzer\2100 expert\assays\RNA
Assay Title,Eukaryote Total RNA Nano
Assay Version,2.6
 
Number of Samples Run,10
 
Sample Name,RNA8_U_TP2
Number of Events,1060
 
Time,Value
17,-5.644171E-02
17.05,-4.758408E-02
17.1,-3.820994E-02
17.15,-3.745796E-02
17.2,-2.864615E-02
17.25,-2.391966E-02
17.3,-4.089066E-02
17.35,-5.658643E-02
17.4,-1.730691E-02
17.45,-6.884418E-03
17.5,-1.655579E-03
17.55,-6.774368E-03
17.6,-7.268988E-03
17.65,-1.606804E-02
17.7,-2.854998E-02
17.75,-2.806168E-02
17.8,-2.008972E-02
17.85,-2.542483E-02
17.9,-2.061081E-02
17.95,-2.250723E-02
18,-1.658554E-02
18.05,-9.549713E-04
18.1,6.127677E-03
18.15,1.633286E-02
18.2,0.0173834
18.25,4.886627E-03
18.3,-2.283279E-02
18.35,-4.486895E-02
18.4,-4.608871E-02
18.45,-3.699886E-02
18.5,-2.102829E-02
18.55,-5.222778E-03
18.6,-1.425445E-02
18.65,-3.502693E-02
18.7,-0.0476268
18.75,-5.027964E-02
18.8,-4.003097E-02
18.85,-8.21705E-03
18.9,3.319992E-02
18.95,6.705178E-02
19,8.579197E-02
19.05,0.103883
19.1,0.1155576
19.15,0.1185028
19.2,0.1291595
19.25,0.1392289
19.3,0.1355347
19.35,0.1186472
19.4,8.661298E-02
19.45,6.283676E-02
19.5,5.065529E-02
19.55,4.414818E-02
19.6,4.951598E-02
19.65,5.682003E-02
19.7,5.487765E-02
19.75,5.999834E-02
19.8,5.864288E-02
19.85,5.069372E-02
19.9,4.047835E-02
19.95,3.778914E-02
20,3.977203E-02
20.05,4.700333E-02
20.1,2.861661E-02
20.15,2.291946E-02
20.2,4.731771E-03
20.25,1.236153E-02
20.3,4.359405E-02
20.35,6.575646E-02
20.4,8.794907E-02
20.45,9.572522E-02
20.5,7.347477E-02
20.55,6.813202E-02
20.6,6.147502E-02
