,Time,Value,Nucleotides
0,17,-4.101181E-02,18.79374000337799
1,17.05,-4.101181E-02,18.30293621985504
2,17.1,-4.101181E-02,17.8206094058433
3,17.15,-4.101181E-02,17.34679610066155
4,17.2,-4.101181E-02,16.881532835198755
5,17.25,-2.915701E-02,16.424856131914282
6,17.3,-2.846762E-02,15.976802504838076
7,17.35,-0.0292241,15.537408459570088
8,17.4,-2.961993E-02,15.1067104932809
9,17.45,-3.887516E-02,14.684745094711161
10,17.5,-5.330638E-02,14.27154874417198
11,17.55,-6.370097E-02,13.86715791354493
12,17.6,-6.052945E-02,13.471609066281758
13,17.65,-5.594483E-02,13.08493865740462
14,17.7,-3.861846E-02,12.707183133505964
15,17.75,-2.122924E-02,12.33837893274864
16,17.8,-2.386013E-02,11.978562484865904
17,17.85,-2.855296E-02,11.627770211161192
18,17.9,-2.517296E-02,11.286038524508456
19,17.95,-4.188392E-02,10.953403829351771
20,18,-3.599167E-02,10.62990252170573
21,18.05,-3.941309E-02,10.31557098915522
22,18.1,-3.005961E-02,10.01044561085547
23,18.15,-2.720964E-02,9.714562757532065
24,18.2,-2.313814E-02,9.427958791480933
25,18.25,4.413301E-03,9.150670066568239
26,18.3,1.656895E-02,8.882732928230666
27,18.35,1.87161E-03,8.62418371347502
28,18.4,9.750715E-03,8.37505875087885
29,18.45,-1.192656E-02,8.135394360589487
30,18.5,-0.0199075,7.905226854324951
31,18.55,-1.794982E-02,7.684592535373724
32,18.6,1.892124E-02,7.473527698594296
33,18.65,3.614837E-02,7.2720686304156175
34,18.7,2.710134E-02,7.080251608837216
35,18.75,3.085288E-03,6.898112903428512
36,18.8,-0.0148462,6.725688775329672
37,18.85,-2.279762E-02,6.563015477250985
38,18.9,-1.945118E-02,6.410129253473315
39,18.95,-1.293513E-02,6.267066339847474
40,19,7.655147E-03,6.133862963794968
41,19.05,-4.087349E-03,6.010555344307534
42,19.1,-9.251997E-03,5.897179691947201
43,19.15,-2.071459E-02,5.793772208846292
44,19.2,-0.0115857,5.700369088707646
45,19.25,-6.336222E-03,5.617006516804395
46,19.3,-5.084869E-03,5.543720669979848
47,19.35,-7.161291E-03,5.480547716647891
48,19.4,-8.128192E-03,5.427523816792643
49,19.45,4.141153E-04,5.384685121968403
50,19.5,1.734313E-02,5.35206777530027
51,19.55,2.970518E-02,5.329707911483069
52,19.6,3.600752E-02,5.3176416567824845
53,19.65,2.207276E-02,5.315905129034206
54,19.7,1.528531E-02,5.324534437644559
55,19.75,3.967241E-03,5.343565683590043
56,19.8,-1.60834E-03,5.373034959417282
57,19.85,-2.779839E-03,5.412978349243588
58,19.9,-3.62229E-03,5.463431928756734
59,19.95,1.622968E-03,5.524431765214331
60,20,1.466143E-02,5.5960139174446795
61,20.05,1.780014E-02,5.678214435846257
62,20.1,2.015528E-02,5.771069362388118
63,20.15,2.309729E-02,5.87461473060938
64,20.2,1.715699E-02,5.98888656561968
65,20.25,8.241857E-03,6.113920884098889
66,20.3,-2.270053E-05,6.249753694297453
67,20.35,-1.252956E-02,6.396420996035829
68,20.4,-3.633895E-02,6.553958780705102
69,20.45,-5.301593E-02,6.722403031266424
70,20.5,-5.286108E-02,6.901789722251465
71,20.55,-5.392462E-02,7.092154819762243
72,20.6,-5.965504E-02,7.293534281471068
73,20.65,-0.0580338,7.505964056620542
74,20.7,-5.746706E-02,7.729480086023898
75,20.75,-6.975658E-02,7.964118302064151
76,20.8,-7.010243E-02,8.209914628695344
77,20.85,-4.544381E-02,8.466904981441303
78,20.9,-2.970955E-02,8.735125267396313
79,20.95,-3.200496E-02,9.014611385225408
80,21,-2.770728E-02,9.305399225163342
81,21.05,-3.750131E-02,9.607524669015618
82,21.1,-5.156064E-02,9.921023590158029
83,21.15,-6.353319E-02,10.24593185353649
84,21.2,-4.066165E-02,10.582285315667662
85,21.25,-1.746965E-02,10.930119824638211
86,21.3,-4.441619E-03,11.289471220105213
87,21.35,7.871759E-03,11.660375333296145
88,21.4,7.616078E-03,12.042867987008776
89,21.45,-2.486472E-03,12.436984995611454
90,21.5,-0.0172904,12.842762165042245
91,21.55,-2.867541E-02,13.260235292810307
92,21.6,-1.822421E-02,13.68944016799469
93,21.65,-5.615987E-04,14.130412571244904
94,21.7,1.718602E-02,14.58318827478081
95,21.75,2.047285E-02,15.047803042392502
96,21.8,1.929635E-02,15.524292629440652
97,21.85,1.365131E-02,16.012692782856107
98,21.9,1.625355E-02,16.513039241140007
99,21.95,2.031021E-02,17.02536773436384
100,22,8.088057E-03,17.549713984169784
101,22.05,-5.374464E-02,18.086113703769797
102,22.1,-0.1720806,18.63460259794647
103,22.15,0.0402992,19.195216363052907
104,22.2,1.648765,19.767990687012286
105,22.25,5.317145,20.35296124931841
106,22.3,10.89273,20.950163721034755
107,22.35,17.15238,21.55963376479599
108,22.4,22.40872,22.181407034806625
109,22.45,25.31209,22.81551917684169
110,22.5,25.3761,23.462005828246504
111,22.55,23.22137,24.120902617936622
112,22.6,20.04389,24.792245166398175
113,22.65,16.62258,25.476069085687357
114,22.7,13.39292,26.172409979430938
115,22.75,10.54727,26.88130344282615
116,22.8,8.059397,27.602785062639953
117,22.85,5.971725,28.33689041721027
118,22.9,4.243889,29.08365507644521
119,22.95,2.868331,29.84311460182306
120,23,1.831674,30.615304546392622
121,23.05,1.105914,31.400260454772877
122,23.1,0.6602603,32.19801786315344
123,23.15,0.4118216,33.00861229929393
124,23.2,0.2448476,33.83207928252449
125,23.25,0.146501,34.66845432374555
126,23.3,7.882921E-02,35.517772925427835
127,23.35,6.357006E-02,36.38007058161253
128,23.4,7.889389E-02,37.25538277791111
129,23.45,8.890543E-02,38.14374499150546
130,23.5,9.386443E-02,39.04519269114758
131,23.55,9.107651E-02,39.95976133716022
132,23.6,8.147889E-02,40.88748638143596
133,23.65,8.418112E-02,41.828403267438034
134,23.7,0.1045057,42.7825474302
135,23.75,9.908171E-02,43.749954296325825
136,23.8,7.852363E-02,44.73065928398967
137,23.85,6.978954E-02,45.72469780293591
138,23.9,5.480403E-02,46.73210525447945
139,23.95,4.812553E-02,47.75291703150589
140,24,4.782613E-02,48.78716851847037
141,24.05,5.392931E-02,49.834895091399176
142,24.1,5.414701E-02,50.89613211788827
143,24.15,0.0593933,51.970914957104355
144,24.2,8.264923E-02,53.059278959784365
145,24.25,0.1081079,54.1612594682357
146,24.3,0.1112199,55.27689181633576
147,24.35,0.1153397,56.40621132953271
148,24.4,0.1126425,57.54925332484481
149,24.45,8.838549E-02,58.70605311086058
150,24.5,7.648508E-02,59.876645987739266
151,24.55,0.0850314,61.06106724721002
152,24.6,8.810351E-02,62.25935217257279
