Data File Name,Eukaryote Total RNA Nano_2020-10-21_16-07-11.xad
Data File Path,C:\Program Files (x86)\Agilent\2100 bioanalyzer\2100 expert\Data\2020-10-21
Date Created,"Wednesday, October 21, 2020 11:07:11 PM"
Date Last Modified,"Wednesday, October 21, 2020 11:43:56 PM"
Version Created,B.02.10.SI764
Version Last Modified,B.02.10.SI764
 
Assay Name,Eukaryote Total RNA Nano Series II
Assay Path,C:\Program Files (x86)\Agilent\2100 bioanalyzer\2100 expert\assays\RNA
Assay Title,Eukaryote Total RNA Nano
Assay Version,2.6
 
Number of Samples Run,12
 
Sample Name,RNA1_TP7
Number of Events,1060
 
Time,Value
17,-0.108963
17.05,-0.108963
17.1,-0.108963
17.15,-0.108963
17.2,-0.108963
17.25,-0.108963
17.3,-0.108963
17.35,-0.108963
17.4,-0.108963
17.45,-9.184339E-02
17.5,-6.853274E-02
17.55,-7.485078E-02
17.6,-8.718698E-02
17.65,-9.997427E-02
17.7,-0.1000097
17.75,-8.535424E-02
17.8,-7.637672E-02
17.85,-6.997538E-02
17.9,-4.341874E-02
17.95,-5.383896E-02
18,-0.0467186
18.05,-2.101962E-02
18.1,-7.987322E-03
18.15,1.121217E-02
18.2,1.579591E-02
18.25,4.239284E-04
18.3,1.183534E-03
18.35,6.002555E-03
18.4,6.436676E-03
18.45,4.655457E-03
18.5,1.284313E-03
18.55,3.996199E-03
18.6,-1.595546E-02
18.65,-4.973418E-02
18.7,-0.0510697
18.75,-3.866084E-02
18.8,-2.774765E-02
18.85,-2.178223E-02
18.9,-1.171875E-03
18.95,1.916242E-02
19,1.416852E-02
19.05,6.026448E-03
19.1,1.250565E-02
19.15,2.023399E-02
19.2,1.860346E-02
19.25,1.637091E-02
19.3,2.145747E-02
19.35,1.583176E-02
19.4,-7.762541E-03
19.45,-2.332403E-02
19.5,-2.631632E-02
19.55,-3.142142E-02
19.6,-3.282278E-02
19.65,-2.698549E-02
19.7,-2.132419E-02
19.75,-1.273431E-02
19.8,-1.318197E-03
19.85,1.354403E-02
19.9,2.089456E-02
19.95,1.067652E-02
20,5.083221E-03
20.05,-1.464431E-02
20.1,-5.370173E-02
20.15,-0.0561211
20.2,-2.566866E-02
20.25,3.542328E-02
20.3,0.0797568
20.35,9.541807E-02
20.4,8.898284E-02
20.45,2.376501E-02
20.5,-0.0312875
20.55,-5.892557E-02
20.6,-5.758573E-02
20.65,-2.277636E-02
20.7,9.629821E-03
20.75,3.313088E-02
20.8,4.117967E-02
20.85,3.648367E-02
20.9,5.016328E-02
20.95,7.730099E-02
21,0.1084756
21.05,0.1205437
21.1,9.934324E-02
21.15,4.793701E-02
21.2,3.419418E-03
21.25,-1.571852E-02
21.3,-2.518871E-02
21.35,-4.120552E-02
21.4,-5.926194E-02
21.45,-6.949645E-02
21.5,-7.260174E-02
21.55,-6.875154E-02
21.6,-5.914841E-02
21.65,-5.164899E-02
21.7,-4.866461E-02
21.75,-4.774602E-02
21.8,-4.806607E-02
21.85,-4.082423E-02
21.9,-3.702245E-02
21.95,-3.515656E-02
22,-4.679913E-02
22.05,-9.127351E-02
22.1,-0.1630927
22.15,-0.2209988
22.2,0.2851883
22.25,2.33298
22.3,6.450269
22.35,12.11237
22.4,18.11206
22.45,22.75761
22.5,24.88204
22.55,24.27764
22.6,21.83969
22.65,18.60288
22.7,15.28648
22.75,12.22392
22.8,9.500193
22.85,7.104367
22.9,5.11349
22.95,3.563062
23,2.385546
23.05,1.497213
23.1,0.8897248
23.15,0.4937268
23.2,0.243355
23.25,0.1052946
23.3,3.187293E-02
23.35,-8.152008E-03
23.4,-2.169342E-02
23.45,-0.0400798
23.5,-4.042005E-02
23.55,-1.402818E-02
23.6,3.14401E-03
23.65,5.23275E-03
23.7,2.907531E-03
23.75,-5.122019E-03
23.8,1.826517E-03
23.85,0.0244278
23.9,4.139979E-02
23.95,5.589524E-02
24,0.0461731
24.05,5.133473E-02
24.1,5.965653E-02
24.15,5.810424E-02
24.2,5.982304E-02
24.25,7.228851E-02
24.3,7.142044E-02
24.35,6.894664E-02
24.4,7.593054E-02
24.45,9.584494E-02
24.5,8.831231E-02
24.55,7.707483E-02
24.6,6.985088E-02
24.65,7.325973E-02
24.7,0.0816923
24.75,0.1075554
24.8,0.1165221
24.85,0.1111635
24.9,0.1151236
24.95,0.1159638
25,0.1126934
25.05,0.1010474
25.1,0.1011943
25.15,9.930333E-02
25.2,9.511185E-02
25.25,9.616977E-02
25.3,0.1089226
25.35,0.1284167
25.4,0.147835
25.45,0.1585699
