,Time,Value,Nucleotides
0,17,5.903625E-02,-24.627509562005116
1,17.05,5.903625E-02,-24.395252340230968
2,17.1,5.903625E-02,-24.1622805348851
3,17.15,5.903625E-02,-23.92850703572128
4,17.2,5.903625E-02,-23.693844873416538
5,17.25,5.903625E-02,-23.458207219571023
6,17.3,5.903625E-02,-23.22150738670939
7,17.35,5.903625E-02,-22.98365882827966
8,17.4,5.903625E-02,-22.74457513865343
9,17.45,5.903625E-02,-22.504170053125563
10,17.5,5.625921E-02,-22.262357447915747
11,17.55,5.064709E-02,-22.01905134016613
12,17.6,5.933325E-02,-21.774165887943354
13,17.65,6.576996E-02,-21.52761539023686
14,17.7,0.0621294,-21.279314286960812
15,17.75,6.726696E-02,-21.029177158952052
16,17.8,7.514156E-02,-20.77711872797238
17,17.85,7.370297E-02,-20.52305385670536
18,17.9,7.259896E-02,-20.266897548759516
19,17.95,7.208921E-02,-20.00856494866764
20,18,6.144728E-02,-19.74797134188441
21,18.05,4.653782E-02,-19.485032154789565
22,18.1,3.799999E-02,-19.219662954685987
23,18.15,3.660608E-02,-18.95177944980037
24,18.2,3.398715E-02,-18.68129748928311
25,18.25,2.230291E-02,-18.408133063208197
26,18.3,0.0372146,-18.13220230257275
27,18.35,4.253954E-02,-17.853421479298504
28,18.4,6.448466E-02,-17.571707006230326
29,18.45,0.1081285,-17.286975437136448
30,18.5,0.1290858,-16.99914346671028
31,18.55,0.136837,-16.708127930566548
32,18.6,0.1361167,-16.41384580524607
33,18.65,0.1388485,-16.116214208210522
34,18.7,0.1448418,-15.815150397848583
35,18.75,0.1329384,-15.510571773469678
36,18.8,0.1446376,-15.202395875308525
37,18.85,0.1337057,-14.89054038452332
38,18.9,0.1039047,-14.57492312319539
39,18.95,0.0949034,-14.25546205433011
40,19,7.634816E-02,-13.9320752818561
41,19.05,7.027019E-02,-13.60468105062671
42,19.1,6.394009E-02,-13.273197746417736
43,19.15,6.456307E-02,-12.937543895929252
44,19.2,0.064637,-12.59763816678469
45,19.25,5.619233E-02,-12.253399367531415
46,19.3,4.763625E-02,-11.904746447641173
47,19.35,2.936625E-02,-11.55159849750703
48,19.4,4.910853E-03,-11.193874748448366
49,19.45,-1.472538E-02,-10.831494572707015
50,19.5,-3.169543E-02,-10.464377483448743
51,19.55,-4.604765E-02,-10.09244313476222
52,19.6,-6.135998E-02,-9.715611321660958
53,19.65,-0.0708499,-9.333801980081716
54,19.7,-6.995711E-02,-8.946935186884048
55,19.75,-6.360839E-02,-8.554931159852003
56,19.8,-4.776248E-02,-8.157710257693907
57,19.85,-2.510536E-02,-7.755192980040874
58,19.9,-1.012911E-02,-7.347299967447384
59,19.95,-1.084662E-02,-6.933952001392413
60,20,-2.112956E-02,-6.515070004278073
61,20.05,-2.703239E-02,-6.090575039430632
62,20.1,-3.909655E-02,-5.660388311099041
63,20.15,-0.0518547,-5.2244311644573145
64,20.2,-5.123714E-02,-4.782625085602149
65,20.25,-3.586614E-02,-4.334891701553943
66,20.3,-1.680098E-02,-3.8811527802570254
67,20.35,-1.786621E-02,-3.421330230579656
68,20.4,-1.697415E-02,-2.9553461023135696
69,20.45,3.65377E-03,-2.4831225861736357
70,20.5,5.066382E-02,-2.004582013798313
71,20.55,8.921701E-02,-1.5196468577512405
72,20.6,0.1068134,-1.0282397315187382
