Data File Name,Eukaryote Total RNA Nano_2020-10-21_16-14-00.xad
Data File Path,C:\Program Files (x86)\Agilent\2100 bioanalyzer\2100 expert\Data\2020-10-21
Date Created,"Wednesday, October 21, 2020 11:13:59 PM"
Date Last Modified,"Wednesday, October 21, 2020 11:46:22 PM"
Version Created,B.02.10.SI764
Version Last Modified,B.02.10.SI764
 
Assay Name,Eukaryote Total RNA Nano Series II
Assay Path,C:\Program Files (x86)\Agilent\2100 bioanalyzer\2100 expert\assays\RNA
Assay Title,Eukaryote Total RNA Nano
Assay Version,2.6
 
Number of Samples Run,12
 
Sample Name,RNA2_C_TP1
Number of Events,1060
 
Time,Value
17,-7.277298E-02
17.05,-7.277298E-02
17.1,-7.277298E-02
17.15,-7.277298E-02
17.2,-7.277298E-02
17.25,-7.277298E-02
17.3,-7.277298E-02
17.35,-7.277298E-02
17.4,-7.277298E-02
17.45,-7.277298E-02
17.5,-7.277298E-02
17.55,-7.277298E-02
17.6,-7.700188E-02
17.65,-9.107226E-02
17.7,-8.382047E-02
17.75,-8.031651E-02
17.8,-5.984202E-02
17.85,-0.0529165
17.9,-6.004074E-02
17.95,-7.188827E-02
18,-6.078265E-02
18.05,-6.041629E-02
18.1,-6.145417E-02
18.15,-6.804814E-02
18.2,-7.424186E-02
18.25,-6.609327E-02
18.3,-6.499346E-02
18.35,-6.571561E-02
18.4,-4.545373E-02
18.45,-2.493114E-02
18.5,-2.546632E-02
18.55,-3.477496E-02
18.6,-4.663004E-02
18.65,-5.392543E-02
18.7,-5.357835E-02
18.75,-5.266107E-02
18.8,-3.983141E-02
18.85,-4.972877E-02
18.9,-6.582661E-02
18.95,-0.0734897
19,-7.191497E-02
19.05,-5.162951E-02
19.1,-3.201227E-02
19.15,-2.281126E-02
19.2,-9.370193E-03
19.25,-2.416911E-02
19.3,-2.529638E-02
19.35,-3.240787E-02
19.4,-5.858917E-02
19.45,-6.464208E-02
19.5,-0.0690034
19.55,-3.717415E-02
19.6,8.280313E-03
19.65,4.628065E-02
19.7,5.957516E-02
19.75,5.750362E-02
19.8,0.0305041
19.85,1.535311E-02
19.9,8.638998E-03
19.95,1.818969E-02
20,4.015343E-02
20.05,6.017543E-02
20.1,6.588348E-02
20.15,7.306634E-02
20.2,7.927711E-02
20.25,7.279135E-02
20.3,7.003605E-02
20.35,5.720898E-02
20.4,3.525202E-02
20.45,6.632952E-03
20.5,-2.609932E-03
20.55,-6.61539E-03
20.6,-1.206944E-02
20.65,-1.268942E-02
20.7,-5.092034E-03
20.75,-1.179589E-02
20.8,-1.780352E-02
20.85,-1.782859E-02
20.9,-7.269558E-03
20.95,-2.555992E-03
21,-3.900954E-03
21.05,6.171514E-03
21.1,1.737715E-02
21.15,1.313849E-02
21.2,2.826634E-02
21.25,0.0516885
21.3,6.957587E-02
21.35,8.260652E-02
21.4,6.736267E-02
21.45,4.997092E-02
21.5,4.259218E-02
21.55,0.0341267
21.6,2.792088E-02
21.65,1.757908E-02
21.7,1.313299E-02
21.75,1.623378E-02
21.8,2.371855E-02
21.85,0.0460611
21.9,6.355019E-02
21.95,6.340829E-02
22,5.122037E-02
22.05,3.377456E-03
22.1,-8.469012E-02
22.15,-9.315114E-02
22.2,0.5199459
22.25,2.609607
22.3,6.483013
22.35,11.58895
22.4,16.76359
22.45,20.68198
22.5,22.3942
22.55,21.69014
22.6,19.51866
22.65,16.79532
22.7,14.04337
22.75,11.43458
