Data File Name,Eukaryote Total RNA Nano_2020-10-21_16-34-50.xad
Data File Path,C:\Program Files (x86)\Agilent\2100 bioanalyzer\2100 expert\Data\2020-10-21
Date Created,"Wednesday, October 21, 2020 11:34:49 PM"
Date Last Modified,"Thursday, October 22, 2020 12:07:35 AM"
Version Created,B.02.10.SI764
Version Last Modified,B.02.10.SI764
 
Assay Name,Eukaryote Total RNA Nano Series II
Assay Path,C:\Program Files (x86)\Agilent\2100 bioanalyzer\2100 expert\assays\RNA
Assay Title,Eukaryote Total RNA Nano
Assay Version,2.6
 
Number of Samples Run,12
 
Sample Name,Ladder
Number of Events,1060
 
Time,Value
17,-4.537201E-02
17.05,-4.537201E-02
17.1,-4.537201E-02
17.15,-4.537201E-02
17.2,-4.537201E-02
17.25,-4.537201E-02
17.3,-4.537201E-02
17.35,-4.537201E-02
17.4,-4.537201E-02
17.45,-7.431168E-03
17.5,1.078669E-02
17.55,3.176675E-02
17.6,4.724966E-02
17.65,6.568336E-02
17.7,0.0588513
17.75,5.129656E-02
17.8,3.009541E-02
17.85,2.886134E-02
17.9,2.481405E-03
17.95,1.106777E-02
18,0.0188446
18.05,2.428279E-02
18.1,4.125772E-02
18.15,0.0589852
18.2,7.700754E-02
18.25,8.816905E-02
18.3,9.290004E-02
18.35,7.506695E-02
18.4,3.628721E-02
18.45,1.570587E-02
18.5,1.158093E-03
18.55,-4.323274E-03
18.6,4.799827E-04
18.65,1.582879E-02
18.7,3.085279E-02
18.75,3.259155E-02
18.8,0.0444831
18.85,4.643522E-02
18.9,3.110733E-02
18.95,5.572877E-03
19,-2.308438E-02
19.05,-3.921086E-02
19.1,-0.0377274
19.15,-2.408159E-02
19.2,-1.014347E-02
19.25,-5.865288E-03
19.3,-9.716063E-03
19.35,-0.0114975
19.4,-2.963185E-03
19.45,7.10821E-03
19.5,1.875432E-02
19.55,3.194965E-02
19.6,0.0226206
19.65,-4.304247E-03
19.7,-2.113218E-02
19.75,-1.672363E-02
19.8,1.798595E-02
19.85,0.0326249
19.9,6.794637E-02
19.95,0.0759068
20,6.640781E-02
20.05,3.551954E-02
20.1,1.934046E-02
20.15,0.0236831
20.2,3.448168E-02
20.25,3.887177E-02
20.3,3.832347E-02
20.35,1.911956E-02
20.4,1.723686E-02
20.45,-2.363361E-04
20.5,-6.624917E-04
20.55,0.0204864
20.6,5.216383E-02
20.65,4.350912E-02
20.7,1.238556E-02
20.75,-5.286633E-03
20.8,-1.025276E-02
20.85,-3.551868E-03
20.9,2.739805E-02
20.95,6.722997E-02
21,7.909522E-02
21.05,5.425222E-02
21.1,2.916651E-02
21.15,5.37796E-03
21.2,-1.617047E-02
21.25,-0.0280184
21.3,-2.780473E-02
21.35,-2.757732E-02
21.4,-4.470873E-02
21.45,-0.0500591
21.5,-2.456182E-02
21.55,-6.415051E-03
21.6,-1.492538E-02
21.65,-3.059093E-02
21.7,-4.055291E-02
21.75,-5.244573E-02
21.8,-5.086287E-02
21.85,-2.604301E-02
21.9,5.724361E-03
21.95,0.0209857
22,2.359602E-02
22.05,-4.487362E-03
22.1,-8.273637E-02
22.15,1.209149E-04
22.2,0.9878648
22.25,3.799024
22.3,8.611876
22.35,14.46639
22.4,19.87071
22.45,23.30927
22.5,24.00432
22.55,22.14486
22.6,18.85673
22.65,15.27318
22.7,11.93682
22.75,9.03427
22.8,6.632501
22.85,4.709177
22.9,3.257282
22.95,2.174323
23,1.391081
23.05,0.8632224
23.1,0.5554782
23.15,0.4161601
23.2,0.3626454
23.25,0.3779902
23.3,0.4077758
23.35,0.4243536
23.4,0.4450035
23.45,0.4739085
23.5,0.5297847
23.55,0.5875238
23.6,0.6300952
23.65,0.6491269
23.7,0.6331971
23.75,0.6141456
23.8,0.6051741
23.85,0.587706
23.9,0.5801404
23.95,0.6072359
24,0.6432877
24.05,0.670052
24.1,0.6801702
24.15,0.6797757
24.2,0.6624419
24.25,0.6260749
24.3,0.5913414
24.35,0.5707235
24.4,0.5475094
24.45,0.5027463
24.5,0.464491
24.55,0.447705
24.6,0.4580519
24.65,0.4518173
24.7,0.4423777
24.75,0.4451714
24.8,0.4465066
24.85,0.4244003
24.9,0.4124082
24.95,0.420387
25,0.4000423
25.05,0.3548999
25.1,0.3326482
25.15,0.3089624
25.2,0.2919846
25.25,0.2786371
25.3,0.2828914
25.35,0.2915582
25.4,0.2906806
25.45,0.2867773
25.5,0.287356
25.55,0.2722657
25.6,0.2594596
25.65,0.2563911
25.7,0.2550653
25.75,0.2491372
25.8,0.236356
25.85,0.2245031
25.9,0.209453
25.95,0.1831581
26,0.1691927
26.05,0.1778284
26.1,0.1932289
26.15,0.2074121
26.2,0.2162657
26.25,0.2345022
26.3,0.2323201
26.35,0.2035478
26.4,0.2041727
26.45,0.2223489
26.5,0.2291849
26.55,0.2573625
26.6,0.2730531
26.65,0.2830169
26.7,0.2911338
26.75,0.3056887
26.8,0.3212899
26.85,0.3223722
26.9,0.3214068
26.95,0.3303001
27,0.317749
27.05,0.320263
27.1,0.3155122
27.15,0.2981885
27.2,0.2881871
27.25,0.3028063
27.3,0.3147053
27.35,0.3108555
27.4,0.3068248
27.45,0.2928253
27.5,0.280129
27.55,0.3009468
27.6,0.3204261
27.65,0.2937512
27.7,0.271246
27.75,0.2556841
27.8,0.2614763
27.85,0.2769142
27.9,0.3099281
27.95,0.3770891
28,0.4841495
28.05,0.6678588
28.1,0.9671713
28.15,1.434874
28.2,2.198844
28.25,3.334938
28.3,4.872922
28.35,6.907001
28.4,9.651164
28.45,13.4753
28.5,18.41101
28.55,23.74992
28.6,28.11884
28.65,29.96799
28.7,28.54027
28.75,24.24963
28.8,18.40126
28.85,12.70513
28.9,8.253461
28.95,5.31113
29,3.573621
29.05,2.586231
29.1,2.067645
29.15,1.852748
29.2,1.780042
29.25,1.708622
29.3,1.541045
29.35,1.297286
29.4,1.040711
29.45,0.8330747
29.5,0.692775
29.55,0.6235512
29.6,0.5621862
29.65,0.5270025
29.7,0.5557297
29.75,0.6031672
29.8,0.6004137
29.85,0.5420009
29.9,0.4440934
29.95,0.3418064
30,0.2753341
30.05,0.2776512
30.1,0.3152087
30.15,0.3554489
30.2,0.3861656
30.25,0.4068295
30.3,0.4059263
30.35,0.382724
30.4,0.363392
30.45,0.3558196
30.5,0.3542701
30.55,0.3645283
30.6,0.3687599
30.65,0.3590673
30.7,0.359409
30.75,0.3602193
30.8,0.3661633
30.85,0.3701396
30.9,0.3715726
30.95,0.3716772
31,0.3804327
31.05,0.3995774
31.1,0.4245772
31.15,0.4328829
31.2,0.4451883
31.25,0.4536222
31.3,0.4570792
31.35,0.4708573
31.4,0.5024544
31.45,0.5117633
31.5,0.5118752
31.55,0.5252883
31.6,0.5270582
31.65,0.5222202
31.7,0.5140947
31.75,0.5323723
31.8,0.545778
31.85,0.5380933
31.9,0.5482652
31.95,0.5746391
32,0.608268
32.05,0.6440268
32.1,0.662328
32.15,0.6710021
32.2,0.6944557
32.25,0.816165
32.3,1.289785
32.35,2.288406
32.4,3.768691
32.45,5.709705
32.5,8.486731
32.55,12.96893
32.6,19.58693
32.65,27.49563
32.7,34.70743
32.75,39.09566
32.8,39.421
32.85,35.8448
32.9,29.97168
32.95,23.93505
33,19.11777
33.05,15.70746
33.1,13.35276
33.15,11.51028
33.2,9.857171
33.25,8.176699
33.3,6.535584
33.35,5.050684
33.4,3.81569
33.45,2.83638
33.5,2.139047
33.55,1.622982
33.6,1.274174
33.65,1.051775
33.7,0.8882025
33.75,0.7670555
33.8,0.6850612
33.85,0.5749815
33.9,0.4850515
33.95,0.4527991
34,0.4452775
34.05,0.4595064
34.1,0.4594213
34.15,0.4709629
34.2,0.4523064
34.25,0.4215176
34.3,0.4117565
34.35,0.4114431
34.4,0.4177331
34.45,0.4297422
34.5,0.4378231
34.55,0.4358015
34.6,0.4194769
34.65,0.4137436
34.7,0.4231441
34.75,0.4376286
34.8,0.4584924
34.85,0.4906632
34.9,0.5231045
34.95,0.5434136
35,0.5479074
35.05,0.5385637
35.1,0.5278071
35.15,0.5225663
35.2,0.5220572
35.25,0.5299499
35.3,0.5475368
35.35,0.5591002
35.4,0.5821955
35.45,0.6170565
35.5,0.6723247
35.55,0.7112389
35.6,0.710554
35.65,0.6945384
35.7,0.6604866
35.75,0.6219754
35.8,0.6112745
35.85,0.6262395
35.9,0.6503793
35.95,0.6556178
36,0.6479454
36.05,0.6727529
36.1,0.6887867
36.15,0.698821
36.2,0.7003026
36.25,0.6970356
36.3,0.6757868
36.35,0.632955
36.4,0.6265462
36.45,0.650589
36.5,0.674813
36.55,0.6999032
36.6,0.7194164
36.65,0.7370442
36.7,0.7421689
36.75,0.7283282
36.8,0.719856
36.85,0.7332906
36.9,0.7597046
36.95,0.8021892
37,0.8556488
37.05,0.8981155
37.1,0.911988
37.15,0.9145954
37.2,0.9211836
37.25,0.9196365
37.3,0.9160191
37.35,0.935972
37.4,0.9737091
37.45,0.9845703
37.5,0.9690299
37.55,1.088488
37.6,1.774983
37.65,3.507254
37.7,6.294413
37.75,9.64371
37.8,13.18426
37.85,16.45411
