Data File Name,Eukaryote Total RNA Nano_2020-10-21_16-34-50.xad
Data File Path,C:\Program Files (x86)\Agilent\2100 bioanalyzer\2100 expert\Data\2020-10-21
Date Created,"Wednesday, October 21, 2020 11:34:49 PM"
Date Last Modified,"Thursday, October 22, 2020 12:07:35 AM"
Version Created,B.02.10.SI764
Version Last Modified,B.02.10.SI764
 
Assay Name,Eukaryote Total RNA Nano Series II
Assay Path,C:\Program Files (x86)\Agilent\2100 bioanalyzer\2100 expert\assays\RNA
Assay Title,Eukaryote Total RNA Nano
Assay Version,2.6
 
Number of Samples Run,12
 
Sample Name,RNA2_C_TP8
Number of Events,1060
 
Time,Value
17,-0.1448898
17.05,-0.1448898
17.1,-0.1448898
17.15,-0.1448898
17.2,-0.1546197
17.25,-0.1502922
17.3,-0.1172155
17.35,-0.1113513
17.4,-0.1038772
17.45,-9.402102E-02
17.5,-0.0730045
17.55,-5.690818E-02
17.6,-4.340978E-02
17.65,-2.606036E-02
17.7,-1.164589E-02
17.75,-2.816881E-02
17.8,-3.308118E-02
17.85,-3.980488E-02
17.9,-3.968677E-02
17.95,-5.591518E-02
18,-4.978561E-02
18.05,-4.179817E-02
18.1,-4.509042E-02
18.15,-0.0611156
18.2,-4.990009E-02
18.25,-7.884752E-02
18.3,-0.100287
18.35,-0.1070168
18.4,-9.674187E-02
18.45,-8.961583E-02
18.5,-8.611161E-02
18.55,-6.895097E-02
18.6,-4.806885E-02
18.65,-5.672913E-02
18.7,-4.561188E-02
18.75,-3.009656E-02
18.8,-1.776072E-02
18.85,3.946204E-03
18.9,3.451553E-02
18.95,6.586011E-02
19,7.057597E-02
19.05,4.898677E-02
19.1,1.778751E-02
19.15,-5.230485E-03
19.2,-1.651499E-02
19.25,-1.241345E-02
19.3,6.722622E-04
19.35,1.514696E-02
19.4,2.050438E-02
19.45,8.243986E-03
19.5,-5.851094E-03
19.55,-2.247695E-02
19.6,-5.237596E-02
19.65,-6.643413E-02
19.7,-5.504359E-02
19.75,-4.546886E-02
19.8,-4.987625E-02
19.85,-5.990687E-02
19.9,-6.548852E-02
19.95,-8.567052E-02
20,-0.1174028
20.05,-0.1236533
20.1,-0.1120911
20.15,-9.977923E-02
20.2,-7.919318E-02
20.25,-5.163915E-02
20.3,-3.939788E-02
20.35,-5.464202E-02
20.4,-7.025837E-02
20.45,-7.067801E-02
20.5,-6.767077E-02
20.55,-7.056519E-02
20.6,-7.867257E-02
20.65,-7.895052E-02
20.7,-7.192202E-02
20.75,-7.808921E-02
20.8,-8.462663E-02
20.85,-8.694515E-02
20.9,-9.309348E-02
20.95,-9.722137E-02
21,-0.1064073
21.05,-9.483384E-02
21.1,-9.335656E-02
21.15,-8.342948E-02
21.2,-7.732008E-02
21.25,-8.930266E-02
21.3,-0.1270581
21.35,-0.1691669
21.4,-0.182244
21.45,-0.1554483
21.5,-0.1336786
21.55,-0.1072143
21.6,-9.524024E-02
21.65,-0.0848041
21.7,-9.567703E-02
21.75,-9.886444E-02
21.8,-9.466141E-02
21.85,-8.650621E-02
21.9,-7.411269E-02
21.95,-5.258594E-02
22,-4.125329E-02
22.05,-0.0840805
22.1,-0.2123167
22.15,-0.1526166
22.2,0.9186793
22.25,3.883655
22.3,8.813113
22.35,14.85714
22.4,20.45917
22.45,24.18958
22.5,25.14039
22.55,23.64696
22.6,20.77042
22.65,17.40464
22.7,14.14562
22.75,11.22554
22.8,8.636342
22.85,6.390663
22.9,4.523955
22.95,3.074355
23,2.024663
23.05,1.257176
23.1,0.7679877
23.15,0.4264314
23.2,0.1756698
23.25,5.038282E-02
23.3,3.904782E-03
23.35,-2.867649E-02
23.4,-1.461014E-02
23.45,-1.640172E-02
23.5,-1.364946E-02
23.55,-2.911556E-02
23.6,-1.580587E-02
23.65,1.418692E-03
23.7,-6.500911E-03
23.75,-2.114306E-02
23.8,-0.0165916
23.85,-1.336194E-02
23.9,5.854123E-03
23.95,0.0152567
24,4.190006E-02
24.05,5.692763E-02
24.1,5.157474E-02
24.15,3.458911E-02
24.2,3.727609E-02
24.25,3.809008E-02
24.3,3.819214E-02
24.35,2.046153E-02
24.4,9.961258E-03
24.45,1.335839E-02
24.5,5.469674E-03
24.55,3.375097E-03
24.6,1.885766E-02
24.65,2.091233E-02
24.7,6.222487E-03
24.75,-8.99508E-04
24.8,3.806644E-03
24.85,-3.647694E-04
24.9,-1.193246E-02
24.95,-7.916134E-03
25,9.845305E-03
25.05,2.275605E-02
25.1,1.999439E-02
25.15,2.460185E-02
25.2,4.108943E-02
25.25,5.319991E-02
25.3,7.306888E-02
25.35,9.171669E-02
25.4,0.1013004
25.45,9.919267E-02
25.5,8.570381E-02
25.55,9.031611E-02
25.6,0.1059512
25.65,0.1174957
25.7,0.1312692
25.75,0.1276852
25.8,0.1122912
25.85,0.109539
25.9,0.115652
25.95,0.1409279
26,0.1653096
26.05,0.1810535
26.1,0.1824538
26.15,0.1759066
26.2,0.1690119
26.25,0.1678176
26.3,0.1798055
26.35,0.1969731
26.4,0.2123709
26.45,0.2206731
26.5,0.2337477
26.55,0.2444037
26.6,0.2445493
26.65,0.2348372
26.7,0.2459875
26.75,0.2453666
26.8,0.2653666
26.85,0.2777828
26.9,0.2995319
26.95,0.3354638
27,0.3525268
27.05,0.3501046
27.1,0.3649944
27.15,0.3588891
27.2,0.3768382
27.25,0.3882722
27.3,0.4084263
27.35,0.4199336
27.4,0.4120871
27.45,0.4311866
27.5,0.4527619
27.55,0.4727043
27.6,0.480548
27.65,0.4667829
27.7,0.4411171
27.75,0.4243776
27.8,0.4394858
27.85,0.4639248
27.9,0.5008036
27.95,0.5359285
28,0.5093362
28.05,0.4636798
28.1,0.4067691
28.15,0.3653012
28.2,0.3529925
28.25,0.3561562
28.3,0.3955202
28.35,0.4275375
28.4,0.439804
28.45,0.4581756
28.5,0.4726646
28.55,0.5044609
28.6,0.5712875
28.65,0.6629143
28.7,0.8373088
28.75,1.115241
28.8,1.546518
28.85,2.090493
28.9,2.6991
28.95,3.319328
29,3.877231
29.05,4.270832
29.1,4.472864
29.15,4.458263
29.2,4.254142
29.25,3.901335
29.3,3.461661
29.35,2.996047
29.4,2.578706
29.45,2.192005
29.5,1.838982
29.55,1.547338
29.6,1.332937
29.65,1.175273
29.7,1.045152
29.75,0.9542079
29.8,0.8845365
29.85,0.7857195
29.9,0.6971307
29.95,0.6500136
30,0.6093522
30.05,0.570645
30.1,0.5315804
30.15,0.4946207
30.2,0.4463494
30.25,0.4209988
30.3,0.4117925
30.35,0.3998449
30.4,0.377101
30.45,0.3598159
30.5,0.3528873
30.55,0.3533307
30.6,0.3704353
30.65,0.4156935
30.7,0.4598741
30.75,0.4863012
30.8,0.5055947
30.85,0.5143846
30.9,0.5075914
30.95,0.4958684
31,0.4803514
31.05,0.4641359
31.1,0.4644701
31.15,0.4660319
31.2,0.4648924
31.25,0.4649974
31.3,0.4625187
31.35,0.4750241
31.4,0.4962532
31.45,0.5191467
31.5,0.5367731
31.55,0.5242298
31.6,0.4791061
31.65,0.4465309
31.7,0.4382646
31.75,0.4546239
31.8,0.4730583
31.85,0.4814989
31.9,0.4561317
31.95,0.4086238
32,0.3709923
32.05,0.3523905
32.1,0.3744714
32.15,0.4146593
32.2,0.4333488
32.25,0.4316967
32.3,0.4215133
32.35,0.4009004
32.4,0.4014385
32.45,0.3981608
32.5,0.4076751
32.55,0.4165899
32.6,0.4149019
32.65,0.4379444
32.7,0.4769359
32.75,0.5047195
32.8,0.5249708
32.85,0.5168149
32.9,0.4899833
32.95,0.4696947
33,0.4453974
33.05,0.4627461
33.1,0.5016911
33.15,0.5553939
33.2,0.5997273
33.25,0.6385984
33.3,0.6284229
33.35,0.6118075
33.4,0.5820529
33.45,0.5644851
33.5,0.5387075
33.55,0.5240517
33.6,0.4993451
33.65,0.4665069
33.7,0.4635753
33.75,0.4650536
33.8,0.4862042
33.85,0.5022387
33.9,0.5041406
33.95,0.5090265
34,0.4777745
34.05,0.4662353
34.1,0.4666014
34.15,0.4551716
34.2,0.4740559
34.25,0.4661867
34.3,0.4898707
34.35,0.5012724
34.4,0.5144955
34.45,0.5569435
34.5,0.5825519
34.55,0.6499281
34.6,0.6933256
34.65,0.730655
34.7,0.7664275
34.75,0.7724981
34.8,0.7975
34.85,0.8085959
34.9,0.8188183
34.95,0.815924
35,0.7865871
35.05,0.7847865
35.1,0.8289284
35.15,0.9140286
35.2,1.040362
35.25,1.217524
35.3,1.456554
35.35,1.723054
35.4,2.04177
35.45,2.40903
35.5,2.781015
35.55,3.064839
35.6,3.234087
35.65,3.324269
35.7,3.299638
35.75,3.198433
35.8,3.066198
35.85,2.951757
35.9,2.844287
35.95,2.755572
36,2.691427
36.05,2.681232
36.1,2.699583
36.15,2.742288
36.2,2.804832
36.25,2.872286
36.3,2.936473
36.35,3.018752
36.4,3.079422
36.45,3.110338
36.5,3.123873
36.55,3.087963
36.6,3.013617
36.65,2.935153
36.7,2.882663
36.75,2.873572
36.8,2.897783
36.85,2.925151
36.9,2.935703
36.95,2.921344
37,2.909957
37.05,2.932468
37.1,2.956546
