,Time,Value,Nucleotides
0,17,-1.504135E-02,-11.403701203735466
1,17.05,-1.504135E-02,-11.410065951740535
2,17.1,-1.504135E-02,-11.412866555778066
3,17.15,-1.504135E-02,-11.41203587768706
4,17.2,-1.504135E-02,-11.407506867453435
5,17.25,-1.504135E-02,-11.399212563209801
6,17.3,-1.504135E-02,-11.38708609123546
7,17.35,-1.504135E-02,-11.371060665956463
8,17.4,-1.504135E-02,-11.351069589945325
9,17.45,-1.504135E-02,-11.327046253921765
10,17.5,-2.310039E-02,-11.298924136752191
11,17.55,-2.560429E-02,-11.266636805448968
12,17.6,-3.045245E-02,-11.2301179151724
13,17.65,-3.378367E-02,-11.18930120922846
14,17.7,-2.862272E-02,-11.144120519070327
15,17.75,-2.656272E-02,-11.094509764298039
16,17.8,-0.0121474,-11.040402952657814
17,17.85,1.307324E-02,-10.981734180043418
18,17.9,3.094869E-02,-10.918437630494338
19,17.95,5.796006E-02,-10.850447576197723
20,18,8.360059E-02,-10.777698377486843
21,18.05,8.050106E-02,-10.700124482842057
22,18.1,6.780528E-02,-10.617660428890076
23,18.15,5.218117E-02,-10.530240840404758
24,18.2,3.500172E-02,-10.43780043030631
25,18.25,3.458713E-02,-10.340273999661974
26,18.3,3.173577E-02,-10.237596437685568
27,18.35,3.851034E-02,-10.129702721737374
28,18.4,3.713859E-02,-10.016527917324993
29,18.45,2.662776E-02,-9.898007178102603
30,18.5,1.394834E-02,-9.774075745870391
31,18.55,3.800385E-03,-9.644668950576147
32,18.6,3.233227E-03,-9.509722210313953
33,18.65,2.828334E-02,-9.369171031324981
34,18.7,4.933782E-02,-9.222951007996642
35,18.75,6.305313E-02,-9.070997822863262
36,18.8,5.749498E-02,-8.91324724660592
37,18.85,4.115668E-02,-8.749635138052554
38,18.9,0.0178406,-8.580097444177738
39,18.95,4.844021E-03,-8.404570200102683
40,19,9.961682E-03,-8.222989529095287
41,19.05,2.452197E-02,-8.035291642570428
42,19.1,3.620735E-02,-7.841412840089276
43,19.15,3.433762E-02,-7.641289509360433
44,19.2,2.041799E-02,-7.434858126238623
45,19.25,6.623143E-05,-7.222055254725262
46,19.3,-1.306748E-02,-7.002817546969027
47,19.35,-0.0150923,-6.777081743264603
48,19.4,-5.876781E-03,-6.544784672054391
49,19.45,5.204615E-03,-6.305863249926233
50,19.5,1.556007E-02,-6.0602544816156865
51,19.55,2.255519E-02,-5.8078954600050565
52,19.6,2.209312E-02,-5.548723366122488
53,19.65,6.768646E-03,-5.282675469143669
54,19.7,-1.363656E-02,-5.009689126391038
55,19.75,-2.250162E-02,-4.729701783333326
56,19.8,-0.0264737,-4.442650973585671
57,19.85,-3.010803E-02,-4.148474318910814
58,19.9,-2.795055E-02,-3.8471095292180735
59,19.95,-2.570648E-02,-3.538494402562833
60,20,-2.892162E-02,-3.222566825147794
61,20.05,-4.182623E-02,-2.899264771322123
62,20.1,-0.0532341,-2.568526303581791
63,20.15,-4.636929E-02,-2.230289572569518
64,20.2,-2.843571E-02,-1.8844928170748858
65,20.25,-1.267416E-02,-1.5310743640335431
66,20.3,-1.925082E-03,-1.1699726285290808
67,20.35,-8.53407E-03,-0.8011261137907013
68,20.4,-2.445542E-02,-0.42447341119469684
69,20.45,-2.679915E-02,-0.039953200264164934
70,20.5,-1.998109E-02,0.3524957513311051
71,20.55,-7.514007E-03,0.7529345877746323
72,20.6,1.492562E-02,1.1614243651030165
73,20.65,3.349433E-02,1.5780260512062227
74,20.7,3.030254E-02,2.0028005258280928
75,20.75,2.172816E-02,2.43580858056481
76,20.8,1.228559E-02,2.877110918866265
77,20.85,1.595763E-02,3.326768156035598
78,20.9,3.102656E-03,3.7848408192292027
79,20.95,1.700354E-03,4.25138934745695
80,21,0.0149137,4.726474091581565
81,21.05,3.413761E-02,5.210155314319422
