Data File Name,Eukaryote Total RNA Nano_2020-10-21_16-41-52.xad
Data File Path,C:\Program Files (x86)\Agilent\2100 bioanalyzer\2100 expert\Data\2020-10-21
Date Created,"Wednesday, October 21, 2020 11:41:52 PM"
Date Last Modified,"Thursday, October 22, 2020 12:09:19 AM"
Version Created,B.02.10.SI764
Version Last Modified,B.02.10.SI764
 
Assay Name,Eukaryote Total RNA Nano Series II
Assay Path,C:\Program Files (x86)\Agilent\2100 bioanalyzer\2100 expert\assays\RNA
Assay Title,Eukaryote Total RNA Nano
Assay Version,2.6
 
Number of Samples Run,12
 
Sample Name,Ladder
Number of Events,1060
 
Time,Value
17,6.471252E-02
17.05,6.471252E-02
17.1,6.471252E-02
17.15,6.471252E-02
17.2,6.471252E-02
17.25,6.471252E-02
17.3,6.471252E-02
17.35,6.471252E-02
17.4,6.471252E-02
17.45,6.471252E-02
17.5,6.471252E-02
17.55,6.471252E-02
17.6,2.612031E-02
17.65,-0.0136525
17.7,-2.068991E-02
17.75,-4.486303E-02
17.8,-2.371599E-02
17.85,-7.504659E-03
17.9,-9.457663E-03
17.95,8.326607E-03
18,-1.980606E-03
18.05,-1.335622E-02
18.1,-1.217082E-03
18.15,1.902774E-02
18.2,4.008975E-02
18.25,4.916714E-02
18.3,5.795502E-02
18.35,0.0706054
18.4,5.964573E-02
18.45,3.407201E-02
18.5,2.335309E-02
18.55,2.886032E-02
18.6,4.048903E-02
18.65,5.648662E-02
18.7,8.495893E-02
18.75,0.1184661
18.8,0.1277089
18.85,0.1167675
18.9,9.928899E-02
18.95,6.940828E-02
19,4.977942E-02
19.05,2.131771E-02
19.1,3.142093E-03
19.15,-1.645876E-03
19.2,-2.254529E-03
19.25,-2.033609E-02
19.3,-3.279154E-02
19.35,-4.849226E-02
19.4,-3.184123E-02
19.45,-3.247779E-03
19.5,1.946385E-02
19.55,2.774882E-02
19.6,0.0192017
19.65,-1.386795E-02
19.7,-3.014817E-02
19.75,-3.197026E-02
19.8,-1.727711E-02
19.85,7.221278E-03
19.9,2.345814E-02
19.95,3.748973E-02
20,0.0416398
20.05,3.615439E-02
20.1,3.112008E-02
20.15,1.688959E-02
20.2,-2.819451E-03
20.25,-9.84876E-03
20.3,-9.042508E-03
20.35,-1.661624E-03
20.4,1.543461E-02
20.45,2.398424E-02
20.5,2.907839E-02
20.55,3.113422E-02
20.6,4.104864E-02
20.65,6.573993E-02
20.7,7.091167E-02
20.75,6.937276E-02
20.8,0.0912047
20.85,0.1016311
20.9,8.793425E-02
20.95,6.330183E-02
21,4.385042E-02
21.05,2.889683E-02
21.1,1.29307E-03
21.15,-8.720505E-03
21.2,-1.726065E-02
21.25,-1.893276E-02
21.3,-2.644426E-02
21.35,-3.497922E-03
21.4,2.422556E-02
21.45,7.523623E-02
21.5,0.1246411
21.55,0.1546166
21.6,0.1566672
21.65,0.1453443
21.7,0.1274908
21.75,9.557341E-02
21.8,5.241663E-02
21.85,2.647893E-02
21.9,3.343511E-02
21.95,3.792318E-02
22,2.841586E-02
22.05,-2.199223E-03
22.1,-5.238702E-02
22.15,3.104647E-02
22.2,0.7153485
22.25,2.666525
22.3,6.108558
22.35,10.55894
22.4,14.96284
22.45,18.09217
22.5,19.12094
22.55,18.04437
22.6,15.61867
22.65,12.71825
22.7,9.935204
22.75,7.537652
22.8,5.564699
22.85,3.937629
22.9,2.692572
22.95,1.797105
23,1.172626
23.05,0.770642
23.1,0.529956
23.15,0.3840429
23.2,0.3106365
23.25,0.2902101
23.3,0.3052652
23.35,0.335539
23.4,0.3591178
23.45,0.3834351
23.5,0.4169371
23.55,0.4458042
23.6,0.4690788
23.65,0.4955721
23.7,0.5131549
23.75,0.5199683
23.8,0.5248473
23.85,0.5370903
23.9,0.5679634
23.95,0.5726896
24,0.5545116
24.05,0.5454952
24.1,0.5399056
24.15,0.5316599
24.2,0.5159913
24.25,0.4908226
24.3,0.4653776
24.35,0.4232493
24.4,0.3872403
24.45,0.3593545
24.5,0.353818
24.55,0.3697014
24.6,0.4077487
24.65,0.4282378
24.7,0.4166466
24.75,0.3829623
24.8,0.3408432
24.85,0.3013553
24.9,0.2734955
24.95,0.2622922
25,0.2625717
25.05,0.2518383
25.1,0.2455485
25.15,0.2821381
25.2,0.3199244
25.25,0.3332223
25.3,0.3390025
25.35,0.3152067
25.4,0.2785386
25.45,0.2431935
25.5,0.222004
25.55,0.2229888
25.6,0.2015142
25.65,0.1774048
25.7,0.1679466
25.75,0.1581079
25.8,0.191028
25.85,0.2297732
25.9,0.2605024
25.95,0.2853724
26,0.2969301
26.05,0.2987611
26.1,0.2985154
26.15,0.3057963
26.2,0.3103174
26.25,0.3257045
26.3,0.3479296
26.35,0.3630807
26.4,0.3638912
26.45,0.3557508
26.5,0.3348916
26.55,0.3097912
26.6,0.2950684
26.65,0.2956135
26.7,0.3060773
26.75,0.3069866
26.8,0.3025998
26.85,0.3067268
26.9,0.3125723
26.95,0.3184889
27,0.3472584
27.05,0.3642873
27.1,0.3892394
27.15,0.4069305
27.2,0.4151587
27.25,0.4302885
27.3,0.4090492
27.35,0.3873862
27.4,0.3794209
27.45,0.3574297
27.5,0.3484621
27.55,0.3201772
27.6,0.2977011
27.65,0.2668037
27.7,0.235946
27.75,0.2226656
27.8,0.2268854
27.85,0.2470589
27.9,0.2948941
27.95,0.3635775
28,0.4625944
28.05,0.6099046
28.1,0.819836
28.15,1.144826
28.2,1.651676
28.25,2.417819
28.3,3.506769
28.35,4.966254
28.4,6.967887
28.45,9.756794
28.5,13.45324
28.55,17.75858
28.6,21.64577
28.65,23.87629
28.7,23.64948
28.75,20.90006
28.8,16.52516
28.85,11.8054
28.9,7.836338
28.95,5.124626
29,3.481427
29.05,2.487644
29.1,1.860635
29.15,1.471215
29.2,1.209438
29.25,1.03225
29.3,0.9018668
29.35,0.8136711
29.4,0.7663555
29.45,0.6974617
29.5,0.6076483
29.55,0.5159199
29.6,0.4213799
29.65,0.3455279
29.7,0.3008448
29.75,0.274739
29.8,0.2577404
29.85,0.2437171
29.9,0.2256046
29.95,0.2084715
30,0.2102393
30.05,0.2306291
30.1,0.2450037
30.15,0.25411
30.2,0.2536603
30.25,0.263935
30.3,0.284119
30.35,0.2915998
30.4,0.2911654
30.45,0.2886949
30.5,0.2670074
30.55,0.2488003
30.6,0.2445326
30.65,0.242622
30.7,0.2527741
30.75,0.2759807
30.8,0.2861111
30.85,0.2842489
30.9,0.2813145
30.95,0.2830488
31,0.2779052
31.05,0.2659483
31.1,0.2638223
31.15,0.2694019
31.2,0.2606431
31.25,0.24866
31.3,0.2649381
31.35,0.2855678
31.4,0.2867842
31.45,0.2902239
31.5,0.2979225
31.55,0.3020871
31.6,0.3100176
31.65,0.3162559
31.7,0.3334907
31.75,0.3663661
31.8,0.3951563
31.85,0.4231896
31.9,0.4367064
31.95,0.4486453
32,0.4572862
32.05,0.4595979
32.1,0.4778873
32.15,0.5102
32.2,0.5318365
32.25,0.5873931
32.3,0.7082881
32.35,1.076697
32.4,1.769414
32.45,2.775233
32.5,4.146025
32.55,6.441001
32.6,10.35433
32.65,15.99414
32.7,22.24517
32.75,27.45301
32.8,30.19185
32.85,29.77326
32.9,26.75729
32.95,22.62265
33,18.84792
33.05,16.15805
33.1,14.37016
33.15,12.97082
33.2,11.59487
33.25,10.00997
33.3,8.23443
33.35,6.498064
33.4,4.933356
33.45,3.678212
33.5,2.709053
33.55,2.026736
33.6,1.556322
33.65,1.253054
33.7,1.053468
33.75,0.9310068
33.8,0.8233915
33.85,0.7189021
33.9,0.6114821
33.95,0.5651737
34,0.5205815
34.05,0.4805203
34.1,0.4680603
34.15,0.4525362
34.2,0.4291572
34.25,0.4014883
34.3,0.3741515
34.35,0.3792561
34.4,0.3665424
34.45,0.3469277
34.5,0.3447408
34.55,0.3470608
34.6,0.3394272
34.65,0.3295429
34.7,0.3398405
34.75,0.3796453
34.8,0.4325852
34.85,0.4686703
34.9,0.4951929
34.95,0.4971048
35,0.4789679
35.05,0.4554394
35.1,0.4520441
35.15,0.4567943
35.2,0.4651245
35.25,0.4723711
35.3,0.4692518
35.35,0.4741069
35.4,0.4826748
35.45,0.465308
35.5,0.4682823
35.55,0.4774461
35.6,0.4768637
35.65,0.4772055
35.7,0.4812177
35.75,0.4966201
35.8,0.517063
35.85,0.5244254
35.9,0.5276998
35.95,0.5086767
36,0.4953949
36.05,0.5126287
36.1,0.5362933
36.15,0.5437461
36.2,0.5466298
36.25,0.5504023
36.3,0.5517514
36.35,0.5634405
36.4,0.5865412
36.45,0.6009421
36.5,0.5834154
36.55,0.5464565
36.6,0.5331699
36.65,0.5312861
36.7,0.5346989
36.75,0.5593866
36.8,0.6005761
36.85,0.6369812
36.9,0.6462595
36.95,0.6241648
37,0.6361656
37.05,0.6300734
37.1,0.6419952
37.15,0.6641523
37.2,0.7029778
37.25,0.7358223
37.3,0.7798716
37.35,0.7978384
37.4,0.8428748
37.45,0.87025
37.5,0.879181
37.55,0.878881
37.6,1.015981
37.65,1.556493
37.7,2.725573
37.75,4.697306
37.8,7.50851
37.85,10.91676
37.9,14.42955
37.95,17.38924
38,19.19452
38.05,19.63977
38.1,18.91046
38.15,17.38597
38.2,15.51836
38.25,13.63597
38.3,11.92964
38.35,10.34041
38.4,8.813093
38.45,7.407836
38.5,6.292093
38.55,5.363329
38.6,4.547452
38.65,3.895902
38.7,3.386505
38.75,2.949093
38.8,2.598474
38.85,2.361231
38.9,2.248296
38.95,2.143396
39,2.058328
39.05,1.977261
39.1,1.876994
39.15,1.767774
39.2,1.679179
39.25,1.622632
39.3,1.581914
39.35,1.542549
39.4,1.49017
39.45,1.411758
39.5,1.330771
39.55,1.26809
39.6,1.207502
39.65,1.160346
39.7,1.12432
39.75,1.056044
39.8,0.9886762
39.85,0.9082138
39.9,0.8802673
39.95,0.8554009
40,0.8493341
40.05,0.8578723
40.1,0.852503
40.15,0.8079502
40.2,0.7775138
40.25,0.7084817
40.3,0.7880906
40.35,0.8417244
