Data File Name,Eukaryote Total RNA Nano_2020-10-21_16-41-52.xad
Data File Path,C:\Program Files (x86)\Agilent\2100 bioanalyzer\2100 expert\Data\2020-10-21
Date Created,"Wednesday, October 21, 2020 11:41:52 PM"
Date Last Modified,"Thursday, October 22, 2020 12:09:19 AM"
Version Created,B.02.10.SI764
Version Last Modified,B.02.10.SI764
 
Assay Name,Eukaryote Total RNA Nano Series II
Assay Path,C:\Program Files (x86)\Agilent\2100 bioanalyzer\2100 expert\assays\RNA
Assay Title,Eukaryote Total RNA Nano
Assay Version,2.6
 
Number of Samples Run,12
 
Sample Name,RNA4_C_TP2
Number of Events,1060
 
Time,Value
17,5.60379E-03
17.05,5.60379E-03
17.1,5.60379E-03
17.15,5.60379E-03
17.2,5.60379E-03
17.25,5.60379E-03
17.3,5.60379E-03
17.35,-9.433031E-04
17.4,8.036423E-03
17.45,1.330704E-02
17.5,9.549314E-03
17.55,1.522656E-02
17.6,3.400097E-02
17.65,4.858641E-02
17.7,4.100506E-02
17.75,0.0430687
17.8,4.722353E-02
17.85,4.721247E-02
17.9,4.606768E-02
17.95,5.314062E-02
18,0.0592011
18.05,5.819054E-02
18.1,5.669318E-02
18.15,6.048889E-02
18.2,5.872596E-02
18.25,6.170949E-02
18.3,7.921828E-02
18.35,0.1064255
18.4,0.1325831
18.45,0.1367628
18.5,0.1157151
18.55,7.457544E-02
18.6,3.332745E-02
18.65,1.925375E-02
18.7,3.117547E-02
18.75,5.336411E-02
18.8,6.262267E-02
18.85,6.665228E-02
18.9,6.635753E-02
18.95,4.828001E-02
19,2.251145E-02
19.05,7.445034E-03
19.1,1.51452E-03
19.15,-6.52317E-04
19.2,0.011735
19.25,4.146533E-02
19.3,4.954947E-02
19.35,3.329852E-02
19.4,2.95744E-04
19.45,-1.645115E-02
19.5,-3.694708E-02
19.55,-5.304337E-02
19.6,-6.165374E-02
19.65,-6.858023E-02
19.7,-6.152848E-02
19.75,-4.391007E-02
19.8,-2.653319E-02
19.85,9.313663E-03
19.9,1.689081E-02
19.95,1.457732E-02
20,-2.19405E-04
20.05,-8.978331E-03
20.1,-2.053022E-02
20.15,-2.030851E-02
20.2,-7.137174E-03
20.25,-2.936193E-04
20.3,-0.0035375
20.35,-1.009339E-02
20.4,-1.222209E-02
20.45,-2.896872E-02
20.5,-3.215321E-02
20.55,-3.272361E-02
20.6,-4.060186E-02
20.65,-3.350993E-02
20.7,-1.637639E-02
20.75,8.076519E-03
20.8,3.245027E-02
20.85,4.314046E-02
20.9,4.405277E-02
20.95,1.900078E-02
21,-8.953822E-03
21.05,-2.789686E-02
21.1,-5.130247E-02
21.15,-5.186697E-02
21.2,-2.569002E-02
21.25,-1.217486E-02
21.3,-1.326996E-02
21.35,-0.01278
21.4,-1.631865E-02
21.45,-2.792385E-02
21.5,-3.884235E-02
21.55,-1.761048E-02
21.6,2.614346E-03
21.65,1.002172E-02
21.7,1.506996E-02
21.75,2.950802E-02
21.8,0.0355428
21.85,3.554669E-02
21.9,3.189862E-02
21.95,1.903032E-02
22,-9.765333E-03
22.05,-6.782305E-02
22.1,-0.1486404
22.15,-5.388163E-02
22.2,0.7233982
22.25,2.764941
22.3,6.266734
22.35,10.73301
22.4,15.10772
22.45,18.27239
22.5,19.45881
22.55,18.68771
22.6,16.65201
22.65,14.04983
22.7,11.44952
22.75,9.047658
22.8,6.895504
22.85,5.088958
22.9,3.5594
22.95,2.367802
23,1.506325
23.05,0.9006652
23.1,0.5107332
23.15,0.2762978
23.2,0.1478342
23.25,9.134028E-02
23.3,3.870812E-02
23.35,1.226464E-02
23.4,1.491107E-02
23.45,1.555586E-02
23.5,1.627423E-02
23.55,2.343873E-02
23.6,2.543669E-02
23.65,1.376267E-02
23.7,1.043136E-03
23.75,-3.776145E-03
23.8,9.233194E-03
23.85,2.761814E-02
23.9,0.0499817
23.95,7.496399E-02
24,9.291238E-02
24.05,0.1125972
24.1,0.1310455
24.15,0.143718
24.2,0.1563142
24.25,0.1651706
24.3,0.1683667
24.35,0.1820168
24.4,0.1933374
24.45,0.1952161
24.5,0.2062092
24.55,0.2305086
24.6,0.270261
24.65,0.3083373
24.7,0.3515655
24.75,0.3822547
24.8,0.366653
24.85,0.3252631
24.9,0.2877911
24.95,0.261494
25,0.2703774
25.05,0.2775377
25.1,0.3028444
25.15,0.2887313
25.2,0.2650622
25.25,0.2680401
25.3,0.2442196
25.35,0.2439685
25.4,0.2533864
25.45,0.2474699
25.5,0.2503833
25.55,0.2320514
25.6,0.2339967
25.65,0.2300022
25.7,0.1926662
25.75,0.1934181
25.8,0.1809732
25.85,0.1895687
25.9,0.2003488
25.95,0.2245648
26,0.248463
26.05,0.2822394
26.1,0.3385058
26.15,0.4142289
26.2,0.4862412
26.25,0.5510097
26.3,0.5838904
26.35,0.5686175
26.4,0.5265328
26.45,0.4835719
26.5,0.4378774
26.55,0.3928312
26.6,0.3669025
26.65,0.3670518
26.7,0.3786599
26.75,0.4038567
26.8,0.4458779
26.85,0.4788815
26.9,0.4963644
26.95,0.5146985
27,0.5488373
27.05,0.5962768
27.1,0.6362607
27.15,0.6843968
27.2,0.7461101
27.25,0.8076472
27.3,0.877555
27.35,0.9586434
27.4,1.028283
27.45,1.07567
27.5,1.111534
27.55,1.13343
27.6,1.138919
27.65,1.12926
27.7,1.106838
27.75,1.110004
27.8,1.082681
27.85,1.046042
27.9,0.9981055
27.95,0.930042
28,0.8761132
28.05,0.8355146
28.1,0.8033702
28.15,0.8171023
28.2,0.8577286
28.25,0.90438
28.3,0.9554353
28.35,0.9889423
28.4,1.01642
28.45,1.03198
28.5,1.021227
28.55,1.021668
28.6,1.07116
28.65,1.190368
28.7,1.452492
28.75,1.89167
28.8,2.515844
28.85,3.275553
28.9,4.065735
28.95,4.860446
29,5.550137
29.05,6.088612
29.1,6.410614
29.15,6.468238
29.2,6.265472
29.25,5.850184
29.3,5.273793
29.35,4.625834
29.4,3.986602
29.45,3.417817
29.5,2.93842
29.55,2.539997
29.6,2.23548
29.65,2.007659
29.7,1.834059
29.75,1.726524
29.8,1.673269
29.85,1.645288
29.9,1.634659
29.95,1.621341
30,1.571032
30.05,1.500883
30.1,1.423534
30.15,1.358368
30.2,1.295116
30.25,1.264687
30.3,1.294924
30.35,1.369265
30.4,1.463131
30.45,1.616441
30.5,1.825132
30.55,2.127428
30.6,2.469261
30.65,2.827576
30.7,3.140944
30.75,3.345538
30.8,3.431981
30.85,3.36316
30.9,3.200058
30.95,3.005708
31,2.772081
31.05,2.542586
31.1,2.313824
31.15,2.118583
31.2,1.924332
31.25,1.685558
31.3,1.485811
31.35,1.304659
31.4,1.163229
31.45,1.079278
31.5,1.015356
31.55,1.016428
31.6,1.032776
31.65,1.041079
31.7,1.052891
31.75,1.030577
31.8,0.9936481
31.85,0.9836681
31.9,0.9749175
31.95,0.9912786
32,1.022488
32.05,1.045232
32.1,1.063352
32.15,1.079113
32.2,1.099138
32.25,1.127232
32.3,1.145779
32.35,1.151852
32.4,1.146297
32.45,1.121102
32.5,1.099441
32.55,1.107265
32.6,1.131606
32.65,1.159042
32.7,1.194796
32.75,1.215911
32.8,1.207474
32.85,1.200034
32.9,1.195245
32.95,1.215162
33,1.235242
33.05,1.233326
33.1,1.231954
33.15,1.228918
33.2,1.234507
33.25,1.279067
33.3,1.352091
33.35,1.427887
33.4,1.44783
33.45,1.43587
33.5,1.389068
33.55,1.348416
33.6,1.314831
33.65,1.314153
33.7,1.345911
33.75,1.391827
33.8,1.449844
33.85,1.534615
33.9,1.591912
33.95,1.624508
34,1.638049
34.05,1.630172
34.1,1.635016
34.15,1.638101
34.2,1.626528
34.25,1.590829
34.3,1.522338
34.35,1.468663
34.4,1.451842
34.45,1.443288
34.5,1.446274
34.55,1.442839
34.6,1.422126
34.65,1.407704
34.7,1.400894
34.75,1.429112
34.8,1.469672
34.85,1.480469
34.9,1.462406
34.95,1.426643
35,1.38212
35.05,1.336925
35.1,1.298589
35.15,1.274571
35.2,1.273419
35.25,1.281788
35.3,1.292029
35.35,1.309514
35.4,1.306982
35.45,1.295805
35.5,1.317354
35.55,1.378413
35.6,1.497122
35.65,1.633195
35.7,1.725705
35.75,1.765451
35.8,1.756364
35.85,1.698153
35.9,1.656565
35.95,1.608597
36,1.592367
36.05,1.615359
36.1,1.60977
36.15,1.585153
36.2,1.583098
36.25,1.507865
36.3,1.482589
36.35,1.467595
36.4,1.472945
36.45,1.53424
36.5,1.579465
36.55,1.666122
36.6,1.807566
36.65,2.00326
36.7,2.316431
36.75,2.819435
36.8,3.663751
36.85,4.956622
36.9,6.769542
36.95,9.053789
37,11.36225
37.05,13.32441
37.1,14.65944
37.15,15.21877
37.2,15.01509
37.25,14.25704
37.3,13.10242
37.35,11.66661
37.4,10.08455
37.45,8.533411
37.5,7.137713
37.55,5.88868
37.6,4.854766
37.65,4.017071
37.7,3.315391
37.75,2.739194
37.8,2.289138
37.85,1.950676
37.9,1.705235
37.95,1.515557
38,1.366751
38.05,1.244511
38.1,1.143064
38.15,1.074422
38.2,1.027347
38.25,1.011138
38.3,1.026767
38.35,1.04013
38.4,1.029796
38.45,1.028888
38.5,1.014671
38.55,0.976941
38.6,0.9200185
38.65,0.8513661
38.7,0.7849415
38.75,0.7473156
38.8,0.702399
38.85,0.6888613
38.9,0.6682242
38.95,0.6664638
39,0.6569732
39.05,0.6272721
39.1,0.5947979
39.15,0.5889636
39.2,0.6013959
39.25,0.6423352
39.3,0.7101519
39.35,0.735195
39.4,0.7025529
39.45,0.651028
39.5,0.6177031
39.55,0.626865
39.6,0.6555797
39.65,0.6808533
39.7,0.6907291
39.75,0.6370822
39.8,0.5531906
39.85,0.4771698
39.9,0.4166821
39.95,0.3958055
40,0.3788787
40.05,0.3707935
40.1,0.3663068
40.15,0.3497279
40.2,0.3310145
40.25,0.3255061
40.3,0.3161003
40.35,0.3076058
40.4,0.2952814
40.45,0.2766997
40.5,0.2488464
40.55,0.2267844
40.6,0.2197131
