Data File Name,Eukaryote Total RNA Nano_2020-10-21_17-01-22.xad
Data File Path,C:\Program Files (x86)\Agilent\2100 bioanalyzer\2100 expert\Data\2020-10-21
Date Created,"Thursday, October 22, 2020 12:01:22 AM"
Date Last Modified,"Thursday, October 22, 2020 12:24:26 AM"
Version Created,B.02.10.SI764
Version Last Modified,B.02.10.SI764
 
Assay Name,Eukaryote Total RNA Nano Series II
Assay Path,C:\Program Files (x86)\Agilent\2100 bioanalyzer\2100 expert\assays\RNA
Assay Title,Eukaryote Total RNA Nano
Assay Version,2.6
 
Number of Samples Run,12
 
Sample Name,Ladder
Number of Events,1060
 
Time,Value
17,-1.491547E-03
17.05,-1.491547E-03
17.1,-1.491547E-03
17.15,-1.491547E-03
17.2,-1.491547E-03
17.25,-1.491547E-03
17.3,-1.491547E-03
17.35,-1.491547E-03
17.4,-1.491547E-03
17.45,-1.491547E-03
17.5,-1.491547E-03
17.55,-1.491547E-03
17.6,-1.491547E-03
17.65,-1.491547E-03
17.7,2.601004E-02
17.75,3.552653E-02
17.8,2.396506E-02
17.85,-5.249942E-03
17.9,-2.600225E-02
17.95,-4.417127E-02
18,-4.325327E-02
18.05,-4.977341E-02
18.1,-5.263279E-02
18.15,-6.827489E-02
18.2,-6.577444E-02
18.25,-5.156869E-02
18.3,-4.667196E-02
18.35,-5.890006E-02
18.4,-4.763988E-02
18.45,-7.192566E-02
18.5,-7.856549E-02
18.55,-9.420893E-02
18.6,-7.995161E-02
18.65,-6.354298E-02
18.7,-4.960386E-02
18.75,-4.204807E-02
18.8,-4.546214E-02
18.85,-7.043241E-02
18.9,-9.789948E-02
18.95,-0.1124117
19,-0.100001
19.05,-7.014679E-02
19.1,-4.983716E-02
19.15,-4.470531E-02
19.2,-3.634408E-02
19.25,-5.013614E-03
19.3,1.758798E-02
19.35,1.968328E-02
19.4,-4.480322E-04
19.45,-2.613252E-04
19.5,-8.778759E-03
19.55,-3.269555E-02
19.6,-3.787421E-02
19.65,-9.063159E-04
19.7,1.528919E-02
19.75,-5.831437E-03
19.8,1.647621E-03
19.85,4.335991E-02
19.9,3.954611E-02
19.95,2.846336E-02
20,4.030206E-03
20.05,-5.589612E-03
20.1,-7.214816E-03
20.15,-7.158464E-03
20.2,1.525827E-02
20.25,3.299115E-02
20.3,2.883017E-02
20.35,9.101503E-03
20.4,-0.0107525
20.45,-1.156035E-02
20.5,-9.148831E-03
20.55,-2.660839E-02
20.6,-4.365427E-02
20.65,-4.779346E-02
20.7,-4.800558E-02
20.75,-4.529424E-02
20.8,-5.437192E-02
20.85,-5.256723E-02
20.9,-6.073397E-02
20.95,-5.543983E-02
21,-4.186206E-02
21.05,-9.421147E-03
21.1,-6.277156E-04
21.15,1.118266E-02
21.2,1.760819E-02
21.25,3.986581E-02
21.3,5.319905E-02
21.35,6.092542E-02
21.4,5.577732E-02
21.45,3.152097E-02
21.5,-5.421547E-03
21.55,-3.053596E-02
21.6,-4.743342E-02
21.65,-5.302327E-02
21.7,-0.0539044
21.75,-4.372752E-02
21.8,-2.807255E-02
21.85,-1.061764E-02
21.9,1.217241E-02
21.95,2.466201E-02
22,2.300008E-02
22.05,1.043936E-02
22.1,-4.959083E-02
22.15,-6.683455E-02
22.2,0.5807322
22.25,2.839108
22.3,7.078475
22.35,12.81069
22.4,18.65871
22.45,22.93526
22.5,24.42602
22.55,22.98241
22.6,19.71878
22.65,15.85838
22.7,12.21162
22.75,9.179722
22.8,6.714633
22.85,4.736086
22.9,3.203398
22.95,2.094523
23,1.334319
23.05,0.8414186
23.1,0.5699933
23.15,0.4479968
23.2,0.3852356
23.25,0.3409429
23.3,0.3115096
23.35,0.3138506
23.4,0.3622652
23.45,0.4190091
23.5,0.4636086
23.55,0.5102524
23.6,0.517679
23.65,0.5066046
23.7,0.5067647
23.75,0.5303737
23.8,0.5774269
23.85,0.6068296
23.9,0.6087883
23.95,0.6023425
24,0.569785
24.05,0.5460427
24.1,0.5425824
24.15,0.5252454
24.2,0.5404827
24.25,0.5669316
24.3,0.5638351
24.35,0.5698453
24.4,0.5904672
24.45,0.5902486
24.5,0.5508764
24.55,0.5120777
24.6,0.5011171
24.65,0.4866731
24.7,0.4622836
24.75,0.4588764
24.8,0.4596141
24.85,0.4310971
24.9,0.3835045
24.95,0.3302374
25,0.2964397
25.05,0.2817375
25.1,0.2765286
25.15,0.273283
25.2,0.2789375
25.25,0.2408083
25.3,0.2206196
25.35,0.1974293
25.4,0.1817924
25.45,0.2040332
25.5,0.2148522
25.55,0.2111423
25.6,0.2040106
25.65,0.17803
25.7,0.178337
25.75,0.1879313
25.8,0.2191544
25.85,0.2796067
25.9,0.3217025
25.95,0.3351835
26,0.3274791
26.05,0.3020278
26.1,0.271326
26.15,0.2410228
26.2,0.2245768
26.25,0.232557
26.3,0.2422066
26.35,0.2537585
