Data File Name,Eukaryote Total RNA Nano_2020-10-21_17-01-22.xad
Data File Path,C:\Program Files (x86)\Agilent\2100 bioanalyzer\2100 expert\Data\2020-10-21
Date Created,"Thursday, October 22, 2020 12:01:22 AM"
Date Last Modified,"Thursday, October 22, 2020 12:24:26 AM"
Version Created,B.02.10.SI764
Version Last Modified,B.02.10.SI764
 
Assay Name,Eukaryote Total RNA Nano Series II
Assay Path,C:\Program Files (x86)\Agilent\2100 bioanalyzer\2100 expert\assays\RNA
Assay Title,Eukaryote Total RNA Nano
Assay Version,2.6
 
Number of Samples Run,12
 
Sample Name,RNA7_C_TP10
Number of Events,1060
 
Time,Value
17,4.269791E-02
17.05,4.269791E-02
17.1,4.269791E-02
17.15,4.269791E-02
17.2,4.269791E-02
17.25,4.269791E-02
17.3,4.269791E-02
17.35,4.269791E-02
17.4,4.269791E-02
17.45,4.269791E-02
17.5,4.269791E-02
17.55,4.269791E-02
17.6,4.269791E-02
17.65,4.269791E-02
17.7,4.269791E-02
17.75,4.765993E-02
17.8,4.985151E-02
17.85,2.946186E-02
17.9,5.273946E-03
17.95,-2.469396E-02
18,-3.794326E-02
18.05,-3.637723E-02
18.1,-3.617629E-02
18.15,-3.184967E-02
18.2,-3.322917E-02
18.25,-5.189099E-02
18.3,-6.164099E-02
18.35,-5.716561E-02
18.4,-5.881597E-02
18.45,-4.512283E-02
18.5,-3.039354E-02
18.55,-1.016243E-02
18.6,3.803156E-03
18.65,1.213499E-02
18.7,1.284383E-02
18.75,7.61795E-03
18.8,1.780708E-03
18.85,-1.680852E-03
18.9,-1.069204E-02
18.95,-1.942585E-02
19,-1.387119E-02
19.05,-1.626011E-02
19.1,-2.058792E-02
19.15,-2.141008E-02
19.2,-1.241829E-02
19.25,-6.545268E-03
19.3,-1.937129E-02
19.35,-2.985489E-02
19.4,-2.593837E-02
19.45,-2.159546E-02
19.5,-1.808331E-02
19.55,-1.710474E-02
19.6,-1.940733E-02
19.65,-1.294646E-02
19.7,-2.088525E-02
19.75,-1.398716E-02
19.8,-2.581585E-03
19.85,2.666432E-03
19.9,-2.195933E-03
19.95,0.0132512
20,1.185226E-02
20.05,2.076559E-02
20.1,2.851061E-02
20.15,3.965228E-02
20.2,4.000762E-02
20.25,4.128566E-02
20.3,2.638408E-02
20.35,0.0285562
20.4,3.039997E-02
20.45,4.296353E-02
20.5,6.835992E-02
20.55,7.098583E-02
20.6,6.008487E-02
20.65,5.202284E-02
20.7,4.922926E-02
20.75,5.584933E-02
20.8,6.509836E-02
20.85,7.653156E-02
20.9,8.520924E-02
20.95,0.0815781
21,7.276543E-02
21.05,6.711862E-02
21.1,0.0619878
21.15,6.697197E-02
21.2,6.397521E-02
21.25,8.125687E-02
21.3,8.093461E-02
21.35,7.086657E-02
21.4,7.545709E-02
21.45,5.788946E-02
21.5,5.680307E-02
21.55,5.052982E-02
21.6,4.926803E-02
21.65,0.0336147
21.7,7.279643E-03
21.75,-2.44218E-03
21.8,1.681457E-03
21.85,8.806879E-03
21.9,1.720767E-02
21.95,1.974916E-02
22,8.017293E-03
22.05,-4.028578E-02
22.1,-0.1134233
22.15,2.532341E-02
22.2,0.9391161
22.25,3.322429
22.3,7.445322
22.35,12.74253
22.4,17.89089
22.45,21.61454
22.5,22.96013
22.55,21.93968
22.6,19.37835
22.65,16.2431
22.7,13.10121
22.75,10.21763
22.8,7.633125
22.85,5.466188
22.9,3.711734
22.95,2.423833
23,1.522364
23.05,0.9233301
23.1,0.5405502
23.15,0.3172335
23.2,0.2205243
23.25,0.1931115
23.3,0.1940281
23.35,0.2105198
23.4,0.2327593
23.45,0.2453895
23.5,0.278625
23.55,0.3136877
23.6,0.3479701
23.65,0.3733801
23.7,0.3743213
23.75,0.3575706
23.8,0.3371476
23.85,0.3495934
23.9,0.381009
23.95,0.4019553
24,0.4128278
24.05,0.4267012
24.1,0.4344624
24.15,0.4273928
24.2,0.4270714
24.25,0.4455168
24.3,0.4577462
24.35,0.4652027
24.4,0.4803014
24.45,0.4967486
24.5,0.5111051
24.55,0.5180964
24.6,0.5219926
24.65,0.5436181
24.7,0.5566676
24.75,0.5607471
24.8,0.5816403
24.85,0.5726938
24.9,0.5808827
24.95,0.5892562
25,0.5933762
25.05,0.6386459
25.1,0.6415898
25.15,0.635223
25.2,0.6423659
25.25,0.6253217
25.3,0.6158568
25.35,0.619256
25.4,0.6305236
25.45,0.6404948
25.5,0.6252757
25.55,0.6163818
25.6,0.6236925
25.65,0.6170662
25.7,0.6192521
25.75,0.6492221
25.8,0.6714138
25.85,0.6808036
25.9,0.6826794
25.95,0.6782609
26,0.6931316
26.05,0.724456
26.1,0.756829
26.15,0.7950785
26.2,0.7985798
26.25,0.7961884
26.3,0.8001983
26.35,0.7998039
26.4,0.8229714
26.45,0.8407494
26.5,0.8663194
