Data File Name,Eukaryote Total RNA Nano_2020-10-21_17-06-53.xad
Data File Path,C:\Program Files (x86)\Agilent\2100 bioanalyzer\2100 expert\Data\2020-10-21
Date Created,"Thursday, October 22, 2020 12:06:52 AM"
Date Last Modified,"Thursday, October 22, 2020 12:44:16 AM"
Version Created,B.02.10.SI764
Version Last Modified,B.02.10.SI764
 
Assay Name,Eukaryote Total RNA Nano Series II
Assay Path,C:\Program Files (x86)\Agilent\2100 bioanalyzer\2100 expert\assays\RNA
Assay Title,Eukaryote Total RNA Nano
Assay Version,2.6
 
Number of Samples Run,12
 
Sample Name,RNA1_U_TP1
Number of Events,1060
 
Time,Value
17,-6.289673E-02
17.05,-6.289673E-02
17.1,-6.289673E-02
17.15,-6.289673E-02
17.2,-6.289673E-02
17.25,-6.289673E-02
17.3,-6.063683E-02
17.35,-5.588897E-02
17.4,-4.844214E-02
17.45,-3.810469E-02
17.5,-3.001317E-02
17.55,-1.909325E-02
17.6,-2.837091E-03
17.65,-3.41899E-03
17.7,-1.579759E-02
17.75,-3.077675E-02
17.8,-3.906918E-02
17.85,-3.841396E-02
17.9,-4.119878E-02
17.95,-0.0343183
18,-2.857283E-02
18.05,-2.726327E-02
18.1,-1.358282E-02
18.15,1.242931E-02
18.2,3.721435E-02
18.25,5.364876E-02
18.3,4.749898E-02
18.35,2.457973E-02
18.4,-1.134671E-02
18.45,-4.287212E-02
18.5,-4.909699E-02
18.55,-3.080465E-02
18.6,-1.733856E-02
18.65,-9.880715E-03
18.7,-1.040888E-02
18.75,-1.615211E-02
18.8,-6.908458E-03
18.85,1.347646E-02
18.9,5.699083E-02
18.95,9.524218E-02
19,0.1123067
19.05,0.1259008
19.1,0.1153561
19.15,7.752883E-02
19.2,3.583996E-02
19.25,1.536473E-02
19.3,-2.491404E-02
19.35,-5.133259E-02
19.4,-7.446872E-02
19.45,-9.154023E-02
19.5,-7.986487E-02
19.55,-8.346678E-02
19.6,-6.512319E-02
19.65,-5.276837E-02
19.7,-5.665272E-02
19.75,-5.154163E-02
19.8,-0.0496065
19.85,-4.974468E-02
19.9,-4.486601E-02
19.95,-5.221055E-02
20,-3.979227E-02
20.05,-3.251944E-02
20.1,-1.343423E-02
20.15,-1.25377E-03
20.2,4.249516E-05
20.25,-3.085583E-02
20.3,-5.416537E-02
20.35,-4.176893E-02
20.4,-2.545809E-02
20.45,-2.181568E-02
20.5,-2.791098E-02
20.55,-4.402884E-02
20.6,-0.0718682
20.65,-9.161235E-02
20.7,-8.145537E-02
20.75,-6.060266E-02
20.8,-6.229689E-02
20.85,-0.0774835
20.9,-8.764478E-02
20.95,-8.464931E-02
21,-7.858883E-02
21.05,-6.860845E-02
21.1,-0.0437883
21.15,-1.241854E-02
21.2,2.398557E-02
21.25,5.392992E-02
21.3,8.309941E-02
21.35,0.1042087
21.4,0.1004946
21.45,7.982964E-02
21.5,6.152757E-02
21.55,5.121661E-02
21.6,0.0510443
21.65,6.174673E-02
21.7,9.551406E-02
21.75,0.1315006
21.8,0.1545181
21.85,0.1587049
21.9,0.1433064
21.95,0.1049316
22,7.032391E-02
22.05,4.068217E-02
22.1,-3.468717E-04
22.15,1.352021E-02
22.2,0.3730789
22.25,1.58381
22.3,3.979866
22.35,7.399681
22.4,11.09268
22.45,14.03027
22.5,15.41718
22.55,15.07921
22.6,13.42584
22.65,11.12479
22.7,8.764299
22.75,6.654417
22.8,4.868806
22.85,3.420529
22.9,2.293114
22.95,1.475714
23,0.9156752
23.05,0.5753168
23.1,0.3923625
23.15,0.2868899
23.2,0.2380762
23.25,0.1965907
23.3,0.1480833
23.35,0.1066675
23.4,8.501425E-02
23.45,7.187368E-02
23.5,0.0606792
23.55,5.441392E-02
23.6,5.871762E-02
23.65,5.560194E-02
23.7,6.453653E-02
23.75,6.591341E-02
23.8,5.311346E-02
23.85,3.383718E-02
23.9,3.482084E-02
23.95,3.910682E-02
24,3.491339E-02
24.05,4.762236E-02
24.1,6.930312E-02
24.15,7.756299E-02
24.2,7.440656E-02
24.25,6.344073E-02
24.3,4.747858E-02
24.35,0.0293941
24.4,2.229872E-02
24.45,3.620956E-02
24.5,5.260565E-02
24.55,7.367684E-02
24.6,7.449417E-02
24.65,5.628907E-02
24.7,4.134998E-02
24.75,2.839744E-02
24.8,2.354227E-02
24.85,2.226659E-02
24.9,2.945016E-02
24.95,2.941117E-02
25,2.359733E-02
25.05,2.506232E-02
25.1,3.537593E-02
25.15,3.762072E-02
25.2,4.584358E-02
25.25,0.0296393
25.3,-0.0105466
25.35,-4.895158E-02
25.4,-5.510606E-02
25.45,-6.370647E-02
25.5,-5.115148E-02
25.55,-0.0311313
25.6,-1.428271E-02
25.65,-1.115102E-02
25.7,-9.119515E-03
25.75,-7.955345E-03
25.8,-9.609267E-03
25.85,-2.964715E-02
25.9,-1.176718E-02
25.95,1.453468E-02
26,4.465922E-02
26.05,6.320836E-02
26.1,6.355152E-02
26.15,6.760728E-02
26.2,6.256642E-02
26.25,7.661127E-02
26.3,0.1117234
26.35,0.1241746
26.4,0.126864
26.45,0.1338842
26.5,0.1144425
26.55,0.1121738
26.6,0.1007843
26.65,9.860337E-02
26.7,9.791001E-02
26.75,9.818002E-02
26.8,0.1122003
26.85,0.1252358
26.9,0.1388465
26.95,0.1563016
27,0.1443349
27.05,0.1158631
27.1,0.102847
27.15,0.1056729
27.2,0.1005618
27.25,9.692003E-02
27.3,9.461423E-02
27.35,8.841971E-02
27.4,8.552238E-02
27.45,9.087595E-02
27.5,0.105691
27.55,0.1184894
27.6,0.1333204
27.65,0.1495671
27.7,0.1556129
27.75,0.1542668
27.8,0.1613475
27.85,0.1659591
27.9,0.1759275
27.95,0.1923406
28,0.2104935
28.05,0.2150587
28.1,0.1995162
28.15,0.1838153
28.2,0.1550477
28.25,0.1458664
28.3,0.1367406
28.35,0.1419038
28.4,0.1554419
28.45,0.1839836
28.5,0.2000219
28.55,0.2342905
28.6,0.267786
28.65,0.3399384
28.7,0.4249064
28.75,0.6000972
28.8,0.8886437
28.85,1.295932
28.9,1.798923
28.95,2.348908
29,2.91449
29.05,3.371352
29.1,3.696644
29.15,3.869499
29.2,3.866699
29.25,3.680103
29.3,3.364423
29.35,2.979571
29.4,2.590112
29.45,2.224195
29.5,1.899095
29.55,1.624405
29.6,1.408677
29.65,1.195915
29.7,1.034164
29.75,0.9158998
29.8,0.8318659
29.85,0.7628599
29.9,0.6867852
29.95,0.6238011
30,0.560546
30.05,0.489858
30.1,0.4344997
30.15,0.3824985
30.2,0.3490298
30.25,0.3300877
30.3,0.3080594
30.35,0.2960052
30.4,0.2773925
30.45,0.2506104
30.5,0.231322
30.55,0.2132811
30.6,0.2160724
30.65,0.2530049
30.7,0.3071093
30.75,0.3602917
30.8,0.3747916
30.85,0.3383117
30.9,0.2822857
30.95,0.2247197
31,0.1878727
31.05,0.17817
31.1,0.1716688
31.15,0.1705835
31.2,0.1669064
31.25,0.1510976
31.3,0.1464639
31.35,0.1522382
31.4,0.1547496
31.45,0.1551345
31.5,0.1573103
31.55,0.1870248
31.6,0.216284
31.65,0.2443128
31.7,0.2803352
31.75,0.3035226
31.8,0.3265406
31.85,0.3351297
31.9,0.3432991
31.95,0.3288556
32,0.3183093
32.05,0.3133593
32.1,0.3154226
32.15,0.3038823
32.2,0.29326
32.25,0.2705263
32.3,0.2552795
32.35,0.2532831
32.4,0.2712604
32.45,0.261245
32.5,0.2500662
32.55,0.2468591
32.6,0.2629509
32.65,0.2789903
32.7,0.3059886
32.75,0.3354031
32.8,0.3381406
32.85,0.3384292
32.9,0.3418309
32.95,0.341946
33,0.336466
33.05,0.3436082
33.1,0.37541
33.15,0.414533
33.2,0.4244271
33.25,0.4378156
33.3,0.4271557
33.35,0.4199026
33.4,0.4348877
33.45,0.4594482
33.5,0.4910683
33.55,0.5291664
33.6,0.562515
33.65,0.6009502
33.7,0.6259615
33.75,0.641406
33.8,0.6427113
33.85,0.6205404
33.9,0.6086536
33.95,0.6185393
34,0.6526021
34.05,0.6951652
34.1,0.7356516
34.15,0.7717658
34.2,0.7823465
34.25,0.7674323
34.3,0.7506852
34.35,0.7431372
34.4,0.7335715
34.45,0.7121986
34.5,0.6881765
34.55,0.6703587
34.6,0.653827
34.65,0.6501133
34.7,0.6561671
34.75,0.6815776
34.8,0.7049503
34.85,0.7223368
34.9,0.7569585
34.95,0.8273377
35,0.8987671
35.05,0.9720811
35.1,1.047334
35.15,1.091233
35.2,1.097478
35.25,1.079175
35.3,1.059706
35.35,1.035186
35.4,0.9798319
35.45,0.9257889
35.5,0.8624179
35.55,0.7929049
35.6,0.7848105
35.65,0.8080418
35.7,0.8904453
