Data File Name,Eukaryote Total RNA Nano_2020-10-22_10-58-16.xad
Data File Path,C:\Program Files (x86)\Agilent\2100 bioanalyzer\2100 expert\Data\2020-10-22
Date Created,"Thursday, October 22, 2020 5:58:16 PM"
Date Last Modified,"Thursday, October 22, 2020 6:29:55 PM"
Version Created,B.02.10.SI764
Version Last Modified,B.02.10.SI764
 
Assay Name,Eukaryote Total RNA Nano Series II
Assay Path,C:\Program Files (x86)\Agilent\2100 bioanalyzer\2100 expert\assays\RNA
Assay Title,Eukaryote Total RNA Nano
Assay Version,2.6
 
Number of Samples Run,7
 
Sample Name,Ladder
Number of Events,1060
 
Time,Value
17,2.164841E-02
17.05,2.164841E-02
17.1,2.164841E-02
17.15,2.164841E-02
17.2,2.164841E-02
17.25,2.164841E-02
17.3,2.164841E-02
17.35,2.164841E-02
17.4,2.936691E-02
17.45,7.690943E-03
17.5,-1.976013E-02
17.55,-2.688899E-02
17.6,-1.902208E-02
17.65,-2.840574E-02
17.7,-3.085449E-02
17.75,-3.847386E-02
17.8,-4.021255E-02
17.85,-5.328858E-02
17.9,-6.030926E-02
17.95,-5.317772E-02
18,-0.025104
18.05,-1.430882E-02
18.1,-1.737762E-02
18.15,-1.767808E-02
18.2,-1.223267E-02
18.25,-1.435655E-02
18.3,-2.697155E-02
18.35,-1.799255E-02
18.4,-7.409433E-03
18.45,-9.862366E-03
18.5,-1.567756E-02
18.55,-9.019936E-03
18.6,-6.447143E-03
18.65,-8.594844E-03
18.7,-0.0091541
18.75,-1.419067E-02
18.8,-3.409847E-02
18.85,-5.090462E-02
18.9,-4.992449E-02
18.95,-4.906515E-02
19,-4.688721E-02
19.05,-0.0386035
19.1,-2.725204E-02
19.15,-1.760532E-02
19.2,-1.564679E-03
19.25,3.170776E-03
19.3,-8.543529E-03
19.35,-3.474198E-02
19.4,-5.052724E-02
19.45,-5.005069E-02
19.5,-3.149796E-02
19.55,5.983845E-03
19.6,5.147413E-02
19.65,9.292579E-02
19.7,0.1006634
19.75,9.249534E-02
19.8,5.239318E-02
19.85,3.158125E-02
19.9,2.249222E-02
19.95,3.142068E-02
20,0.0418396
20.05,4.233305E-02
20.1,2.312442E-02
20.15,2.850195E-02
20.2,1.908371E-02
20.25,4.134626E-02
20.3,6.190048E-02
20.35,6.534141E-02
20.4,4.108843E-02
20.45,8.401261E-03
20.5,-1.148592E-02
20.55,-2.056368E-02
20.6,-2.044235E-02
20.65,8.708197E-03
20.7,4.123322E-02
20.75,3.847179E-02
20.8,0.0340718
20.85,3.250809E-02
20.9,2.674769E-02
20.95,1.977776E-02
21,1.391304E-02
21.05,1.607143E-02
21.1,0.0151503
21.15,5.33992E-06
21.2,-6.408539E-03
21.25,-3.971061E-03
21.3,-7.682235E-03
21.35,-1.132507E-02
21.4,-3.327144E-03
21.45,1.085155E-02
21.5,6.578064E-03
21.55,-1.393413E-02
21.6,-3.199646E-02
21.65,-4.418613E-02
21.7,-4.525429E-02
21.75,-2.241821E-02
21.8,1.506693E-02
21.85,6.099144E-02
21.9,0.0949856
21.95,0.1399558
22,0.1627357
22.05,0.1409223
22.1,7.579849E-02
22.15,0.2257541
22.2,1.202017
22.25,3.545283
22.3,7.299483
22.35,11.69686
22.4,15.63706
22.45,17.9761
22.5,18.25612
22.55,16.73362
22.6,14.19899
22.65,11.40228
22.7,8.783082
22.75,6.490427
22.8,4.625761
22.85,3.133822
22.9,2.062788
22.95,1.322226
23,0.852263
23.05,0.6033757
23.1,0.4785443
23.15,0.4390751
23.2,0.4314458
23.25,0.4403441
23.3,0.4639556
23.35,0.4886806
23.4,0.5109647
23.45,0.5210831
23.5,0.5197915
23.55,0.5200327
23.6,0.5201358
23.65,0.5324008
23.7,0.5429878
23.75,0.5433673
23.8,0.537388
23.85,0.5178451
23.9,0.4979211
23.95,0.4795338
24,0.4669119
24.05,0.4725693
24.1,0.4698227
24.15,0.4576022
24.2,0.4508014
24.25,0.4417709
24.3,0.4437321
24.35,0.4455377
24.4,0.462274
24.45,0.4812293
24.5,0.4664902
24.55,0.424183
24.6,0.3746248
24.65,0.3338902
24.7,0.3153952
24.75,0.3155041
24.8,0.3475116
24.85,0.3597865
24.9,0.359466
24.95,0.3082809
25,0.2794952
25.05,0.2484565
25.1,0.2281783
25.15,0.2262948
25.2,0.2430444
25.25,0.2640452
25.3,0.2697375
25.35,0.2689975
25.4,0.2821577
25.45,0.2702476
25.5,0.2479769
25.55,0.2085278
25.6,0.1734595
25.65,0.1524127
25.7,0.1510341
25.75,0.1764004
