Data File Name,Eukaryote Total RNA Nano_2020-10-22_10-58-16.xad
Data File Path,C:\Program Files (x86)\Agilent\2100 bioanalyzer\2100 expert\Data\2020-10-22
Date Created,"Thursday, October 22, 2020 5:58:16 PM"
Date Last Modified,"Thursday, October 22, 2020 6:29:55 PM"
Version Created,B.02.10.SI764
Version Last Modified,B.02.10.SI764
 
Assay Name,Eukaryote Total RNA Nano Series II
Assay Path,C:\Program Files (x86)\Agilent\2100 bioanalyzer\2100 expert\assays\RNA
Assay Title,Eukaryote Total RNA Nano
Assay Version,2.6
 
Number of Samples Run,7
 
Sample Name,RNA3_U_TP10
Number of Events,1060
 
Time,Value
17,4.267502E-02
17.05,3.281021E-02
17.1,1.897049E-02
17.15,-8.560181E-03
17.2,2.563477E-03
17.25,-2.445221E-03
17.3,9.529114E-03
17.35,2.085495E-02
17.4,2.121353E-02
17.45,1.062012E-02
17.5,1.301956E-02
17.55,1.659012E-02
17.6,3.642654E-02
17.65,4.353714E-02
17.7,6.719208E-02
17.75,5.997849E-02
17.8,6.389618E-02
17.85,6.745529E-02
17.9,0.0626564
17.95,4.268646E-02
18,0.0255127
18.05,9.056091E-03
18.1,4.749298E-03
18.15,-1.157761E-02
18.2,2.645111E-02
18.25,5.798721E-02
18.3,5.906296E-02
18.35,7.243729E-02
18.4,8.439255E-02
18.45,6.352615E-02
18.5,5.283356E-02
18.55,3.802109E-02
18.6,2.468491E-02
18.65,-2.544403E-03
18.7,-5.355835E-03
18.75,-5.752563E-03
18.8,8.934021E-03
18.85,1.593781E-02
18.9,2.466202E-02
18.95,1.968384E-03
19,-1.807022E-02
19.05,-3.003311E-02
19.1,-2.633667E-02
19.15,1.57547E-03
19.2,1.629639E-02
19.25,1.361847E-03
19.3,-1.464844E-02
19.35,-2.752304E-02
19.4,-3.998947E-02
19.45,-1.602554E-02
19.5,2.325821E-02
19.55,3.988647E-02
19.6,1.516724E-02
19.65,-2.944946E-03
19.7,-1.557159E-02
19.75,-4.273224E-02
19.8,-3.017044E-02
19.85,2.76947E-03
19.9,2.297592E-02
19.95,6.206512E-03
20,-7.171631E-03
20.05,-0.0149765
20.1,-3.817368E-02
20.15,-5.317688E-02
20.2,-3.519058E-02
20.25,-2.544785E-02
20.3,2.059555E-02
20.35,3.777695E-02
20.4,4.843521E-02
20.45,5.393982E-02
20.5,3.016281E-02
20.55,1.708603E-02
20.6,5.756378E-03
20.65,-1.428223E-02
20.7,8.033752E-03
20.75,1.923752E-02
20.8,4.464722E-02
20.85,4.305649E-02
20.9,2.253723E-02
20.95,2.244568E-02
21,1.187897E-02
21.05,8.224487E-03
21.1,1.869583E-02
21.15,2.999878E-02
21.2,1.143646E-02
21.25,-2.134705E-02
21.3,-2.631378E-02
21.35,-1.638031E-02
21.4,-4.844666E-04
21.45,2.561569E-02
21.5,3.970718E-02
21.55,5.306625E-02
21.6,2.869797E-02
21.65,2.733994E-02
21.7,-2.002716E-03
21.75,-2.072144E-02
21.8,-4.340744E-02
21.85,-5.556107E-02
21.9,-3.961563E-02
21.95,-2.666855E-02
22,-1.107407E-02
22.05,-5.902481E-02
22.1,-0.1133499
22.15,0.1464005
22.2,1.504425
22.25,4.44482
22.3,8.723145
22.35,13.44047
22.4,17.47257
22.45,19.61026
22.5,19.62181
22.55,17.84392
22.6,15.21243
22.65,12.27741
22.7,9.470829
22.75,7.033222
22.8,4.986282
22.85,3.283421
22.9,2.06683
22.95,1.21347
23,0.7025452
23.05,0.4144707
23.1,0.298069
23.15,0.2719231
23.2,0.2714157
23.25,0.2692947
23.3,0.2983284
23.35,0.3323135
23.4,0.3420525
23.45,0.355854
23.5,0.3783035
23.55,0.4202194
23.6,0.4534302
23.65,0.4854202
23.7,0.515625
23.75,0.540432
23.8,0.5528336
23.85,0.585144
23.9,0.6669044
23.95,0.7350655
24,0.7671318
24.05,0.8255692
24.1,0.8770409
24.15,0.9660454
24.2,1.060665
24.25,1.163609
24.3,1.232731
24.35,1.288845
24.4,1.362335
24.45,1.410133
24.5,1.450497
24.55,1.515862
24.6,1.522045
24.65,1.542633
24.7,1.559822
24.75,1.645424
24.8,1.660488
24.85,1.672142
24.9,1.681431
24.95,1.671772
25,1.65427
25.05,1.702721
25.1,1.752369
25.15,1.82547
25.2,1.872681
25.25,1.94582
25.3,1.992409
25.35,2.037937
25.4,2.099556
25.45,2.161396
25.5,2.223885
25.55,2.265965
25.6,2.337429
25.65,2.41029
25.7,2.47258
25.75,2.502064
25.8,2.533653
25.85,2.535542
25.9,2.564293
