Plate_Number,File_Name
1,Eukaryote Total RNA Nano_2020-10-21_16-07-11
2,Eukaryote Total RNA Nano_2020-10-21_16-14-00
3,Eukaryote Total RNA Nano_2020-10-21_16-34-50
4,Eukaryote Total RNA Nano_2020-10-21_16-41-52
5,Eukaryote Total RNA Nano_2020-10-21_17-01-22
6,Eukaryote Total RNA Nano_2020-10-21_17-06-53
7,Eukaryote Total RNA Nano_2020-10-21_17-37-08
8,Eukaryote Total RNA Nano_2020-10-21_17-42-16
9,Eukaryote Total RNA Nano_2020-10-22_10-58-16
10,Eukaryote Total RNA Nano_2020-10-22_11-04-04
11,Eukaryote Total RNA Nano_2020-10-22_11-19-17
12,Eukaryote Total RNA Nano_2020-10-22_11-27-32
13,Eukaryote Total RNA Nano_2020-10-22_12-33-14
