,Time,Value,Nucleotides
0,17,5.60379E-03,-11.403701203735466
1,17.05,5.60379E-03,-11.410065951740535
2,17.1,5.60379E-03,-11.412866555778066
3,17.15,5.60379E-03,-11.41203587768706
4,17.2,5.60379E-03,-11.407506867453435
5,17.25,5.60379E-03,-11.399212563209801
6,17.3,5.60379E-03,-11.38708609123546
7,17.35,-9.433031E-04,-11.371060665956463
8,17.4,8.036423E-03,-11.351069589945325
9,17.45,1.330704E-02,-11.327046253921765
10,17.5,9.549314E-03,-11.298924136752191
11,17.55,1.522656E-02,-11.266636805448968
12,17.6,3.400097E-02,-11.2301179151724
13,17.65,4.858641E-02,-11.18930120922846
14,17.7,4.100506E-02,-11.144120519070327
15,17.75,0.0430687,-11.094509764298039
16,17.8,4.722353E-02,-11.040402952657814
17,17.85,4.721247E-02,-10.981734180043418
18,17.9,4.606768E-02,-10.918437630494338
19,17.95,5.314062E-02,-10.850447576197723
20,18,0.0592011,-10.777698377486843
21,18.05,5.819054E-02,-10.700124482842057
22,18.1,5.669318E-02,-10.617660428890076
23,18.15,6.048889E-02,-10.530240840404758
24,18.2,5.872596E-02,-10.43780043030631
25,18.25,6.170949E-02,-10.340273999661974
26,18.3,7.921828E-02,-10.237596437685568
27,18.35,0.1064255,-10.129702721737374
28,18.4,0.1325831,-10.016527917324993
29,18.45,0.1367628,-9.898007178102603
30,18.5,0.1157151,-9.774075745870391
31,18.55,7.457544E-02,-9.644668950576147
32,18.6,3.332745E-02,-9.509722210313953
33,18.65,1.925375E-02,-9.369171031324981
34,18.7,3.117547E-02,-9.222951007996642
35,18.75,5.336411E-02,-9.070997822863262
36,18.8,6.262267E-02,-8.91324724660592
37,18.85,6.665228E-02,-8.749635138052554
38,18.9,6.635753E-02,-8.580097444177738
39,18.95,4.828001E-02,-8.404570200102683
40,19,2.251145E-02,-8.222989529095287
41,19.05,7.445034E-03,-8.035291642570428
42,19.1,1.51452E-03,-7.841412840089276
43,19.15,-6.52317E-04,-7.641289509360433
44,19.2,0.011735,-7.434858126238623
45,19.25,4.146533E-02,-7.222055254725262
46,19.3,4.954947E-02,-7.002817546969027
47,19.35,3.329852E-02,-6.777081743264603
48,19.4,2.95744E-04,-6.544784672054391
49,19.45,-1.645115E-02,-6.305863249926233
50,19.5,-3.694708E-02,-6.0602544816156865
51,19.55,-5.304337E-02,-5.8078954600050565
52,19.6,-6.165374E-02,-5.548723366122488
53,19.65,-6.858023E-02,-5.282675469143669
54,19.7,-6.152848E-02,-5.009689126391038
55,19.75,-4.391007E-02,-4.729701783333326
56,19.8,-2.653319E-02,-4.442650973585671
57,19.85,9.313663E-03,-4.148474318910814
58,19.9,1.689081E-02,-3.8471095292180735
59,19.95,1.457732E-02,-3.538494402562833
60,20,-2.19405E-04,-3.222566825147794
61,20.05,-8.978331E-03,-2.899264771322123
62,20.1,-2.053022E-02,-2.568526303581791
63,20.15,-2.030851E-02,-2.230289572569518
64,20.2,-7.137174E-03,-1.8844928170748858
65,20.25,-2.936193E-04,-1.5310743640335431
66,20.3,-0.0035375,-1.1699726285290808
67,20.35,-1.009339E-02,-0.8011261137907013
68,20.4,-1.222209E-02,-0.42447341119469684
69,20.45,-2.896872E-02,-0.039953200264164934
70,20.5,-3.215321E-02,0.3524957513311051
71,20.55,-3.272361E-02,0.7529345877746323
72,20.6,-4.060186E-02,1.1614243651030165
73,20.65,-3.350993E-02,1.5780260512062227
74,20.7,-1.637639E-02,2.0028005258280928
75,20.75,8.076519E-03,2.43580858056481
76,20.8,3.245027E-02,2.877110918866265
77,20.85,4.314046E-02,3.326768156035598
78,20.9,4.405277E-02,3.7848408192292027
79,20.95,1.900078E-02,4.25138934745695
80,21,-8.953822E-03,4.726474091581565
81,21.05,-2.789686E-02,5.210155314319422
82,21.1,-5.130247E-02,5.702493190240034
83,21.15,-5.186697E-02,6.20354780576605
84,21.2,-2.569002E-02,6.713379159173485
85,21.25,-1.217486E-02,7.23204716059189
86,21.3,-1.326996E-02,7.759611632003896
87,21.35,-0.01278,8.296132307245273
88,21.4,-1.631865E-02,8.841668832004757
89,21.45,-2.792385E-02,9.39628076382553
90,21.5,-3.884235E-02,9.96002757210266
91,21.55,-1.761048E-02,10.532968638085492
92,21.6,2.614346E-03,11.115163254876109
93,21.65,1.002172E-02,11.706670627429844
94,21.7,1.506996E-02,12.307549872556024
95,21.75,2.950802E-02,12.91786001891603
96,21.8,0.0355428,13.537660007025977
97,21.85,3.554669E-02,14.167008689253805
98,21.9,3.189862E-02,14.805964829821619
99,21.95,1.903032E-02,15.45458710480466
100,22,-9.765333E-03,16.11293410213159
101,22.05,-6.782305E-02,16.78106432158353
102,22.1,-0.1486404,17.45903617479587
103,22.15,-5.388163E-02,18.146907985256973
104,22.2,0.7233982,18.844737988307827
105,22.25,2.764941,19.552584331143635
106,22.3,6.266734,20.270505072812398
107,22.35,10.73301,20.998558184215938
108,22.4,15.10772,21.736801548107678
109,22.45,18.27239,22.485292959096796
110,22.5,19.45881,23.244090123643673
111,22.55,18.68771,24.01325066006342
112,22.6,16.65201,24.79283209852298
113,22.65,14.04983,25.58289188104368
114,22.7,11.44952,26.383487361500045
115,22.75,9.047658,27.194675805619283
116,22.8,6.895504,28.01651439098248
117,22.85,5.088958,28.849060207023513
118,22.9,3.5594,29.692370255029687
119,22.95,2.367802,30.54650144814167
120,23,1.506325,31.41151061135355
121,23.05,0.9006652,32.287454481512555
122,23.1,0.5107332,33.17438970731888
123,23.15,0.2762978,34.0723728493262
124,23.2,0.1478342,34.981460379942064
125,23.25,9.134028E-02,35.90170868342648
126,23.3,3.870812E-02,36.83317405589247
127,23.35,1.226464E-02,37.77591270530746
128,23.4,1.491107E-02,38.729980751491325
129,23.45,1.555586E-02,39.6954342261177
130,23.5,1.627423E-02,40.6723290727129
131,23.55,2.343873E-02,41.660721146657124
132,23.6,2.543669E-02,42.660666215183596
133,23.65,1.376267E-02,43.67221995737816
134,23.7,1.043136E-03,44.69543796418128
135,23.75,-3.776145E-03,45.73037573838576
136,23.8,9.233194E-03,46.77708869463771
137,23.85,2.761814E-02,47.83563215943701
138,23.9,0.0499817,48.906061371136104
139,23.95,7.496399E-02,49.98843147994154
140,24,9.291238E-02,51.082797547912435
141,24.05,0.1125972,52.189214548961615
142,24.1,0.1310455,53.3077373688547
143,24.15,0.143718,54.43842080521114
144,24.2,0.1563142,55.58131956750361
145,24.25,0.1651706,56.736488277057276
146,24.3,0.1683667,57.903981467051835
147,24.35,0.1820168,59.08385358251934
148,24.4,0.1933374,60.276158980345144
149,24.45,0.1952161,61.4809519292682
150,24.5,0.2062092,62.69828660988094
151,24.55,0.2305086,63.928217114628296
152,24.6,0.270261,65.17079744780926
153,24.65,0.3083373,66.42608152557591
154,24.7,0.3515655,67.6941231759331
155,24.75,0.3822547,68.97497613873946
156,24.8,0.366653,70.26869406570665
157,24.85,0.3252631,71.57533052040009
158,24.9,0.2877911,72.8949389782374
159,24.95,0.261494,74.22757282649104
160,25,0.2703774,75.57328536428548
161,25.05,0.2775377,76.9321298025987
162,25.1,0.3028444,78.30415926426218
163,25.15,0.2887313,79.68942678396047
164,25.2,0.2650622,81.08798530823213
165,25.25,0.2680401,82.49988769546786
166,25.3,0.2442196,83.9251867159121
167,25.35,0.2439685,85.3639350516633
168,25.4,0.2533864,86.8161852966715
169,25.45,0.2474699,88.28198995674165
170,25.5,0.2503833,89.76140144953155
171,25.55,0.2320514,91.25447210455144
172,25.6,0.2339967,92.7612541631662
173,25.65,0.2300022,94.28179977859247
174,25.7,0.1926662,95.81616101590174
175,25.75,0.1934181,97.36438985201738
176,25.8,0.1809732,98.92653817571681
177,25.85,0.1895687,100.50265778763088
178,25.9,0.2003488,102.09280040024271
179,25.95,0.2245648,103.69701763788981
180,26,0.248463,105.31536103676262
181,26.05,0.2822394,106.94788204490482
182,26.1,0.3385058,108.5946320222128
183,26.15,0.4142289,110.25566224043672
184,26.2,0.4862412,111.93102388318067
185,26.25,0.5510097,113.620768045901
186,26.3,0.5838904,115.32494573590759
187,26.35,0.5686175,117.04360787236374
188,26.4,0.5265328,118.77680528628576
189,26.45,0.4835719,120.52458872054433
190,26.5,0.4378774,122.28700882986124
191,26.55,0.3928312,124.06411618081387
192,26.6,0.3669025,125.85596125183179
193,26.65,0.3670518,127.66259443319706
194,26.7,0.3786599,129.48406602704625
195,26.75,0.4038567,131.3204262473697
196,26.8,0.4458779,133.17172522000914
197,26.85,0.4788815,135.03801298266063
198,26.9,0.4963644,136.91933948487326
199,26.95,0.5146985,138.81575458805048
200,27,0.5488373,140.7273080654477
201,27.05,0.5962768,142.65404960217347
202,27.1,0.6362607,144.59602879519065
203,27.15,0.6843968,146.55329515331482
204,27.2,0.7461101,148.52589809721508
205,27.25,0.8076472,150.51388695941296
