Data File Name,Eukaryote Total RNA Nano_2020-10-21_17-37-08.xad
Data File Path,C:\Program Files (x86)\Agilent\2100 bioanalyzer\2100 expert\Data\2020-10-21
Date Created,"Thursday, October 22, 2020 12:37:07 AM"
Date Last Modified,"Thursday, October 22, 2020 1:13:55 AM"
Version Created,B.02.10.SI764
Version Last Modified,B.02.10.SI764
 
Assay Name,Eukaryote Total RNA Nano Series II
Assay Path,C:\Program Files (x86)\Agilent\2100 bioanalyzer\2100 expert\assays\RNA
Assay Title,Eukaryote Total RNA Nano
Assay Version,2.6
 
Number of Samples Run,12
 
Sample Name,RNA2_U_TP4
Number of Events,1060
 
Time,Value
17,-5.870438E-02
17.05,-5.870438E-02
17.1,-5.870438E-02
17.15,-5.870438E-02
17.2,-5.870438E-02
17.25,-5.870438E-02
17.3,-5.870438E-02
17.35,-5.870438E-02
17.4,-5.870438E-02
17.45,-5.870438E-02
17.5,-5.870438E-02
17.55,-5.870438E-02
17.6,-5.870438E-02
17.65,-5.870438E-02
17.7,-5.870438E-02
17.75,-5.870438E-02
17.8,-5.870438E-02
17.85,-5.870438E-02
17.9,-5.870438E-02
17.95,-5.870438E-02
18,-5.870438E-02
18.05,-5.980682E-02
18.1,-7.399459E-02
18.15,-6.780943E-02
18.2,-4.108276E-02
18.25,-2.963087E-02
18.3,-2.697122E-02
18.35,-2.880541E-02
18.4,-3.422334E-02
18.45,-4.329893E-02
18.5,-4.656219E-02
18.55,-3.462038E-02
18.6,-2.406693E-02
18.65,-3.857794E-02
18.7,-5.962287E-02
18.75,-5.395063E-02
18.8,-4.750951E-02
18.85,-4.724715E-02
18.9,-4.157639E-02
18.95,-3.006191E-02
19,-2.500704E-02
19.05,-3.192048E-02
19.1,-1.956007E-02
19.15,-1.802021E-03
19.2,5.639432E-03
19.25,9.841707E-03
19.3,1.690401E-02
19.35,1.926804E-02
19.4,1.139662E-02
19.45,1.457725E-03
19.5,1.856486E-03
19.55,1.088329E-02
19.6,1.743486E-02
19.65,2.903301E-02
19.7,0.0290095
19.75,1.667447E-02
19.8,1.207733E-02
19.85,1.169904E-02
19.9,-3.844367E-04
19.95,-9.638402E-04
20,-7.103814E-03
20.05,-9.079185E-03
20.1,-6.664276E-03
20.15,-3.83695E-03
20.2,3.745375E-03
20.25,5.950928E-03
20.3,2.119304E-03
20.35,2.874163E-03
20.4,1.346741E-03
20.45,-8.960088E-03
20.5,-1.648627E-02
20.55,-0.0313757
20.6,-5.661859E-02
20.65,-5.576367E-02
20.7,-5.304718E-02
20.75,-4.281171E-02
20.8,-4.286404E-02
20.85,-2.845319E-02
20.9,-2.728738E-02
20.95,-2.403826E-02
21,-1.894887E-02
21.05,2.280066E-03
21.1,3.000471E-02
21.15,0.0651256
21.2,9.071478E-02
21.25,0.0876965
21.3,6.782058E-02
21.35,4.723591E-02
21.4,3.829341E-02
21.45,1.912244E-02
21.5,2.796419E-02
21.55,4.579002E-02
21.6,4.342651E-02
21.65,2.638902E-02
21.7,2.697712E-02
21.75,2.846018E-02
21.8,4.010393E-02
21.85,5.946944E-02
21.9,6.893655E-02
21.95,0.078118
22,7.234277E-02
22.05,2.347329E-02
22.1,-8.188714E-02
22.15,1.163616E-02
22.2,0.9888077
22.25,3.632905
22.3,8.228781
22.35,14.10429
22.4,19.97263
22.45,24.49883
22.5,26.52868
22.55,25.95588
22.6,23.65224
22.65,20.55569
22.7,17.30492
22.75,14.14589
22.8,11.25397
22.85,8.744467
22.9,6.57985
22.95,4.794977
23,3.363862
23.05,2.229159
23.1,1.389206
23.15,0.7869387
23.2,0.4202559
23.25,0.2256641
23.3,0.1330587
23.35,7.083426E-02
23.4,5.746078E-02
23.45,3.583331E-02
23.5,4.565938E-02
23.55,1.407297E-02
23.6,5.01124E-03
23.65,5.692538E-03
23.7,1.042175E-02
23.75,1.365746E-02
23.8,2.092762E-02
23.85,3.057098E-02
23.9,4.571537E-02
23.95,5.847465E-02
24,6.325637E-02
24.05,7.647091E-02
24.1,8.183161E-02
24.15,8.337731E-02
24.2,6.844839E-02
24.25,0.0695345
24.3,7.641194E-02
24.35,8.301608E-02
24.4,0.0760738
24.45,9.534645E-02
24.5,8.910666E-02
24.55,9.739115E-02
24.6,9.135437E-02
24.65,8.552045E-02
24.7,0.0706571
24.75,5.294228E-02
24.8,3.817949E-02
24.85,1.967112E-02
24.9,5.739911E-03
24.95,1.516427E-02
25,5.084391E-02
25.05,5.809594E-02
25.1,0.055734
25.15,3.703695E-02
25.2,1.057816E-02
25.25,9.475708E-03
25.3,6.711845E-03
25.35,2.000872E-02
25.4,3.040795E-02
25.45,2.898576E-02
25.5,4.236857E-02
25.55,6.736438E-02
25.6,9.693485E-02
25.65,0.1330921
25.7,0.1448792
25.75,0.1291111
25.8,0.1183274
25.85,0.1056105
25.9,0.1046687
25.95,0.1279157
26,0.1423173
26.05,0.1685845
26.1,0.1618614
26.15,0.1554775
26.2,0.1480624
26.25,0.1310844
26.3,0.1194478
26.35,0.1211779
26.4,0.1277222
26.45,0.1442006
26.5,0.1508853
26.55,0.1460726
26.6,0.1288931
26.65,0.1063145
26.7,9.965006E-02
26.75,0.1090992
26.8,0.136842
26.85,0.1706198
26.9,0.1911021
26.95,0.1978412
27,0.2063942
27.05,0.2383748
27.1,0.2705816
27.15,0.2877548
27.2,0.2955916
27.25,0.3092895
27.3,0.3256588
27.35,0.3282763
27.4,0.3213125
27.45,0.3152161
27.5,0.3172068
27.55,0.3300414
27.6,0.3461787
27.65,0.3632354
27.7,0.3937713
27.75,0.4222043
27.8,0.431203
27.85,0.4366798
27.9,0.4481578
27.95,0.4371554
28,0.4223209
28.05,0.4200262
28.1,0.4277547
28.15,0.4421062
28.2,0.4437625
28.25,0.4330621
28.3,0.4255381
28.35,0.4165554
28.4,0.413549
28.45,0.4257791
28.5,0.4271078
28.55,0.4109379
28.6,0.4416087
28.65,0.5813622
28.7,0.8586714
28.75,1.314175
28.8,1.928642
28.85,2.67865
28.9,3.359758
28.95,3.900439
29,4.268262
29.05,4.457716
29.1,4.430956
29.15,4.241369
29.2,3.950319
29.25,3.612891
29.3,3.241088
29.35,2.849548
29.4,2.471599
29.45,2.116583
29.5,1.818387
29.55,1.552418
29.6,1.34067
29.65,1.174644
29.7,1.05024
29.75,0.9073372
29.8,0.77388
29.85,0.6686299
29.9,0.5964341
29.95,0.5395688
30,0.4933521
30.05,0.4888395
30.1,0.5203103
30.15,0.5769855
30.2,0.657352
30.25,0.7556024
30.3,0.8672612
30.35,0.9782074
30.4,1.057586
30.45,1.107765
30.5,1.137086
30.55,1.102102
30.6,1.038574
30.65,0.9333123
30.7,0.8443459
30.75,0.7611542
30.8,0.6754574
30.85,0.6015805
30.9,0.5413006
30.95,0.4986702
31,0.4829187
31.05,0.4915543
31.1,0.504859
31.15,0.5191671
31.2,0.5379626
31.25,0.5496958
31.3,0.565968
31.35,0.5801156
31.4,0.5768519
31.45,0.549987
31.5,0.5239039
31.55,0.4884012
31.6,0.4693553
31.65,0.4705797
31.7,0.4759513
31.75,0.4585309
31.8,0.4306119
31.85,0.4082981
31.9,0.397637
31.95,0.3901062
32,0.3721894
32.05,0.3570685
32.1,0.3529141
32.15,0.3463381
32.2,0.3674265
