Data File Name,Eukaryote Total RNA Nano_2020-10-22_11-04-04.xad
Data File Path,C:\Program Files (x86)\Agilent\2100 bioanalyzer\2100 expert\Data\2020-10-22
Date Created,"Thursday, October 22, 2020 6:04:04 PM"
Date Last Modified,"Thursday, October 22, 2020 6:29:25 PM"
Version Created,B.02.10.SI764
Version Last Modified,B.02.10.SI764
 
Assay Name,Eukaryote Total RNA Nano Series II
Assay Path,C:\Program Files (x86)\Agilent\2100 bioanalyzer\2100 expert\assays\RNA
Assay Title,Eukaryote Total RNA Nano
Assay Version,2.6
 
Number of Samples Run,10
 
Sample Name,Ladder
Number of Events,1060
 
Time,Value
17,-2.721024E-02
17.05,-2.721024E-02
17.1,-2.721024E-02
17.15,-4.076438E-02
17.2,-4.224037E-02
17.25,-3.873367E-02
17.3,-5.150523E-02
17.35,-7.525072E-02
17.4,-5.381503E-02
17.45,1.245303E-02
17.5,5.419159E-02
17.55,6.932013E-02
17.6,6.001608E-02
17.65,1.688515E-02
17.7,-5.551943E-02
17.75,-0.1233556
17.8,-0.1311338
17.85,-0.1053211
17.9,-9.710085E-02
17.95,-9.053866E-02
18,-0.0817688
18.05,-0.0732993
18.1,-5.733769E-02
18.15,-0.04225
18.2,-2.729739E-02
18.25,-9.454913E-03
18.3,-1.038932E-02
18.35,-1.942131E-02
18.4,-2.384657E-02
18.45,-2.533315E-02
18.5,-2.768409E-02
18.55,-3.761301E-02
18.6,-4.340346E-02
18.65,-5.012115E-02
18.7,-0.0692632
18.75,-8.242416E-02
18.8,-0.0768173
18.85,-5.373849E-02
18.9,-3.656998E-02
18.95,-4.075169E-02
19,-4.693885E-02
19.05,-4.169219E-02
19.1,-9.227204E-03
19.15,4.501088E-02
19.2,8.854218E-02
19.25,0.1042189
19.3,8.723227E-02
19.35,4.947799E-02
19.4,2.657864E-02
19.45,0.0315318
19.5,4.114227E-02
19.55,3.986108E-02
19.6,0.014869
19.65,-1.383265E-02
19.7,-3.494705E-02
19.75,-4.291653E-02
19.8,-3.538463E-02
19.85,-1.765661E-02
19.9,-2.480606E-02
19.95,-4.782934E-02
20,-6.810651E-02
20.05,-7.606896E-02
20.1,-6.750841E-02
20.15,-5.569149E-02
20.2,-5.145882E-02
20.25,-3.912659E-02
20.3,-4.020904E-02
20.35,-3.852851E-02
20.4,-0.0228268
20.45,8.385298E-03
20.5,2.609134E-02
20.55,2.704624E-02
20.6,0.0201635
20.65,2.176221E-02
20.7,6.098638E-04
20.75,-1.612663E-02
20.8,-1.440017E-02
20.85,-0.0125893
20.9,-2.584741E-02
20.95,-2.778267E-02
21,-7.562256E-03
21.05,1.893728E-02
21.1,0.0120755
21.15,2.198707E-02
21.2,2.880723E-02
21.25,1.609803E-02
21.3,-9.696689E-03
21.35,5.532385E-03
21.4,3.438086E-02
21.45,4.358261E-02
21.5,3.089883E-02
21.55,3.135967E-02
21.6,1.508265E-02
21.65,1.066554E-02
21.7,2.675875E-02
21.75,5.068245E-02
21.8,4.576511E-02
21.85,3.309498E-02
21.9,3.521476E-02
21.95,4.574053E-02
22,4.223019E-02
22.05,0.0161186
22.1,-4.431202E-02
22.15,-0.122765
22.2,0.058541
22.25,1.210491
22.3,3.800908
22.35,7.688946
22.4,11.9798
22.45,15.46795
22.5,17.27645
22.55,16.98386
22.6,15.1176
22.65,12.56319
22.7,9.92094
22.75,7.549921
22.8,5.526285
22.85,3.889178
22.9,2.641297
22.95,1.680485
23,1.033505
23.05,0.6294169
23.1,0.3812185
23.15,0.2325064
23.2,0.1582737
23.25,0.1327506
23.3,0.1326846
23.35,0.1501679
23.4,0.1717432
23.45,0.2242859
23.5,0.2597431
23.55,0.263618
23.6,0.3025047
23.65,0.3495443
23.7,0.3747432
23.75,0.3733952
23.8,0.3671462
23.85,0.3728985
23.9,0.3518704
23.95,0.336562
24,0.3521509
24.05,0.3595755
24.1,0.3580075
24.15,0.3458164
24.2,0.3405204
24.25,0.3474111
24.3,0.3392265
24.35,0.3493487
24.4,0.3458374
24.45,0.3469942
24.5,0.3465581
24.55,0.3336511
24.6,0.3178973
24.65,0.302949
24.7,0.2814323
24.75,0.2654982
24.8,0.2424595
24.85,0.2325598
24.9,0.2163825
24.95,0.2083478
25,0.2094575
25.05,0.2038162
25.1,0.2018009
25.15,0.1936116
25.2,0.1681981
25.25,0.1392661
25.3,0.1232005
25.35,0.1239718
25.4,0.125777
25.45,0.1308544
25.5,0.1448168
25.55,0.1539247
25.6,0.1434074
25.65,0.1269458
25.7,0.1226377
25.75,0.1328804
25.8,0.1543439
25.85,0.1754859
25.9,0.1919704
25.95,0.2061318
26,0.20071
26.05,0.1924754
26.1,0.1976662
26.15,0.1949688
26.2,0.1857485
26.25,0.1652768
26.3,0.1400299
26.35,0.1302058
26.4,0.1355251
26.45,0.1552377
26.5,0.1830439
26.55,0.209796
26.6,0.2349102
26.65,0.2487585
26.7,0.2508577
26.75,0.2579025
26.8,0.2659765
26.85,0.27794
26.9,0.2980016
26.95,0.3290534
27,0.3549191
27.05,0.3530163
27.1,0.3229628
27.15,0.3061478
27.2,0.3032023
27.25,0.3022634
27.3,0.2961974
27.35,0.283222
27.4,0.2578553
27.45,0.2199381
27.5,0.2104959
27.55,0.3045196
27.6,0.4273969
27.65,0.4747829
27.7,0.4567729
27.75,0.4067065
27.8,0.3324034
27.85,0.2708245
27.9,0.2586008
27.95,0.3131006
28,0.3767847
28.05,0.4332138
28.1,0.560832
28.15,0.7658975
28.2,1.040327
28.25,1.461823
28.3,2.11555
28.35,3.054177
28.4,4.372583
28.45,6.196272
28.5,8.792308
28.55,12.25178
