,Time,Value,Nucleotides
0,17,-3.306961E-02,66.85385733666226
1,17.05,-3.306961E-02,65.58818766933268
2,17.1,-3.306961E-02,64.3386082640584
3,17.15,-3.306961E-02,63.10511493516242
4,17.2,-3.306961E-02,61.88770358958368
5,17.25,-3.306961E-02,60.68637022687744
6,17.3,-2.508155E-02,59.50111093921646
7,17.35,4.805126E-04,58.33192191138937
8,17.4,1.621029E-02,57.178799420802534
9,17.45,1.663285E-02,56.04173983747751
10,17.5,2.137729E-02,54.92073962405357
11,17.55,1.663816E-02,53.81579533578588
12,17.6,0.0200186,52.726903620546636
13,17.65,1.519682E-02,51.654061218825746
14,17.7,1.450764E-02,50.59726496372741
15,17.75,1.970451E-02,49.55651178097469
16,17.8,2.921756E-02,48.53179868890561
17,17.85,3.248835E-02,47.523122798475924
18,17.9,6.784324E-02,46.53048131325795
19,17.95,7.041387E-02,45.553871529440585
20,18,7.247772E-02,44.59329083582861
21,18.05,6.998961E-02,43.6487367138443
22,18.1,6.028292E-02,42.72020673752627
23,18.15,6.437979E-02,41.80769857353016
24,18.2,0.0711454,40.91120998112751
25,18.25,5.059623E-02,40.03073881220712
26,18.3,0.0547332,39.16628301127412
27,18.35,4.370745E-02,38.31784061545068
28,18.4,4.562765E-02,37.48540975447531
29,18.45,3.243282E-02,36.668988650702886
30,18.5,2.887076E-03,35.86857561910551
31,18.55,-1.184981E-02,35.08416906727143
32,18.6,-3.701214E-02,34.315767495406135
33,18.65,-5.174152E-02,33.563369496331234
34,18.7,-4.004825E-02,32.826973755484914
35,18.75,-2.185379E-02,32.10657905092239
36,18.8,-5.914407E-03,31.402184253315454
37,18.85,-1.939658E-02,30.71378832595269
38,18.9,-1.110678E-02,30.041390324738586
39,18.95,1.299529E-02,29.38498939819533
40,19,2.085807E-02,28.744584787460553
41,19.05,2.484427E-02,28.120175826289824
42,19.1,3.010326E-02,27.511761941054147
43,19.15,1.780302E-02,26.919342650742465
44,19.2,-1.381955E-02,26.34291756695916
45,19.25,-3.896177E-02,25.782486393925865
46,19.3,-4.249115E-02,25.238048928480794
47,19.35,-0.032723,24.709605060078502
48,19.4,-2.856697E-02,24.19715477079103
49,19.45,-1.152479E-02,23.700698135306084
50,19.5,1.617445E-02,23.220235320928396
51,19.55,1.969039E-02,22.755766587579274
52,19.6,1.348934E-02,22.307292287796827
53,19.65,2.714657E-02,21.87481286673642
54,19.7,3.399906E-02,21.458328862168173
55,19.75,3.294416E-02,21.05784090448128
56,19.8,3.508458E-02,20.673349716679695
57,19.85,4.505409E-02,20.30485611438462
58,19.9,0.0528941,19.952361005834064
59,19.95,4.069252E-02,19.615865391882835
60,20,1.962253E-02,19.295370366001862
61,20.05,3.387937E-03,18.990877114279783
62,20.1,-1.094469E-02,18.702386915419766
63,20.15,-0.0244929,18.429901140743596
