Data File Name,Eukaryote Total RNA Nano_2020-10-21_17-37-08.xad
Data File Path,C:\Program Files (x86)\Agilent\2100 bioanalyzer\2100 expert\Data\2020-10-21
Date Created,"Thursday, October 22, 2020 12:37:07 AM"
Date Last Modified,"Thursday, October 22, 2020 1:13:55 AM"
Version Created,B.02.10.SI764
Version Last Modified,B.02.10.SI764
 
Assay Name,Eukaryote Total RNA Nano Series II
Assay Path,C:\Program Files (x86)\Agilent\2100 bioanalyzer\2100 expert\assays\RNA
Assay Title,Eukaryote Total RNA Nano
Assay Version,2.6
 
Number of Samples Run,12
 
Sample Name,Ladder
Number of Events,1060
 
Time,Value
17,-5.216217E-02
17.05,-5.216217E-02
17.1,-5.216217E-02
17.15,-5.216217E-02
17.2,-5.216217E-02
17.25,-5.216217E-02
17.3,-5.216217E-02
17.35,-5.216217E-02
17.4,-5.216217E-02
17.45,-5.216217E-02
17.5,-5.864195E-02
17.55,-6.721634E-02
17.6,-7.393257E-02
17.65,-8.785174E-02
17.7,-0.1037738
17.75,-9.093384E-02
17.8,-5.548319E-02
17.85,-3.057762E-02
17.9,-1.916596E-02
17.95,-2.444232E-02
18,-5.231984E-02
18.05,-8.191769E-02
18.1,-8.212849E-02
18.15,-4.239779E-02
18.2,-1.480742E-02
18.25,-8.365379E-03
18.3,-7.237187E-03
18.35,-6.125985E-03
18.4,-1.391802E-02
18.45,-1.436315E-02
18.5,1.291351E-02
18.55,1.069255E-02
18.6,-8.664774E-03
18.65,-0.0237315
18.7,-1.876389E-02
18.75,-5.390167E-03
18.8,-1.259683E-02
18.85,-3.671574E-02
18.9,-5.329766E-02
18.95,-9.286811E-02
19,-9.493562E-02
19.05,-8.977356E-02
19.1,-7.059799E-02
19.15,-6.788867E-02
19.2,-7.412671E-02
19.25,-7.450385E-02
19.3,-0.0604684
19.35,-4.144666E-02
19.4,-1.475704E-03
19.45,3.125091E-02
19.5,4.767447E-02
19.55,5.793295E-02
19.6,5.009762E-02
19.65,3.185084E-02
19.7,2.287633E-02
19.75,1.504353E-02
19.8,1.410173E-02
19.85,3.469087E-02
19.9,6.992298E-02
19.95,0.1065298
20,0.1220486
20.05,0.1341782
20.1,0.1478437
20.15,0.1209235
20.2,8.661366E-02
20.25,7.325904E-02
20.3,6.706457E-02
20.35,5.751865E-02
20.4,7.277453E-02
20.45,0.0876568
20.5,8.617307E-02
20.55,8.298529E-02
20.6,0.102956
20.65,0.102763
20.7,8.078372E-02
20.75,5.038532E-02
20.8,1.944438E-02
20.85,-7.227591E-03
20.9,-2.337658E-02
20.95,6.19735E-03
21,3.951977E-02
21.05,7.144517E-02
21.1,9.395724E-02
21.15,0.1069848
21.2,0.1005414
21.25,0.0787929
21.3,6.114344E-02
21.35,6.282368E-02
21.4,7.016274E-02
21.45,9.673317E-02
21.5,0.1212015
21.55,0.1222963
21.6,9.865103E-02
21.65,6.387612E-02
21.7,4.799783E-02
21.75,4.402778E-02
21.8,4.639942E-02
21.85,7.588272E-02
21.9,0.1135199
21.95,0.129685
22,0.135641
22.05,0.1184832
22.1,5.691201E-02
22.15,0.2184947
22.2,1.445417
22.25,4.588417
22.3,9.712321
22.35,15.8179
22.4,21.28344
22.45,24.69452
22.5,25.29422
22.55,23.31484
22.6,19.99189
22.65,16.35284
22.7,12.91893
22.75,9.882537
22.8,7.295891
22.85,5.226058
22.9,3.631227
22.95,2.437432
23,1.603155
23.05,1.056451
23.1,0.7136302
23.15,0.5170106
23.2,0.4150605
23.25,0.3790742
23.3,0.3601129
23.35,0.3391168
23.4,0.3443852
23.45,0.3623483
23.5,0.3690681
23.55,0.380849
23.6,0.4010982
23.65,0.429039
23.7,0.4538928
23.75,0.4542387
23.8,0.4695591
23.85,0.476508
23.9,0.4554931
23.95,0.4480446
24,0.4343111
24.05,0.4200236
24.1,0.3991494
24.15,0.3605788
24.2,0.3665821
24.25,0.38495
24.3,0.4135267
24.35,0.4091858
24.4,0.4096313
24.45,0.3919785
24.5,0.3627675
24.55,0.3415654
24.6,0.350841
24.65,0.3483906
24.7,0.3275295
24.75,0.2757356
24.8,0.2615042
24.85,0.2446116
24.9,0.2358665
24.95,0.2261244
25,0.2215017
25.05,0.2104506
25.1,0.2021559
25.15,0.2049051
25.2,0.2239004
25.25,0.2407808
25.3,0.2504264
25.35,0.2489538
25.4,0.2493112
25.45,0.2772179
25.5,0.314388
25.55,0.3373987
25.6,0.3446412
25.65,0.3459038
25.7,0.3460771
25.75,0.3489233
25.8,0.3527697
25.85,0.3838203
25.9,0.3945763
25.95,0.4076857
26,0.4160398
26.05,0.4184293
26.1,0.4103999
26.15,0.410646
26.2,0.4018748
26.25,0.4021645
26.3,0.3751608
26.35,0.3858644
26.4,0.4045511
26.45,0.4237351
26.5,0.4409174
26.55,0.4476784
26.6,0.4523159
26.65,0.4427911
26.7,0.4159147
26.75,0.4042333
26.8,0.3976614
26.85,0.3904785
26.9,0.3793692
26.95,0.3677267
27,0.3540864
27.05,0.3380177
27.1,0.3289119
27.15,0.3279086
27.2,0.3236759
27.25,0.3151724
27.3,0.3096769
27.35,0.3034905
27.4,0.2883858
27.45,0.2755835
27.5,0.2736246
27.55,0.2618085
27.6,0.2534813
27.65,0.259293
27.7,0.2655524
27.75,0.2697036
27.8,0.2784368
27.85,0.3095773
27.9,0.3238518
27.95,0.3641228
28,0.4336297
28.05,0.5722427
28.1,0.7610868
28.15,1.035553
28.2,1.487441
28.25,2.206386
28.3,3.325698
28.35,4.981612
28.4,7.313909
28.45,10.79919
28.5,15.34713
28.55,20.28769
28.6,24.35964
28.65,26.26435
28.7,25.3183
28.75,21.81017
28.8,16.9282
28.85,12.11
28.9,8.237973
28.95,5.613751
29,4.02306
29.05,3.071324
29.1,2.478683
29.15,2.11184
29.2,1.903819
29.25,1.770278
29.3,1.656895
29.35,1.543891
29.4,1.41988
29.45,1.259039
29.5,1.099551
29.55,0.9360822
29.6,0.8066106
29.65,0.7165807
29.7,0.652689
29.75,0.60366
29.8,0.5438882
29.85,0.4921624
29.9,0.4668404
29.95,0.4206559
30,0.2345047
30.05,0.8583448
30.1,1.201286
30.15,1.32028
30.2,1.221858
30.25,0.9819508
30.3,0.6522354
30.35,0.3511338
30.4,0.2624428
30.45,0.4736902
30.5,0.4398734
30.55,0.4175151
30.6,0.4224637
30.65,0.4040299
30.7,0.3885022
30.75,0.3773347
30.8,0.3741615
30.85,0.3736795
30.9,0.3918537
30.95,0.4131415
31,0.4253419
31.05,0.4310005
31.1,0.4294095
31.15,0.436837
31.2,0.4342181
31.25,0.4217823
31.3,0.4215438
31.35,0.4486515
31.4,0.4759805
31.45,0.4974788
31.5,0.5258622
31.55,0.5630345
31.6,0.5647129
31.65,0.5731949
31.7,0.5867938
31.75,0.5898109
31.8,0.5781191
31.85,0.5976377
31.9,0.6436326
31.95,0.6686065
32,0.6879241
32.05,0.7200239
32.1,0.7554349
32.15,0.8181449
32.2,0.9295965
32.25,1.110845
32.3,1.475736
32.35,2.114468
32.4,3.110643
32.45,4.555456
32.5,6.770522
32.55,10.60294
32.6,16.79922
32.65,24.78479
32.7,32.6727
32.75,38.2113
32.8,39.78935
32.85,37.2015
32.9,31.70204
32.95,25.33865
33,19.85581
33.05,15.82201
