Data File Name,Eukaryote Total RNA Nano_2020-10-21_17-37-08.xad
Data File Path,C:\Program Files (x86)\Agilent\2100 bioanalyzer\2100 expert\Data\2020-10-21
Date Created,"Thursday, October 22, 2020 12:37:07 AM"
Date Last Modified,"Thursday, October 22, 2020 1:13:55 AM"
Version Created,B.02.10.SI764
Version Last Modified,B.02.10.SI764
 
Assay Name,Eukaryote Total RNA Nano Series II
Assay Path,C:\Program Files (x86)\Agilent\2100 bioanalyzer\2100 expert\assays\RNA
Assay Title,Eukaryote Total RNA Nano
Assay Version,2.6
 
Number of Samples Run,12
 
Sample Name,RNA1_U_TP4
Number of Events,1060
 
Time,Value
17,-0.1975937
17.05,-0.1975937
17.1,-0.1975937
17.15,-0.1975937
17.2,-0.1975937
17.25,-0.1975937
17.3,-0.1975937
17.35,-0.1975937
17.4,-0.1975937
17.45,-0.1975937
17.5,-0.2108641
17.55,-0.2055601
17.6,-0.1769659
17.65,-0.1682343
17.7,-0.169365
17.75,-0.1731204
17.8,-0.1830798
17.85,-0.1892751
17.9,-0.1951975
17.95,-0.1933751
18,-0.1703644
18.05,-0.1680087
18.1,-0.1514996
18.15,-0.1229633
18.2,-8.676484E-02
18.25,-8.318587E-02
18.3,-7.869703E-02
18.35,-6.674492E-02
18.4,-4.061104E-02
18.45,-2.627556E-02
18.5,0.0134846
18.55,3.805484E-02
18.6,3.726476E-02
18.65,2.697125E-02
18.7,1.246424E-05
18.75,-4.412592E-02
18.8,-8.230654E-02
18.85,-9.488048E-02
18.9,-9.742691E-02
18.95,-0.106351
19,-0.1190616
19.05,-0.1168256
19.1,-0.1098707
19.15,-8.695751E-02
19.2,-6.701995E-02
19.25,-5.819067E-02
19.3,-6.149622E-02
19.35,-7.887737E-02
19.4,-0.1021362
19.45,-0.1058607
19.5,-3.894865E-02
19.55,0.1135042
19.6,0.2776928
19.65,0.3548264
19.7,0.3130247
19.75,0.1824806
19.8,0.0184832
19.85,-0.0836399
19.9,-9.884312E-02
19.95,-6.014286E-02
20,-3.710453E-02
20.05,-5.582419E-02
20.1,-8.657996E-02
20.15,-0.0954634
20.2,-0.1022267
20.25,-7.914886E-02
20.3,-8.147798E-02
20.35,-8.400999E-02
20.4,-9.667615E-02
20.45,-0.1075632
20.5,-0.1109907
20.55,-8.087341E-02
20.6,-4.927626E-02
20.65,-4.034266E-02
20.7,-4.445292E-02
20.75,-7.063354E-02
20.8,-0.1089833
20.85,-0.1288693
20.9,-0.1347104
20.95,-0.1342081
21,-0.1438414
21.05,-0.1525725
21.1,-0.1596202
21.15,-0.1727959
21.2,-0.1763304
21.25,-0.175877
21.3,-0.1793581
21.35,-0.1821174
21.4,-0.1705903
21.45,-0.151694
21.5,-0.1462277
21.55,-0.1482595
21.6,-0.1436227
21.65,-0.1342988
21.7,-0.1275424
21.75,-0.1298112
21.8,-0.1464566
21.85,-0.1808542
21.9,-0.2163216
21.95,-0.2355303
22,-0.2253104
22.05,-0.238262
22.1,-0.2865783
22.15,-0.1112245
22.2,1.194789
22.25,4.422028
22.3,9.598946
22.35,15.81109
22.4,21.46399
22.45,25.11424
22.5,25.94918
22.55,24.25838
22.6,21.33855
22.65,17.98912
22.7,14.71576
22.75,11.71589
22.8,8.986052
22.85,6.677103
22.9,4.75862
22.95,3.255256
23,2.143078
23.05,1.309104
23.1,0.7175173
23.15,0.323893
23.2,8.656396E-02
23.25,-2.192677E-02
23.3,-0.0682428
23.35,-8.713578E-02
23.4,-8.883122E-02
23.45,-9.711761E-02
23.5,-0.1099952
23.55,-0.1232384
23.6,-0.1326064
23.65,-0.1177894
23.7,-8.579171E-02
23.75,-6.194848E-02
23.8,-5.785424E-02
23.85,-0.0710887
23.9,-8.181453E-02
23.95,-0.0786211
24,-7.399317E-02
24.05,-7.214884E-02
24.1,-6.843939E-02
24.15,-6.593093E-02
24.2,-7.310895E-02
24.25,-7.153572E-02
24.3,-5.290188E-02
24.35,-4.007504E-02
24.4,-3.229452E-02
24.45,-3.607336E-02
24.5,-4.560657E-02
24.55,-6.243858E-02
24.6,-7.311089E-02
24.65,-7.391639E-02
24.7,-8.111349E-02
24.75,-7.367589E-02
24.8,-0.0672837
24.85,-8.361823E-02
24.9,-9.552114E-02
24.95,-0.1043637
25,-9.689139E-02
25.05,-0.1142999
25.1,-0.1167014
25.15,-0.1150092
25.2,-0.1285175
25.25,-0.1408771
25.3,-0.1324077
25.35,-0.1255547
25.4,-0.1125365
25.45,-8.969536E-02
25.5,-4.890255E-02
25.55,-1.195081E-02
25.6,9.679404E-03
25.65,0.028566
25.7,0.02746
25.75,3.598707E-03
25.8,-1.506402E-02
25.85,-2.030284E-02
25.9,-2.562299E-02
25.95,-2.490367E-02
26,-0.0263053
26.05,-3.909896E-02
26.1,-5.979918E-02
26.15,-0.0601735
26.2,-3.521963E-02
26.25,-1.422335E-02
26.3,-4.811716E-04
26.35,1.417938E-02
26.4,1.867568E-02
26.45,2.549059E-02
26.5,3.085276E-02
26.55,4.699483E-02
26.6,3.459456E-02
26.65,1.961696E-02
26.7,2.105836E-03
26.75,2.420486E-02
26.8,4.729742E-02
26.85,6.542006E-02
26.9,5.856128E-02
26.95,6.378114E-02
27,6.384123E-02
27.05,9.293684E-02
27.1,0.1397822
27.15,0.2017114
27.2,0.2305517
27.25,0.2306957
27.3,0.2137305
27.35,0.1889564
27.4,0.1618772
27.45,0.17567
27.5,0.2121671
27.55,0.2547282
27.6,0.2945229
27.65,0.3136415
27.7,0.3082011
27.75,0.2937509
27.8,0.2884825
27.85,0.2802141
27.9,0.2559111
27.95,0.2236988
28,0.2076318
28.05,0.1916436
28.1,0.1946209
28.15,0.2119319
28.2,0.2494458
28.25,0.2701708
28.3,0.3204631
28.35,0.3703099
28.4,0.3914637
28.45,0.4331884
28.5,0.4698823
28.55,0.5000626
28.6,0.5532014
28.65,0.6641703
28.7,0.8693515
28.75,1.206745
28.8,1.715088
28.85,2.393191
28.9,3.110279
28.95,3.790557
29,4.381343
29.05,4.832601
29.1,5.046779
29.15,5.045958
29.2,4.82131
29.25,4.444789
29.3,3.966144
29.35,3.464162
29.4,3.012104
29.45,2.617798
29.5,2.253887
29.55,1.94724
29.6,1.704513
29.65,1.526613
29.7,1.393862
29.75,1.276504
29.8,1.185216
29.85,1.106914
29.9,1.01824
29.95,0.9233276
30,0.8251788
30.05,0.7312263
30.1,0.6532828
30.15,0.5939317
30.2,0.5666919
30.25,0.5690609
30.3,0.5755751
30.35,0.5810395
30.4,0.5613244
30.45,0.5589836
30.5,0.5791398
30.55,0.5920479
30.6,0.6180968
30.65,0.6164478
30.7,0.6258224
30.75,0.6125075
30.8,0.5904611
30.85,0.5847513
30.9,0.5735592
30.95,0.5410065
31,0.5204727
31.05,0.5009147
31.1,0.5091785
31.15,0.5008402
31.2,0.5096323
31.25,0.5210035
31.3,0.5343372
31.35,0.5702167
31.4,0.6146328
31.45,0.6689605
31.5,0.7068377
31.55,0.727299
31.6,0.7576041
31.65,0.7748999
31.7,0.7777762
31.75,0.789503
31.8,0.8003903
31.85,0.8196931
31.9,0.8447364
31.95,0.852914
32,0.872119
32.05,0.9047776
32.1,0.9298814
32.15,0.9515628
32.2,0.9886541
32.25,1.036433
32.3,1.093498
