,Time,Value,Nucleotides
0,17,-4.526138E-02,7.981799482870096
1,17.05,-4.526138E-02,7.698974638126303
2,17.1,-4.526138E-02,7.421907183262173
3,17.15,-3.678447E-02,7.1506549067277305
4,17.2,-2.783897E-02,6.885275522084078
5,17.25,-2.649279E-02,6.625826668002917
6,17.3,-3.087957E-02,6.372365908267515
7,17.35,-3.350292E-02,6.124950731771977
8,17.4,-3.117065E-02,5.883638552521741
9,17.45,-3.179647E-02,5.64848670963307
10,17.5,-3.448148E-02,5.419552467333192
11,17.55,-3.711775E-02,5.196893014961036
12,17.6,-4.349551E-02,4.980565466965743
13,17.65,-4.665487E-02,4.77062686290828
14,17.7,-5.541302E-02,4.567134167460448
15,17.75,-6.054066E-02,4.3701442704048805
16,17.8,-0.0478864,4.179713986635667
17,17.85,-4.734812E-02,3.995900056157602
18,17.9,-5.402632E-02,3.8187591440870694
19,17.95,-0.0541189,3.648347840650896
20,18,-0.0489023,3.484722661187627
21,18.05,-4.042353E-02,3.3279400461465123
22,18.1,-4.076105E-02,3.178056361087748
23,18.15,-4.310273E-02,3.0351278966831323
24,18.2,-4.746808E-02,2.899210868715153
25,18.25,-6.277034E-02,2.7703614180773837
26,18.3,-6.612773E-02,2.6486356107746065
27,18.35,-6.223142E-02,2.534089437922555
28,18.4,-5.843315E-02,2.4267788157483103
29,18.45,-5.243413E-02,2.326759585589766
30,18.5,-3.766019E-02,2.2340875138959024
31,18.55,-8.349643E-03,2.148818292227043
32,18.6,0.0134616,2.0710075372541983
33,18.65,1.708261E-02,2.0007107907599906
34,18.7,1.718532E-02,1.9379835196374575
35,18.75,1.259749E-02,1.8828811158912497
36,18.8,1.752591E-03,1.83545889663697
37,18.85,-1.105382E-02,1.795772104101168
38,18.9,-1.271557E-02,1.7638759056217452
39,18.95,-1.436573E-02,1.7398253936471413
40,19,-1.405856E-02,1.7236755857374195
41,19.05,-1.654684E-02,1.715481424563725
42,19.1,-1.443342E-02,1.7152977779078817
43,19.15,-1.982854E-02,1.7231794386632
44,19.2,-2.031497E-02,1.7391811248335216
45,19.25,-1.862667E-02,1.7633574795345979
46,19.3,-7.371409E-03,1.795763070992436
47,19.35,2.706938E-03,1.8364523925448122
48,19.4,1.880429E-02,1.8854798626400342
49,19.45,0.0256861,1.9428998248376281
50,19.5,0.0247849,2.0087665478086176
51,19.55,1.348662E-02,2.083134225334554
52,19.6,5.389564E-03,2.1660569763083455
53,19.65,-0.0104072,2.257588844734128
54,19.7,-3.042097E-02,2.3577837997264126
55,19.75,-4.828322E-02,2.466695735511914
56,19.8,-4.455399E-02,2.5843784714274527
57,19.85,-4.095182E-02,2.7108857519214844
58,19.9,-2.659922E-02,2.846271246553135
59,19.95,-1.348122E-02,2.990588549993161
60,20,-1.98281E-03,3.143891182022708
61,20.05,-2.125111E-03,3.306232587534561
62,20.1,-5.383433E-03,3.4776661365324504
63,20.15,3.092488E-03,3.658245124131188
64,20.2,3.043771E-02,3.8480227705565184
65,20.25,5.050641E-02,4.047052221145131
66,20.3,6.936391E-02,4.255386546345367
67,20.35,6.413848E-02,4.473078741716366
68,20.4,0.0455834,4.700181727927914
69,20.45,1.696301E-02,4.936748350761597
70,20.5,-1.739934E-02,5.182831381109802
71,20.55,-3.308746E-02,5.43848351497541
72,20.6,-3.267008E-02,5.703757373473697
73,20.65,-2.809323E-02,5.978705502829561
