Data File Name,Eukaryote Total RNA Nano_2020-10-21_17-42-16.xad
Data File Path,C:\Program Files (x86)\Agilent\2100 bioanalyzer\2100 expert\Data\2020-10-21
Date Created,"Thursday, October 22, 2020 12:42:15 AM"
Date Last Modified,"Thursday, October 22, 2020 1:14:47 AM"
Version Created,B.02.10.SI764
Version Last Modified,B.02.10.SI764
 
Assay Name,Eukaryote Total RNA Nano Series II
Assay Path,C:\Program Files (x86)\Agilent\2100 bioanalyzer\2100 expert\assays\RNA
Assay Title,Eukaryote Total RNA Nano
Assay Version,2.6
 
Number of Samples Run,12
 
Sample Name,RNA2_U_TP5
Number of Events,1060
 
Time,Value
17,-4.886627E-02
17.05,-4.886627E-02
17.1,-4.886627E-02
17.15,-4.886627E-02
17.2,-4.886627E-02
17.25,-4.886627E-02
17.3,-5.061245E-02
17.35,-5.362269E-02
17.4,-5.053339E-02
17.45,-4.154135E-02
17.5,-3.978308E-02
17.55,-4.557707E-02
17.6,-4.272335E-02
17.65,-0.0331009
17.7,-2.637446E-02
17.75,-0.0218594
17.8,-2.090657E-02
17.85,-2.717148E-02
17.9,-3.677487E-02
17.95,-0.0354818
18,-1.466394E-02
18.05,1.745109E-02
18.1,4.430712E-02
18.15,0.0511121
18.2,5.083783E-02
18.25,0.0733618
18.3,0.1068758
18.35,0.1593869
18.4,0.2053066
18.45,0.2203669
18.5,0.1856622
18.55,0.1472717
18.6,0.1101063
18.65,8.748402E-02
18.7,7.757124E-02
18.75,7.751023E-02
18.8,6.960769E-02
18.85,4.669741E-02
18.9,2.465094E-02
18.95,3.595252E-02
19,2.925332E-02
19.05,5.115413E-03
19.1,2.271656E-03
19.15,-1.346914E-02
19.2,-3.286227E-02
19.25,-3.951931E-02
19.3,-1.680006E-02
19.35,9.06928E-04
19.4,-1.138939E-02
19.45,-1.406773E-02
19.5,-1.213202E-03
19.55,-2.477182E-02
19.6,-4.200273E-02
19.65,-2.352448E-02
19.7,-1.547513E-03
19.75,-4.877142E-03
19.8,7.184449E-03
19.85,2.708921E-02
19.9,2.137555E-02
19.95,6.729544E-03
20,3.954136E-03
20.05,6.975677E-03
20.1,-6.515156E-03
20.15,-1.639316E-02
20.2,1.191054E-03
20.25,2.840125E-02
20.3,6.082353E-02
20.35,8.519819E-02
20.4,9.177266E-02
20.45,8.481814E-02
20.5,5.653158E-02
20.55,1.780688E-02
20.6,-0.0251692
20.65,-6.446353E-02
20.7,-7.850965E-02
20.75,-8.570535E-02
20.8,-0.0943096
20.85,-0.0786375
20.9,-5.290162E-02
20.95,-4.423676E-02
21,-4.103533E-02
21.05,-3.793045E-02
21.1,-3.714284E-02
21.15,-4.437323E-02
21.2,-5.515554E-02
21.25,-3.553692E-02
21.3,-3.954857E-03
21.35,1.130988E-02
21.4,8.651649E-03
21.45,-3.939473E-03
21.5,-1.467758E-02
21.55,-7.696242E-03
21.6,3.435437E-03
21.65,2.114286E-02
21.7,3.438208E-02
21.75,0.0242255
21.8,-4.969724E-03
21.85,-2.556783E-02
21.9,-4.195278E-02
21.95,-6.288914E-02
22,-8.350272E-02
22.05,-0.1062295
22.1,-0.1409645
22.15,-0.2077066
22.2,1.322749E-02
22.25,1.439894
22.3,4.842791
22.35,9.920968
22.4,15.50081
22.45,20.13532
22.5,22.54724
22.55,22.28279
22.6,20.01936
22.65,16.93728
22.7,13.86739
22.75,11.05591
22.8,8.611001
22.85,6.562791
22.9,4.813299
22.95,3.387109
23,2.281214
23.05,1.454875
23.1,0.9149898
23.15,0.5513527
23.2,0.327208
23.25,0.2153479
23.3,0.1464071
23.35,0.1131374
23.4,9.633471E-02
23.45,0.0585287
23.5,4.358488E-02
23.55,3.859742E-02
23.6,3.534036E-02
23.65,3.865663E-02
23.7,3.368149E-02
23.75,3.225555E-02
23.8,2.659495E-02
23.85,1.583238E-02
23.9,1.327702E-03
23.95,-1.310982E-02
24,-3.379349E-02
24.05,-4.992039E-02
24.1,-5.988758E-02
24.15,-6.237431E-02
24.2,-0.0442813
24.25,-1.984526E-02
24.3,-4.483713E-03
24.35,1.179911E-02
24.4,3.598097E-02
24.45,4.487037E-02
24.5,0.0422416
24.55,0.0488168
24.6,5.972716E-02
24.65,5.837809E-02
24.7,3.567845E-02
24.75,0.0174915
24.8,2.243644E-03
24.85,5.548751E-03
24.9,1.775454E-02
24.95,5.128245E-02
25,6.855758E-02
25.05,7.288619E-02
25.1,6.619548E-02
25.15,6.009309E-02
25.2,5.428615E-02
25.25,0.061391
25.3,4.550644E-02
25.35,2.122127E-02
25.4,1.170763E-02
25.45,9.504437E-03
25.5,0.0123349
25.55,1.807939E-02
25.6,3.754015E-02
25.65,5.340651E-02
25.7,6.083327E-02
25.75,8.123629E-02
25.8,9.109779E-02
25.85,0.1063707
25.9,0.1002577
25.95,0.104335
26,0.1196386
26.05,0.1270656
26.1,0.1347273
26.15,0.1509581
26.2,0.159054
26.25,0.1770274
26.3,0.1784859
26.35,0.1862286
26.4,0.1783081
26.45,0.1729572
26.5,0.1610265
26.55,0.1595721
26.6,0.1602809
26.65,0.162767
26.7,0.1721347
26.75,0.1859116
26.8,0.1791644
26.85,0.164402
26.9,0.1544908
26.95,0.1506718
27,0.1577543
27.05,0.1756772
27.1,0.1970803
27.15,0.2078353
27.2,0.2003929
27.25,0.1962804
27.3,0.2035449
27.35,0.2039873
27.4,0.204665
27.45,0.2083751
27.5,0.202698
27.55,0.1930715
27.6,0.1833235
27.65,0.1872333
27.7,0.2078168
27.75,0.2240874
27.8,0.2366419
27.85,0.2407788
27.9,0.2352496
27.95,0.2200676
28,0.2166165
28.05,0.2206728
28.1,0.2424464
28.15,0.2488462
28.2,0.2644639
28.25,0.282463
28.3,0.3064697
28.35,0.308455
28.4,0.3049696
28.45,0.2759838
28.5,0.2546335
28.55,0.236545
28.6,0.2572798
28.65,0.2766795
28.7,0.3232193
28.75,0.4335386
28.8,0.6680114
28.85,1.034975
28.9,1.562201
28.95,2.170518
29,2.780602
29.05,3.28742
29.1,3.637963
29.15,3.755177
29.2,3.685258
29.25,3.452009
29.3,3.126059
29.35,2.745453
29.4,2.385227
29.45,2.0737
29.5,1.81621
29.55,1.56676
29.6,1.360402
29.65,1.181253
29.7,1.02152
29.75,0.8767047
29.8,0.7691828
29.85,0.6999918
29.9,0.6301543
29.95,0.5433903
30,0.4711256
30.05,0.4310709
30.1,0.4082097
30.15,0.3937949
30.2,0.3999297
30.25,0.4215891
30.3,0.4399538
30.35,0.4709541
30.4,0.5232384
30.45,0.580238
30.5,0.6255862
30.55,0.6540383
30.6,0.6808547
30.65,0.6797453
30.7,0.6502694
30.75,0.6274278
30.8,0.5804731
30.85,0.5065944
30.9,0.4347824
30.95,0.3682972
31,0.2958436
31.05,0.2245782
31.1,0.1635129
31.15,0.1285679
31.2,9.405633E-02
31.25,8.404181E-02
31.3,0.1021042
31.35,0.1223552
31.4,0.1371636
31.45,0.1570688
31.5,0.1805866
31.55,0.1964371
31.6,0.219632
31.65,0.2125191
31.7,0.1852803
31.75,0.152417
31.8,0.1310039
31.85,0.1089133
31.9,0.109182
31.95,0.102147
32,0.1072585
32.05,9.192929E-02
32.1,8.415884E-02
32.15,0.1202444
32.2,0.1415526
32.25,0.1584609
32.3,0.1842467
32.35,0.2254328
32.4,0.3003718
32.45,0.3643191
32.5,0.4110008
32.55,0.426597
32.6,0.3877957
32.65,0.3272838
32.7,0.275048
32.75,0.2388568
32.8,0.2112508
32.85,0.2193911
32.9,0.2599752
32.95,0.3126989
33,0.3493397
33.05,0.3894316
33.1,0.4218602
33.15,0.4261864
33.2,0.4291101
33.25,0.4337708
33.3,0.4248414
33.35,0.4067768
33.4,0.3957436
33.45,0.3950894
