,,kdeg,kdeg_err
C3_-423.7 kCal_SINV_URE,natural,1.483534133,0.224386294
C3_Curevac_2_SINV_URE,natural,1.024728018,0.046029726
C3_LinearDesign-1_SINV_URE,PSU,0.30972327,0.118737194
C3_LinearDesign-1_SINV_URE,natural,0.532460614,0.098504346
C3_Nluc_start_SINV_URE,PSU,0.777383182,0.100165147
C3_Nluc_start_SINV_URE,natural,2.317919014,0.36415586
C3_Yellowstone_SINV_URE,natural,1.203063039,0.069318936
CoV-2-TTG-TTGfull-dSL1-3_LinearDesign-1_DEN2,PSU,0.788443533,0.080648171
CoV-2-TTG-TTGfull-dSL1-3_LinearDesign-1_DEN2,natural,1.075209598,0.110739893
CoV-2-TTG-TTGfull-dSL1-3_LocalDesign_DEN2,natural,1.615384244,0.189506103
CoV-2-TTG-TTGfull-dSL1-3_Nluc_start_DEN2,PSU,1.585837083,0.286201792
hHBB_-423.7 kCal_hHBB,natural,1.045254115,0.14019449
hHBB_Curevac_2_hHBB,natural,1.294583746,0.268112103
hHBB_LinearDesign-1_hHBB,PSU,0.133294446,0.113467917
hHBB_LinearDesign-1_hHBB,natural,0.325024401,0.074800018
hHBB_LocalDesign_hHBB,natural,0.854805642,0.06646196
hHBB_Nluc-start_hHBB,PSU,1.032806378,0.16976379
hHBB_Nluc-start_hHBB,natural,1.925843245,0.347687359
hHBB_Yellowstone_hHBB,natural,1.820606541,0.389993425
