,Time,Value,Nucleotides
0,17,-2.098338E-02,-101.54078124938405
1,17.05,-2.841123E-02,-99.97449507106103
2,17.1,-1.778641E-02,-98.42112620147645
3,17.15,-5.50576E-03,-96.88053225394106
4,17.2,-6.205241E-05,-95.35257093631208
5,17.25,-1.060975E-02,-93.83710005099556
6,17.3,-1.318896E-02,-92.33397749494043
7,17.35,-1.131483E-02,-90.84306125964531
8,17.4,-5.076104E-03,-89.36420943115445
9,17.45,1.717479E-02,-87.8972801900577
10,17.5,2.605989E-02,-86.44213181149325
11,17.55,1.726156E-02,-84.99862266514356
12,17.6,1.419017E-02,-83.56661121524121
13,17.65,8.526428E-03,-82.14595602056124
14,17.7,4.868062E-03,-80.73651573442885
15,17.75,3.238234E-03,-79.33814910471301
16,17.8,6.269842E-03,-77.95071497383105
17,17.85,0.0155051,-76.57407227874683
18,17.9,1.643924E-02,-75.20808005096933
19,17.95,2.280646E-02,-73.85259741655682
20,18,-1.502991E-03,-72.50748359611089
21,18.05,-1.337221E-03,-71.17259790478147
22,18.1,-1.970545E-02,-69.84779975226502
23,18.15,-2.303508E-02,-68.53294864280588
24,18.2,-1.464123E-02,-67.22790417519172
25,18.25,-1.270524E-04,-65.93252604275995
26,18.3,1.782554E-02,-64.64667403339263
27,18.35,0.0389308,-63.370208029518835
28,18.4,5.856438E-02,-62.10298800811552
29,18.45,0.0668541,-60.844874040704326
30,18.5,8.143015E-02,-59.595726293354346
31,18.55,7.582369E-02,-58.35540502668164
32,18.6,6.696498E-02,-57.12377059584878
33,18.65,5.131856E-02,-55.90068345056443
34,18.7,4.626134E-02,-54.68600413508284
35,18.75,5.232487E-02,-53.47959328820707
36,18.8,6.938735E-02,-52.281311643286244
37,18.85,0.0968772,-51.09102002821555
38,18.9,0.103656,-49.9085793654358
39,18.95,9.619573E-02,-48.733850671936125
40,19,8.056401E-02,-47.56669505925083
41,19.05,5.540545E-02,-46.40697373346302
42,19.1,3.347985E-02,-45.254547995198664
43,19.15,1.876012E-02,-44.10927923963436
44,19.2,3.647148E-02,-42.971028956490954
45,19.25,2.483071E-02,-41.83965873003626
46,19.3,3.164548E-02,-40.715030239084626
47,19.35,5.083084E-02,-39.59700525699736
48,19.4,8.349749E-02,-38.48544565168231
49,19.45,0.1088874,-37.38021338559474
50,19.5,0.1168466,-36.28117051573372
51,19.55,0.1115137,-35.1881791936471
52,19.6,8.945811E-02,-34.10110166543109
53,19.65,0.0857338,-33.0198002717234
54,19.7,6.501608E-02,-31.94413744771282
55,19.75,5.800078E-02,-30.873975723132844
56,19.8,6.102227E-02,-29.80917772226394
57,19.85,6.592153E-02,-28.74960616393446
58,19.9,8.903258E-02,-27.69512386151655
59,19.95,0.1043711,-26.6455937229307
60,20,0.1094814,-25.600878750643915
61,20.05,0.0958139,-24.56084204166882
62,20.1,8.856048E-02,-23.525346787566377
63,20.15,8.086495E-02,-22.494256274443615
64,20.2,7.394316E-02,-21.46743388295181
65,20.25,7.562637E-02,-20.444743088293308
66,20.3,9.359326E-02,-19.42604746021243
67,20.35,0.1249079,-18.411210663003203
68,20.4,0.1739122,-17.400096455504354
69,20.45,0.2017831,-16.392568691102042
70,20.5,0.2185993,-15.388491317729859
71,20.55,0.2188154,-14.387728377866097
72,20.6,0.2055663,-13.390144008538755
73,20.65,0.1838697,-12.395602441317351
74,20.7,0.1722977,-11.403968002322472
75,20.75,0.1698909,-10.415105112219862
76,20.8,0.1457451,-9.428878286221789
77,20.85,0.1439641,-8.445152134087039
78,20.9,0.1398016,-7.463791360121377
79,20.95,0.1342158,-6.484660763175725
80,21,0.1311148,-5.507625236649801
81,21.05,0.1342855,-4.5325497684884795
82,21.1,0.1230843,-3.559299441183157
83,21.15,0.1027598,-2.5877394317722064
84,21.2,0.0957333,-1.6177350118432514
85,21.25,9.287731E-02,-0.6491515475240703
86,21.3,0.1125542,0.31814550050557955
87,21.35,0.1251293,1.2842905770203288
88,21.4,0.1274974,2.2494180322496504
89,21.45,9.678282E-02,3.2136621218755863
90,21.5,7.567935E-02,4.177157007031838
91,21.55,0.0649849,5.140036754311041
92,21.6,5.461121E-02,6.102435335752034
93,21.65,5.430243E-02,7.064486628851682
94,21.7,5.538338E-02,8.026324416559873
95,21.75,5.484388E-02,8.988082387276336
96,21.8,5.765851E-02,9.949894134860187
97,21.85,0.0447109,10.911893158620842
98,21.9,4.196575E-02,11.874212863318007
99,21.95,4.210493E-02,12.836986559169873
100,22,3.632736E-02,13.800347461845377
101,22.05,3.822677E-02,14.7644286924683
102,22.1,4.055744E-02,15.729363277614084
103,22.15,5.470211E-02,16.695284149312556
104,22.2,0.3173024,17.662324145047478
105,22.25,1.308097,18.63061600775518
106,22.3,3.415822,19.600292385826833
107,22.35,6.565033,20.571485833103907
108,22.4,10.05621,21.544328808883165
109,22.45,12.6659,22.51895367791667
110,22.5,13.53923,23.495492710407234
111,22.55,12.3804,24.4740780820116
112,22.6,9.916904,25.45484187384045
113,22.65,7.054702,26.437916072456574
114,22.7,4.452127,27.42343256987988
115,22.75,2.5025,28.41152316357875
116,22.8,1.217336,29.402319556478687
117,22.85,0.5149671,30.395953356955488
118,22.9,0.2113724,31.392556078841608
119,22.95,0.1129295,32.392259141421164
120,23,9.761346E-02,33.395193869431296
121,23.05,9.802293E-02,34.40149149306353
122,23.1,0.1236188,35.41128314796242
123,23.15,0.1240927,36.42469987522554
124,23.2,0.1158182,37.44187262140531
125,23.25,0.1111949,38.462932238504436
126,23.3,0.1041881,39.48800948398457
127,23.35,9.594981E-02,40.51723502075356
128,23.4,8.743213E-02,41.55073941717774
129,23.45,6.768239E-02,42.58865314707782
130,23.5,5.533859E-02,43.631106589721185
131,23.55,6.724919E-02,44.67823002983641
132,23.6,9.719919E-02,45.730153657603296
133,23.65,0.1237784,46.78700756864964
134,23.7,0.1403997,47.848921764064016
135,23.75,0.1489629,48.91602615038482
136,23.8,0.1522168,49.98845053960258
137,23.85,0.1612724,51.066324649164926
138,23.9,0.1913651,52.149778101970696
139,23.95,0.2143302,53.238940426372665
140,24,0.2199898,54.33394105617526
141,24.05,0.2093215,55.43490933064004
142,24.1,0.1906398,56.54197449447702
143,24.15,0.1697363,57.65526569785425
144,24.2,0.1491811,58.77491199639053
145,24.25,0.1511464,59.901042351159504
146,24.3,0.1444618,61.03378562868738
147,24.35,0.1509669,62.1732706009534
148,24.4,0.1698175,63.319625945390726
149,24.45,0.1799698,64.47298024488737
150,24.5,0.1757115,65.63346198778208
151,24.55,0.153967,66.80119956786803
152,24.6,0.1309554,67.97632128439318
153,24.65,0.1214674,69.15895534205538
154,24.7,0.1294148,70.34922985101048
155,24.75,0.145977,71.54727282686554
156,24.8,0.1805023,72.75321219068246
157,24.85,0.2075008,73.96717576897026
158,24.9,0.210373,75.18929129370053
159,24.95,0.1957289,76.41968640229243
160,25,0.1624192,77.6584886376204
161,25.05,0.1473278,78.90582544801237
162,25.1,0.1349642,80.16182418724748
163,25.15,0.1391935,81.42661211456243
164,25.2,0.1373985,82.70031639464332
165,25.25,0.1130809,83.98306409763154
166,25.3,0.1155254,85.27498219912286
167,25.35,0.1190483,86.57619758016335
168,25.4,0.1417801,87.88683702725575
169,25.45,0.1328801,89.207027232354
170,25.5,0.1488351,90.53689479286686
171,25.55,0.1580482,91.87656621165615
172,25.6,0.1566925,93.2261678970367
173,25.65,0.1606162,94.58582616277636
174,25.7,0.1565912,95.95566722809781
175,25.75,0.1505682,97.33581721767541
176,25.8,0.1543584,98.72640216163836
177,25.85,0.1856647,100.12754799556888
178,25.9,0.1907869,101.53938056050174
179,25.95,0.2308797,102.96202560292795
180,26,0.2675203,104.39560877478607
181,26.05,0.297415,105.84025563347541
182,26.1,0.3196068,107.29609164184194
183,26.15,0.3426059,108.76324216819057
184,26.2,0.3979619,110.24183248627651
185,26.25,0.5388415,111.73198777530888
186,26.3,0.764412,113.23383311995076
187,26.35,1.044867,114.74749351031869
188,26.4,1.316966,116.27309384198043
189,26.45,1.498272,117.81075891596129
190,26.5,1.59799,119.36061343873598
191,26.55,1.593377,120.92278202223451
192,26.6,1.528679,122.49738918384128
193,26.65,1.415626,124.08455934639142
194,26.7,1.29953,125.68441683817537
195,26.75,1.181008,127.29708589293705
196,26.8,1.068594,128.92269064987386
197,26.85,0.9649717,130.5613551536344
198,26.9,0.8462671,132.213203354323
199,26.95,0.7367384,133.8783591074971
200,27,0.6296005,135.55694617416657
201,27.05,0.5691546,137.24908822079624
202,27.1,0.5307685,138.954908819303
203,27.15,0.5109551,140.67453144705632
204,27.2,0.4856429,142.4080794868819
205,27.25,0.4449694,144.15567622705612
206,27.3,0.3957053,145.91744486131165
207,27.35,0.3545185,147.6935084888314
208,27.4,0.3420181,149.48399011425317
209,27.45,0.3511398,151.28901264766728
210,27.5,0.3832141,153.10869890462072
211,27.55,0.4338081,154.9431716061099
212,27.6,0.5657234,156.79255337858604
213,27.65,0.8320348,158.65696675395475
214,27.7,1.240458,160.53653416957377
215,27.75,1.721924,162.4313779682543
216,27.8,2.160828,164.34162039826242
217,27.85,2.419215,166.26738361331581
218,27.9,2.428506,168.20878967258614
219,27.95,2.220823,170.16596054069942
220,28,1.825515,172.1390180877329
221,28.05,1.650797,174.12808408922047
222,28.1,1.518476,176.13328022614724
223,28.15,1.353527,178.1547280849495
224,28.2,1.146493,180.19254915752435
225,28.25,0.9694907,182.24686484121366
226,28.3,0.8235269,184.3177964388169
227,28.35,0.766613,186.40546515858887
228,28.4,0.8558822,188.50999211423186
229,28.45,0.9406725,190.631498324909
230,28.5,0.9754606,192.7701047152309
231,28.55,1.073632,194.9259321152649
232,28.6,1.283658,197.09910126052955
233,28.65,1.662889,199.28973279199772
