,Sample,Nucleotide,Timepoint,Plate,FileNumber,Unnamed: 5,Unnamed: 6,Unnamed: 7,FileName,peak_nts,start_nt,end_nt,p4p6_area,background_area,total_area,subtracted_area,normalized_area,double_normalized,Fraction_intact
0,hHBB_10383581_START_reference_hHBB,PSU,0,1,1,,,,nts-Eukaryote Total RNA Nano_2020-12-02_14-31-30_Sample1.csv,[ 23.34814491 282.58199462 857.84402345],757.8440234481005,957.8440234481005,172.83166599004375,265.03275574450066,2590.0108922850836,2324.978136540583,13.452269427724646,0.1354157423039004,1.0
1,hHBB_10383581_START_reference_hHBB,PSU,1,1,2,,,,nts-Eukaryote Total RNA Nano_2020-12-02_14-31-30_Sample2.csv,[ 23.34814491 282.58199462 857.84402345],757.8440234481005,957.8440234481005,219.4631436429515,373.6375850644936,1630.6135543238045,1256.975969259311,5.727503709252919,0.05739948113866597,0.4238759848899243
2,hHBB_10383581_START_reference_hHBB,PSU,3,1,3,,,,nts-Eukaryote Total RNA Nano_2020-12-02_14-31-30_Sample3.csv,[ 23.34814491 282.58199462 857.84402345],757.8440234481005,957.8440234481005,283.585563984986,318.58542141539317,916.4128684538645,597.8274470384713,2.1081025375118263,0.022491959140042924,0.16609560127482373
3,hHBB_10383581_START_reference_hHBB,PSU,5,1,4,,,,nts-Eukaryote Total RNA Nano_2020-12-02_14-31-30_Sample4.csv,[ 23.34814491 282.58199462 857.84402345],757.8440234481005,957.8440234481005,290.8175222807312,274.8413580596098,646.5674510167456,371.72609295713585,1.2782107833182836,0.013427406495859287,0.09915690943616778
4,hHBB_10383601_LinearDesign-beamsize50-USETHISONE_hHBB,PSU,0,1,5,,,,nts-Eukaryote Total RNA Nano_2020-12-02_14-31-30_Sample5.csv,[ 23.34814491 279.69296203 870.83230289],770.8323028940806,970.8323028940806,188.14148409281924,226.49203606991935,1684.1428311221528,1457.6507950522334,7.747631002703818,0.07814015803682661,1.0
5,hHBB_10383601_LinearDesign-beamsize50-USETHISONE_hHBB,PSU,1,1,6,,,,nts-Eukaryote Total RNA Nano_2020-12-02_14-31-30_Sample6.csv,[ 23.34814491 279.69296203 870.83230289],770.8323028940806,970.8323028940806,175.15697747872167,179.1516109052997,1227.3124526542429,1048.160841748943,5.984122681474537,0.062249558169187244,0.7966397782283688
6,hHBB_10383601_LinearDesign-beamsize50-USETHISONE_hHBB,PSU,3,1,7,,,,nts-Eukaryote Total RNA Nano_2020-12-02_14-31-30_Sample7.csv,[ 23.34814491 279.69296203 870.83230289],770.8323028940806,970.8323028940806,202.53533678988813,190.58048389417866,957.2906432974071,766.7101594032284,3.78556241866386,0.042084432184867224,0.5385762358585618
7,hHBB_10383601_LinearDesign-beamsize50-USETHISONE_hHBB,PSU,5,1,8,,,,nts-Eukaryote Total RNA Nano_2020-12-02_14-31-30_Sample8.csv,[ 23.34814491 279.69296203 870.83230289],770.8323028940806,970.8323028940806,174.83057059360925,208.5253615756104,799.1082172769144,590.582855701304,3.3780296757945383,0.037536188610086396,0.4803700114401611
8,hHBB_10383653_GC_rich_2_hHBB,PSU,0,1,9,,,,nts-Eukaryote Total RNA Nano_2020-12-02_14-31-30_Sample9.csv,[ 23.34814491 279.69296203 857.84402345],757.8440234481005,957.8440234481005,167.45676037450392,244.97986523365915,2601.126536759878,2356.146671526219,14.070179467564532,0.16935169748246331,1.0
9,hHBB_10383653_GC_rich_2_hHBB,PSU,1,1,10,,,,nts-Eukaryote Total RNA Nano_2020-12-02_14-31-30_Sample10.csv,[ 23.34814491 279.69296203 857.84402345],757.8440234481005,957.8440234481005,198.7207807323407,298.06111652370794,1546.420329208774,1248.3592126850663,6.281976188320716,0.071910204347503,0.42462051114042976
