,,kdeg,kdeg_err
hHBB_10383581_START_reference_hHBB,PSU,0.2585167505518176,0.05111771036248214
hHBB_10383601_LinearDesign-beamsize50-USETHISONE_hHBB,PSU,0.13022336101310045,0.018530203515595003
hHBB_10383651_GC_rich_1_hHBB,PSU,0.27641733925589657,0.048862937414901136
hHBB_10383653_GC_rich_2_hHBB,PSU,0.2662017390396723,0.029855449075614913
hHBB_10388753_IDT_1_hHBB,PSU,0.35731215884641454,0.021287869042657826
hHBB_10388767_Genewiz_1_hHBB,PSU,0.2898740461438895,0.05409025772084165
hHBB_10388774_Twist_1_hHBB,PSU,0.2771968130556059,0.025152732038365624
hHBB_10389218_Omei_1_DG2=158.7_5'UTR_20_unpaired_hHBB,PSU,0.1392541553346851,0.023124121314176235
hHBB_10396597_Astros-Brourd-Eli-mod3_hHBB,PSU,0.32064697266351244,0.019934190562208076
hHBB_10405622_Eli_Fisker_s_Yellowstone_hHBB,PSU,0.291865697967528,0.02956912071632377
hHBB_10409421_BugacMan's_Worm_refined_Kagglestyle_hHBB,PSU,0.14932265846401918,0.009368080161413005
hHBB_10415148_AB_Rhiju_Mod_3_hHBB,PSU,0.111374494070914,0.006243194454087841
hHBB_10415488_RLT-10_hHBB,PSU,0.1339969275932433,0.011344468294169586
hHBB_10417205_Jill's_mod_of_Clotho_2.0_hHBB,PSU,0.17356832037626474,0.020585238824826116
hHBB_10419522_12_hHBB,PSU,0.24377834237957802,0.010114832204017186
hHBB_10419549_BugacMan's_Lost_LD+finetuning_mod_Deg-2-ed_hHBB,PSU,0.100999016654265,0.0071088577466636976
hHBB_10422723_Ribotree_Random_degscoreall_1_hHBB,PSU,0.3103418809335041,0.012829198246277635
hHBB_10422744_Ribotree_Random_degscore_1_hHBB,PSU,0.34861541602015916,0.031534455934071254
hHBB_10422746_Ribotree_BT_winner_random_degscore_2_hHBB,PSU,0.2969688842416666,0.02469518437604626
hHBB_10422764_Ribotree_LinearDesign_degscoreall_1_hHBB,PSU,0.13611846479546982,0.016165009802156502
hHBB_10422776_RiboTree_Nullrecurrent_winner_LinearDesign_degscoreall_7_hHBB,PSU,0.13304899329801675,0.01281202723011845
hHBB_10422784_Ribotree_LinearDesign_degscore_1_hHBB,PSU,0.1314505853321982,0.012560470881314739
hHBB_10422804_Ribotree_LinearDesign_sup_1_hHBB,PSU,0.15079516838204968,0.006319481192171199
hHBB_10422827_Ribotree_Random_sup_1_hHBB,PSU,0.2211196862416729,0.016241147270220708
