,Time,Value,Nucleotides
0,17,-0.1251539,-60.95978156068213
1,17.05,-0.1035929,-60.128149824266075
2,17.1,-8.551167E-02,-59.3009468248265
3,17.15,-6.008169E-02,-58.47808469965639
4,17.2,-1.846603E-02,-57.65947551395925
5,17.25,-7.202148E-03,-56.845031260849964
6,17.3,-1.506364E-02,-56.03466386135392
7,17.35,-3.711408E-02,-55.228285164407225
8,17.4,-5.727132E-02,-54.42580694685739
9,17.45,-8.606005E-02,-53.62714091346152
10,17.5,-8.690389E-02,-52.832198696889236
11,17.55,-6.512618E-02,-52.040891857719544
12,17.6,-4.461186E-02,-51.253131884443064
13,17.65,-1.309785E-02,-50.46883019346046
14,17.7,1.444209E-02,-49.687898129083806
15,17.75,0.0189298,-48.910246963536565
16,17.8,1.454141E-02,-48.135787896951115
17,17.85,2.936188E-02,-47.36443205737305
18,17.9,4.901032E-02,-46.59609050075687
19,17.95,3.748068E-02,-45.83067421096894
20,18,0.0505867,-45.06809409978564
21,18.05,3.632436E-02,-44.308261006894554
22,18.1,1.927085E-02,-43.55108569989466
23,18.15,2.796373E-02,-42.79647887429542
24,18.2,0.0575285,-42.04435115351589
25,18.25,6.233088E-02,-41.294613088887445
26,18.3,6.391075E-02,-40.54717515965217
27,18.35,7.255269E-02,-39.80194777296242
28,18.4,7.958383E-02,-39.05884126388105
29,18.45,7.248683E-02,-38.317765895382536
30,18.5,7.432302E-02,-37.57863185835163
31,18.55,6.415406E-02,-36.841349271584704
32,18.6,5.571361E-02,-36.105828181787274
33,18.65,7.334043E-02,-35.37197856357784
34,18.7,7.601089E-02,-34.639710319483584
35,18.75,6.014252E-02,-33.90893327994422
36,18.8,4.197157E-02,-33.17955720330929
37,18.85,5.501033E-02,-32.45149177583926
38,18.9,3.294474E-02,-31.724646611706248
39,18.95,2.249564E-03,-30.998931252991042
40,19,-0.0212326,-30.27425516968833
41,19.05,-4.149457E-02,-29.550527759701254
42,19.1,-5.282067E-02,-28.82765834884458
43,19.15,-5.022265E-02,-28.105556190843572
44,19.2,-4.377596E-02,-27.38413046733467
45,19.25,-0.0571874,-26.663290287865493
46,19.3,-5.532194E-02,-25.94294468989301
47,19.35,-4.607995E-02,-25.223002638786966
48,19.4,-3.485879E-02,-24.503373027826
49,19.45,-1.128552E-02,-23.783964678201528
50,19.5,-5.771637E-03,-23.064686339013633
51,19.55,-1.985084E-02,-22.345446687274944
52,19.6,-2.522714E-02,-21.626154327908125
53,19.65,-3.516364E-02,-20.906717793746566
54,19.7,-0.0616869,-20.187045545535284
55,19.75,-0.0557429,-19.467045971928655
56,19.8,-0.011936,-18.746627389493597
57,19.85,2.553358E-02,-18.02569804270661
58,19.9,5.412405E-02,-17.304166103955595
59,19.95,7.297925E-02,-16.581939673538272
60,20,7.039007E-02,-15.858926779664444
61,20.05,0.0576929,-15.135035378454631
62,20.1,6.688169E-02,-14.410173353938944
63,20.15,0.0940847,-13.684248518059803
64,20.2,0.1103841,-12.957168610669441
65,20.25,0.1431198,-12.228841299531041
66,20.3,0.148149,-11.499174180319187
67,20.35,0.1345419,-10.768074776618505
68,20.4,0.1045062,-10.035450539925478
69,20.45,6.655978E-02,-9.301208849645718
70,20.5,3.087616E-02,-8.565257013096925
71,20.55,4.062226E-03,-7.827502265507746
72,20.6,-9.520996E-03,-7.087851770016414
73,20.65,-2.061905E-02,-6.346212617674382
74,20.7,-2.523183E-02,-5.602491827440417
75,20.75,-2.191671E-02,-4.856596346187416
76,20.8,-1.874192E-02,-4.108433048696497
77,20.85,1.309398E-03,-3.357908737662001
78,20.9,1.864816E-02,-2.6049301436862606
79,20.95,4.082168E-02,-1.8494039252859693
80,21,4.516602E-02,-1.0912366688849033
81,21.05,6.320887E-02,-0.3303348888207438
82,21.1,0.1053632,0.43339497266083526
83,21.15,0.1386343,1.2000465454002551
84,21.2,0.1639886,1.969713531329944
85,21.25,0.1679319,2.742489704469108
86,21.3,0.1560786,3.5184689109289593
87,21.35,0.1282526,4.297745068907034
88,21.4,9.600212E-02,5.08041216869151
89,21.45,6.758984E-02,5.8665642726598435
90,21.5,5.319977E-02,6.656295515278089
91,21.55,7.429506E-02,7.449700103102259
