Data File Name,Eukaryote Total RNA Nano_2020-12-02_14-38-16.xad
Data File Path,C:\Program Files (x86)\Agilent\2100 bioanalyzer\2100 expert\Data\2020-12-02
Date Created,"Wednesday, December 2, 2020 10:38:15 PM"
Date Last Modified,"Wednesday, December 2, 2020 11:36:05 PM"
Version Created,B.02.11.SI811
Version Last Modified,B.02.11.SI811
 
Assay Name,Eukaryote Total RNA Nano Series II
Assay Path,C:\Program Files (x86)\Agilent\2100 bioanalyzer\2100 expert\assays\RNA
Assay Title,Eukaryote Total RNA Nano
Assay Version,2.6
 
Number of Samples Run,12
 
Sample Name,17a5_TP2
Number of Events,1060
 
Time,Value
17,1.761288E-02
17.05,4.424826E-03
17.1,-2.033539E-02
17.15,-1.654462E-02
17.2,6.535848E-03
17.25,2.188984E-02
17.3,2.234601E-02
17.35,0.0233027
17.4,1.145608E-02
17.45,-1.974828E-02
17.5,-3.571362E-02
17.55,-3.325425E-02
17.6,-2.956017E-02
17.65,-1.865286E-02
17.7,3.392029E-03
17.75,2.314124E-02
17.8,1.801966E-02
17.85,1.536204E-02
17.9,1.428257E-02
17.95,4.662408E-05
18,-0.0151329
18.05,-5.091823E-03
18.1,7.62007E-04
18.15,-1.243162E-02
18.2,-3.770506E-02
18.25,-0.0574715
18.3,-5.894465E-02
18.35,-4.491235E-02
18.4,-2.296823E-02
18.45,-1.708755E-02
18.5,-2.834992E-02
18.55,-6.103942E-02
18.6,-5.837784E-02
18.65,-4.538569E-02
18.7,-3.084089E-02
18.75,1.888575E-04
18.8,1.819998E-02
18.85,2.801014E-02
18.9,0.0277986
18.95,1.720123E-02
19,2.670846E-03
19.05,-3.17472E-03
19.1,-1.711262E-02
19.15,-5.262126E-02
19.2,-5.544426E-02
19.25,-4.240206E-02
19.3,-3.176927E-02
19.35,-7.894134E-03
19.4,-4.126243E-03
19.45,-0.0159935
19.5,-0.0179572
19.55,-5.797801E-03
19.6,-9.386988E-03
19.65,-1.438327E-02
19.7,-1.336901E-02
19.75,-3.393682E-02
19.8,-4.766458E-02
19.85,-4.642003E-02
19.9,-3.997936E-02
19.95,-3.513845E-02
20,-2.035847E-02
20.05,-1.327262E-02
20.1,-2.393096E-02
20.15,-4.108222E-02
20.2,-0.0459365
20.25,-7.347488E-02
20.3,-5.849246E-02
20.35,-6.251009E-02
20.4,-7.298358E-02
20.45,-0.0779936
20.5,-9.512167E-02
20.55,-0.1070796
20.6,-0.104971
20.65,-7.146616E-02
20.7,-5.564652E-02
20.75,-3.362709E-02
20.8,-2.962161E-02
20.85,-4.222972E-02
20.9,-6.066078E-02
20.95,-7.234116E-02
21,-7.643112E-02
21.05,-8.553301E-02
21.1,-8.667696E-02
21.15,-9.147767E-02
21.2,-7.603802E-02
21.25,-5.412815E-02
21.3,-4.286257E-02
21.35,-0.0298129
21.4,-2.496461E-02
21.45,-0.0275315
21.5,-4.397032E-02
21.55,-6.284048E-02
21.6,-6.661224E-02
21.65,-8.008935E-02
21.7,-7.273822E-02
21.75,-4.876615E-02
21.8,-3.463261E-02
21.85,-3.127019E-02
21.9,-1.963831E-02
21.95,-1.148723E-02
22,-1.452976E-03
22.05,8.680834E-04
22.1,4.930284E-03
22.15,3.537256E-02
22.2,0.2360799
22.25,0.9160048
22.3,2.351176
22.35,4.513187
22.4,6.865084
22.45,8.535915
22.5,8.907711
22.55,7.711775
22.6,5.657282
22.65,3.529353
22.7,1.873565
22.75,0.8605458
22.8,0.3434845
22.85,0.1550236
22.9,0.0890174
22.95,5.883026E-02
23,4.612863E-02
23.05,2.047215E-02
23.1,-8.800252E-03
23.15,-3.492388E-02
23.2,-3.505113E-02
23.25,-1.960062E-02
23.3,6.756651E-03
23.35,2.460234E-02
23.4,3.062969E-02
23.45,3.775575E-02
23.5,4.819352E-02
23.55,6.235269E-02
23.6,8.833571E-02
23.65,9.599706E-02
23.7,0.0998965
23.75,7.747519E-02
23.8,7.676331E-02
23.85,7.521133E-02
23.9,0.0708374
23.95,0.0537178
24,2.579415E-02
24.05,-7.87939E-03
24.1,-4.418042E-02
24.15,-2.522208E-02
24.2,5.741727E-03
24.25,2.129237E-02
24.3,2.615277E-02
24.35,2.846408E-02
24.4,0.0394913
24.45,4.839096E-02
24.5,0.0489522
24.55,4.657491E-02
