Data File Name,Eukaryote Total RNA Nano_2020-12-02_15-54-46.xad
Data File Path,C:\Program Files (x86)\Agilent\2100 bioanalyzer\2100 expert\Data\2020-12-02
Date Created,"Wednesday, December 2, 2020 11:54:46 PM"
Date Last Modified,"Thursday, December 3, 2020 12:27:00 AM"
Version Created,B.02.11.SI811
Version Last Modified,B.02.11.SI811
 
Assay Name,Eukaryote Total RNA Nano Series II
Assay Path,C:\Program Files (x86)\Agilent\2100 bioanalyzer\2100 expert\assays\RNA
Assay Title,Eukaryote Total RNA Nano
Assay Version,2.6
 
Number of Samples Run,12
 
Sample Name,17a18_TP1
Number of Events,1060
 
Time,Value
17,-8.412307E-02
17.05,-6.519269E-02
17.1,-1.558029E-02
17.15,-9.862135E-03
17.2,6.661805E-03
17.25,3.588222E-02
17.3,7.831547E-02
17.35,0.1022659
17.4,0.108618
17.45,0.1096861
17.5,8.595148E-02
17.55,0.0491163
17.6,3.276391E-02
17.65,2.438932E-02
17.7,8.09525E-03
17.75,3.953286E-03
17.8,-7.848289E-04
17.85,-4.665402E-04
17.9,-1.232331E-02
17.95,-2.498597E-02
18,-0.0343868
18.05,-4.945086E-02
18.1,-3.296556E-02
18.15,3.028171E-03
18.2,3.445465E-02
18.25,3.617093E-02
18.3,0.014637
18.35,-8.507328E-03
18.4,-1.504665E-02
18.45,-6.624926E-03
18.5,7.28712E-03
18.55,2.844238E-02
18.6,9.618287E-03
18.65,-8.029161E-04
18.7,-7.642597E-03
18.75,-2.899933E-02
18.8,-3.624349E-02
18.85,-4.608066E-02
18.9,-6.969323E-02
18.95,-8.833121E-02
19,-6.466266E-02
19.05,-2.046512E-02
19.1,2.039714E-02
19.15,4.436598E-02
19.2,3.746969E-02
19.25,1.204034E-03
19.3,-3.254248E-02
19.35,-2.452891E-02
19.4,-1.537053E-02
19.45,-5.675837E-03
19.5,-1.549404E-02
19.55,-3.631844E-02
19.6,-4.912134E-02
19.65,-6.414721E-02
19.7,-5.143651E-02
19.75,-2.154519E-02
19.8,-1.372421E-02
19.85,-1.195967E-02
19.9,-4.266146E-02
19.95,-5.170188E-02
20,-5.119077E-02
20.05,-4.655571E-02
20.1,-2.596403E-02
20.15,-1.788344E-02
20.2,-3.016021E-02
20.25,-5.089401E-02
20.3,-6.567763E-02
20.35,-7.534984E-02
20.4,-7.804214E-02
20.45,-7.076014E-02
20.5,-6.261258E-02
20.55,-6.104324E-02
20.6,-0.0623596
20.65,-4.977871E-02
20.7,-5.278029E-02
20.75,-3.219392E-02
20.8,-1.867184E-02
20.85,-1.258034E-02
20.9,-3.113088E-03
20.95,-1.214151E-02
21,-2.035145E-02
21.05,-2.864812E-02
21.1,-0.0497129
21.15,-7.012738E-02
21.2,-7.626397E-02
21.25,-6.436106E-02
21.3,-0.0646657
21.35,-6.194563E-02
21.4,-7.050921E-02
21.45,-9.409986E-02
21.5,-0.113661
21.55,-0.1193807
