Data File Name,Eukaryote Total RNA Nano_2020-12-02_16-22-53.xad
Data File Path,C:\Program Files (x86)\Agilent\2100 bioanalyzer\2100 expert\Data\2020-12-02
Date Created,"Thursday, December 3, 2020 12:22:53 AM"
Date Last Modified,"Thursday, December 3, 2020 1:08:42 AM"
Version Created,B.02.11.SI811
Version Last Modified,B.02.11.SI811
 
Assay Name,Eukaryote Total RNA Nano Series II
Assay Path,C:\Program Files (x86)\Agilent\2100 bioanalyzer\2100 expert\assays\RNA
Assay Title,Eukaryote Total RNA Nano
Assay Version,2.6
 
Number of Samples Run,12
 
Sample Name,Ladder
Number of Events,1060
 
Time,Value
17,-5.994933E-02
17.05,-6.096505E-02
17.1,-7.135773E-02
17.15,-6.794669E-02
17.2,-6.028692E-02
17.25,-4.137357E-02
17.3,-6.184607E-02
17.35,-0.0767035
17.4,-7.603582E-02
17.45,-6.115886E-02
17.5,-3.960893E-02
17.55,-7.084337E-03
17.6,6.145531E-03
17.65,-5.38407E-03
17.7,-3.063236E-02
17.75,-4.784071E-02
17.8,-4.899132E-02
17.85,-2.554557E-02
17.9,1.003524E-02
17.95,3.781011E-02
18,3.830719E-02
18.05,2.890979E-02
18.1,1.897458E-03
18.15,-1.168036E-03
18.2,1.447228E-02
18.25,0.024672
18.3,2.414709E-02
18.35,0.0116523
18.4,-1.093986E-02
18.45,-2.301226E-02
18.5,-1.776995E-02
18.55,-2.748881E-03
18.6,0.0107042
18.65,3.845333E-04
18.7,-6.35872E-03
18.75,-2.371611E-02
18.8,-3.120412E-02
18.85,-2.599763E-02
18.9,-2.609253E-03
18.95,-1.066318E-02
19,-2.951449E-02
19.05,-3.490645E-02
19.1,-3.261007E-02
19.15,-5.381909E-02
19.2,-5.811953E-02
19.25,-5.686422E-02
19.3,-5.587249E-02
19.35,-5.040891E-02
19.4,-2.464362E-02
19.45,-8.645007E-03
19.5,-1.042438E-02
19.55,-1.915472E-02
19.6,-2.590194E-02
19.65,-1.570502E-02
19.7,-1.822587E-02
19.75,-1.207762E-02
19.8,-2.680969E-02
19.85,-2.455091E-02
19.9,-1.641244E-02
