Well,Sample ID,Peak ID,Size (nt),% (Conc.) (ng/uL),nmole/L,ng/ul,RFU,TIC (ng/ul),TIM (nmole/L),Total Conc. (ng/ul)
A1,B1_TP1,1,15,,86.4391,0.4293,820,51.5840,330.7559,56.4316
A1,B1_TP1,2,31,2.2,100.0175,1.1378,81,51.5840,330.7559,56.4316
A1,B1_TP1,3,264,12.3,74.8598,6.3699,436,51.5840,330.7559,56.4316
A1,B1_TP1,4,552,1.7,4.9329,0.8719,107,51.5840,330.7559,56.4316
A1,B1_TP1,5,737,4.9,11.0201,2.5165,138,51.5840,330.7559,56.4316
A1,B1_TP1,6,894,77.2,138.8956,39.8194,6574,51.5840,330.7559,56.4316
A1,B1_TP1,7,2549,1.7,1.0300,0.8683,80,51.5840,330.7559,56.4316
A1,B1_TP1,,,,,,,51.5840,330.7559,56.4316
A2,B1_TP2,1,15,,76.5581,0.4293,822,35.8156,209.5143,39.1348
A2,B1_TP2,2,259,21.4,90.7312,7.6623,599,35.8156,209.5143,39.1348
A2,B1_TP2,3,432,9.8,24.7799,3.5063,236,35.8156,209.5143,39.1348
A2,B1_TP2,4,547,2.6,5.4643,0.9431,131,35.8156,209.5143,39.1348
A2,B1_TP2,5,727,15.6,24.9254,5.5960,433,35.8156,209.5143,39.1348
A2,B1_TP2,6,894,49.7,63.2324,17.8036,2890,35.8156,209.5143,39.1348
A2,B1_TP2,7,2500,0.8,0.3810,0.3043,64,35.8156,209.5143,39.1348
A2,B1_TP2,,,,,,,35.8156,209.5143,39.1348
A3,B1_TP3,1,15,,72.4190,0.4293,922,36.1231,289.3398,37.4155
A3,B1_TP3,2,141,3.9,30.7669,1.4248,101,36.1231,289.3398,37.4155
A3,B1_TP3,3,179,4.6,29.0494,1.6712,125,36.1231,289.3398,37.4155
A3,B1_TP3,4,259,26.7,113.0912,9.6593,702,36.1231,289.3398,37.4155
A3,B1_TP3,5,374,4.1,12.5671,1.4882,199,36.1231,289.3398,37.4155
A3,B1_TP3,6,432,14.3,36.4860,5.1628,396,36.1231,289.3398,37.4155
A3,B1_TP3,7,552,3.5,7.2169,1.2548,176,36.1231,289.3398,37.4155
A3,B1_TP3,8,727,17.7,28.6377,6.4111,522,36.1231,289.3398,37.4155
