,,kdeg,kdeg_err
hHBB_10383581_START_reference_hHBB,PSU,0.2802100867498794,0.0012663143246692918
hHBB_10383601_LinearDesign-beamsize50-USETHISONE_hHBB,PSU,0.13566969294531547,0.0001329724273991386
hHBB_10383651_GC_rich_1_hHBB,PSU,0.29267750758826294,0.0012355136234117443
hHBB_10383653_GC_rich_2_hHBB,PSU,0.2855694776494747,0.0005702180192791821
hHBB_10388753_IDT_1_hHBB,PSU,0.3793818723503525,0.0004195038077066658
hHBB_10388767_Genewiz_1_hHBB,PSU,0.3117965945106493,0.0015456032415604598
hHBB_10388774_Twist_1_hHBB,PSU,0.2998265817220133,0.0003476389310287487
hHBB_10389218_Omei_1_DG2=158.7_5'UTR_20_unpaired_hHBB,PSU,0.14243918966998373,0.0002377072699491178
hHBB_10396597_Astros-Brourd-Eli-mod3_hHBB,PSU,0.34857160808953225,0.00015834121599981511
hHBB_10405622_Eli_Fisker_s_Yellowstone_hHBB,PSU,0.31181835883590464,0.0003556471408037289
hHBB_10409421_BugacMan's_Worm_refined_Kagglestyle_hHBB,PSU,0.157959669662302,6.806259221812724e-05
hHBB_10415148_AB_Rhiju_Mod_3_hHBB,PSU,0.12030395267199626,8.23939836893014e-06
hHBB_10415488_RLT-10_hHBB,PSU,0.1405862279772574,7.399724182438765e-05
hHBB_10417205_Jill's_mod_of_Clotho_2.0_hHBB,PSU,0.18241843736896057,0.00025890647735429416
hHBB_10419522_12_hHBB,PSU,0.2675547453285242,0.00011443423208335698
hHBB_10419549_BugacMan's_Lost_LD+finetuning_mod_Deg-2-ed_hHBB,PSU,0.10509731137639294,2.594145597125377e-05
hHBB_10422723_Ribotree_Random_degscoreall_1_hHBB,PSU,0.3263353056128982,0.00011793584006781837
hHBB_10422744_Ribotree_Random_degscore_1_hHBB,PSU,0.3723767621969358,0.0005682262516334973
hHBB_10422746_Ribotree_BT_winner_random_degscore_2_hHBB,PSU,0.3241972695518972,0.00046819104563988447
hHBB_10422764_Ribotree_LinearDesign_degscoreall_1_hHBB,PSU,0.1377201072939949,9.650377318097287e-05
hHBB_10422776_RiboTree_Nullrecurrent_winner_LinearDesign_degscoreall_7_hHBB,PSU,0.1418129596897551,0.00011930427795382712
hHBB_10422784_Ribotree_LinearDesign_degscore_1_hHBB,PSU,0.13671930658344048,9.87525100787279e-05
hHBB_10422804_Ribotree_LinearDesign_sup_1_hHBB,PSU,0.1565485980271133,3.532096880016138e-05
hHBB_10422827_Ribotree_Random_sup_1_hHBB,PSU,0.2312529272972728,0.00010234632162084462
