seqid,human-readable-name,,kdeg,kdeg_err,,
1220183B1,hHBB_10383581_START_reference_hHBB,PSU,0.633042742,0.062471123,1.579672167,0.155888201
1220184B1,hHBB_10383601_LinearDesign-beamsize50-USETHISONE_hHBB,PSU,0.263369776,0.024257126,3.796942896,0.349709536
1220185B1,hHBB_10383653_GC_rich_2_hHBB,PSU,0.779878437,0.085760555,1.282251121,0.141004755
1220186B1,hHBB_10383651_GC_rich_1_hHBB,PSU,0.626289109,0.056185809,1.596706674,0.143244158
1220187B1,hHBB_10388774_Twist_1_hHBB,PSU,0.518785873,0.054635546,1.927577546,0.203001387
1220188B1,hHBB_10388767_Genewiz_1_hHBB,PSU,0.576443138,0.033031196,1.734776484,0.099405715
1220189B1,hHBB_10388753_IDT_1_hHBB,PSU,0.590712862,0.062261454,1.69286986,0.178429396
1220190B1,hHBB_10405622_Eli_Fisker_s_Yellowstone_hHBB,PSU,0.781775954,0.055713474,1.279138857,0.091158175
1220191B1,hHBB_10415148_AB_Rhiju_Mod_3_hHBB,PSU,0.237968857,0.021348215,4.202230546,0.376982612
1220192B1,hHBB_10417205_Jill's_mod_of_Clotho_2.0_hHBB,PSU,0.183241547,0.022566534,5.457277655,0.672073794
1220193B1,hHBB_10389218_Omei_1_DG2=158.7_5'UTR_20_unpaired_hHBB,PSU,0.204568394,0.018615123,4.888340669,0.444824643
1220194B1,hHBB_10419549_BugacMan's_Lost_LD+finetuning_mod_Deg-2-ed_hHBB,PSU,0.191829922,0.011161598,5.212951085,0.303314852
1220195B1,hHBB_10415488_RLT-10_hHBB,PSU,0.158664601,0.020360508,6.302603061,0.808776496
1220196B1,hHBB_10419522_12_hHBB,PSU,0.439557125,0.024724977,2.275017155,0.127969139
1220197B1,hHBB_10409421_BugacMan's_Worm_refined_Kagglestyle_hHBB,PSU,0.16721463,0.011705167,5.980337964,0.418628768
1220198B1,hHBB_10396597_Astros-Brourd-Eli-mod3_hHBB,PSU,0.462024268,0.022992289,2.164388473,0.107709159
1220199B1,hHBB_10422723_Ribotree_Random_degscoreall_1_hHBB,PSU,0.286677709,0.013583827,3.488237727,0.165285323
1220200B1,hHBB_10422744_Ribotree_Random_degscore_1_hHBB,PSU,0.223973824,0.039204153,4.464807459,0.781515409
1220201B1,hHBB_10422764_Ribotree_LinearDesign_degscoreall_1_hHBB,PSU,0.129658157,0.025547391,7.712588418,1.51966152
1220202B1,hHBB_10422784_Ribotree_LinearDesign_degscore_1_hHBB,PSU,0.165608647,0.04616759,6.038332044,1.683337453
1220203B1,hHBB_10422804_Ribotree_LinearDesign_sup_1_hHBB,PSU,0.14547062,0.016762764,6.874240311,0.792127428
1220204B1,hHBB_10422827_Ribotree_Random_sup_1_hHBB,PSU,0.429121724,0.107338455,2.330341123,0.582900379
1220205B1,hHBB_10422746_Ribotree_BT_winner_random_degscore_2_hHBB,PSU,0.246795669,0.059345972,4.051934963,0.974352669
1220206B1,hHBB_10422776_RiboTree_Nullrecurrent_winner_LinearDesign_degscoreall_7_hHBB,PSU,0.109023103,0.045899656,9.172367805,3.861645059
