Data File Name,Eukaryote Total RNA Nano_2020-12-10_07-47-43.xad
Data File Path,C:\Program Files (x86)\Agilent\2100 bioanalyzer\2100 expert\Data\2020-12-10
Date Created,"Thursday, December 10, 2020 3:47:42 PM"
Date Last Modified,"Thursday, December 10, 2020 7:26:15 PM"
Version Created,B.02.11.SI811
Version Last Modified,B.02.11.SI811
 
Assay Name,Eukaryote Total RNA Nano Series II
Assay Path,C:\Program Files (x86)\Agilent\2100 bioanalyzer\2100 expert\assays\RNA
Assay Title,Eukaryote Total RNA Nano
Assay Version,2.6
 
Number of Samples Run,12
 
Sample Name,17a_PU_2_TP2
Number of Events,1060
 
Time,Value
17,-4.864907E-02
17.05,-5.074177E-02
17.1,-5.902145E-02
17.15,-6.371165E-02
17.2,-5.897367E-02
17.25,-6.338771E-02
17.3,-0.0534699
17.35,-6.914856E-02
17.4,-8.199874E-02
17.45,-8.186556E-02
17.5,-7.730778E-02
17.55,-5.946489E-02
17.6,-1.264646E-02
17.65,2.488973E-02
17.7,3.289896E-02
17.75,2.577947E-02
17.8,1.442161E-02
17.85,-6.79881E-03
17.9,-1.533623E-02
17.95,0.016002
18,3.272655E-02
18.05,4.967295E-02
18.1,6.498323E-02
18.15,0.0949422
18.2,0.1002392
18.25,0.113667
18.3,0.1213383
18.35,0.1224552
18.4,0.0826549
18.45,0.0459033
18.5,5.075063E-02
18.55,5.857916E-02
18.6,6.323317E-02
18.65,7.523623E-02
18.7,5.906194E-02
18.75,3.043183E-02
18.8,7.324676E-03
18.85,2.518601E-02
18.9,2.583169E-02
18.95,2.260772E-02
19,3.936001E-02
19.05,3.656626E-02
19.1,2.262613E-02
19.15,2.124975E-02
19.2,4.564318E-02
19.25,0.0784578
19.3,9.332824E-02
19.35,0.1047565
19.4,0.106585
19.45,0.1157061
19.5,0.1167243
19.55,0.1139019
19.6,0.1049845
19.65,8.825895E-02
19.7,6.403495E-02
19.75,3.059512E-02
19.8,1.409015E-02
19.85,0.0146798
19.9,9.671366E-03
19.95,1.566191E-02
20,2.402991E-02
20.05,9.960894E-03
20.1,-1.089296E-02
20.15,-7.113575E-03
20.2,-8.45655E-03
20.25,-8.16457E-03
20.3,-7.331509E-03
20.35,1.878617E-02
20.4,1.846178E-02
20.45,3.046941E-02
20.5,4.473351E-02
20.55,2.997336E-02
20.6,2.430837E-02
20.65,1.689235E-02
20.7,1.516507E-02
20.75,2.116304E-02
20.8,1.682561E-02
20.85,1.190982E-02
20.9,-8.188987E-03
20.95,2.076093E-03
21,0.0103592
21.05,4.742777E-02
21.1,8.053817E-02
21.15,9.493957E-02
21.2,0.1006541
21.25,8.475953E-02
21.3,4.134098E-02
21.35,2.651541E-02
21.4,2.192543E-02
21.45,1.890492E-02
21.5,2.959104E-02
21.55,6.146288E-02
21.6,8.602196E-02
21.65,7.451159E-02
21.7,4.122641E-02
21.75,1.284216E-02
21.8,1.874316E-02
21.85,5.743885E-02
21.9,0.1137031
21.95,0.1495562
22,0.1294168
22.05,5.416891E-02
22.1,-0.019389
22.15,8.548095E-02
22.2,0.9047874
22.25,3.19672
22.3,7.185385
22.35,12.19954
22.4,16.96997
22.45,19.97311
22.5,20.29734
22.55,18.05614
22.6,14.43449
22.65,10.44548
22.7,6.854064
22.75,4.082617
22.8,2.201459
22.85,1.07251
22.9,0.5034828
22.95,0.2499804
23,0.1429635
23.05,0.0888233
23.1,4.887045E-02
23.15,2.407464E-02
23.2,6.723804E-03
23.25,2.026833E-02
23.3,4.220825E-02
23.35,6.274866E-02
23.4,4.923659E-02
23.45,3.349512E-02
23.5,8.881764E-03
23.55,6.121994E-03
23.6,3.432617E-02
23.65,6.990325E-02
23.7,0.1088355
23.75,0.1301764
23.8,0.1398251
23.85,0.1314577
23.9,0.1144579
23.95,0.1133612
24,0.108423
24.05,0.1148954
24.1,0.1271057
24.15,0.1266636
24.2,0.1264999
24.25,0.1031566
24.3,8.372969E-02
24.35,8.559868E-02
24.4,9.054476E-02
24.45,0.1027346
24.5,0.1007721
24.55,9.441497E-02
24.6,7.220382E-02
24.65,6.642986E-02
24.7,7.070985E-02
24.75,9.071842E-02
24.8,0.1158033
24.85,0.1353578
24.9,0.1482869
24.95,0.1506009
25,0.1419242
25.05,0.1174773
25.1,0.102571
25.15,8.083875E-02
25.2,5.693934E-02
25.25,4.744674E-02
25.3,3.581887E-02
25.35,3.547746E-02
25.4,4.081702E-02
25.45,9.193231E-02
25.5,0.1188916
25.55,0.1245606
25.6,0.1157923
25.65,7.886362E-02
25.7,4.616037E-02
25.75,1.790345E-02
25.8,1.715713E-02
25.85,2.323506E-02
25.9,3.336638E-02
25.95,6.104637E-02
26,9.603323E-02
26.05,0.1384542
26.1,0.1369295
26.15,0.1394678
26.2,0.1250776
26.25,0.084503
26.3,8.477733E-02
26.35,9.471609E-02
26.4,9.573092E-02
26.45,9.596463E-02
26.5,0.1084864
26.55,0.1191545
26.6,0.1119713
26.65,0.1632347
26.7,0.2711901
26.75,0.3286677
26.8,0.3277597
26.85,0.2844222
26.9,0.2129745
26.95,0.1774976
27,0.1692732
27.05,0.2149179
27.1,0.2234726
27.15,0.2220461
27.2,0.2258962
27.25,0.2505096
27.3,0.2780739
27.35,0.2791881
27.4,0.2566303
27.45,0.2232126
27.5,0.2107159
27.55,0.1994609
27.6,0.2307217
27.65,0.2263748
27.7,0.2076178
27.75,0.1920255
27.8,0.1756521
27.85,0.1710525
27.9,0.1693647
27.95,0.1767999
28,0.1902308
28.05,0.1959517
28.1,0.183764
28.15,0.1687702
28.2,0.1607946
28.25,0.1478129
28.3,0.1563743
28.35,0.1846779
28.4,0.2430052
28.45,0.2727328
28.5,0.2926115
28.55,0.2887067
28.6,0.2710761
28.65,0.2465539
28.7,0.2270748
28.75,0.233678
28.8,0.2329222
28.85,0.2196563
28.9,0.2150732
28.95,0.2088936
29,0.1778488
29.05,0.1465467
29.1,0.1254072
29.15,0.1180783
29.2,0.139067
29.25,0.1630429
29.3,0.2064416
29.35,0.2440535
29.4,0.2801638
29.45,0.3059158
29.5,0.3180149
29.55,0.3132528
29.6,0.2773458
29.65,0.2660214
29.7,0.2714965
29.75,0.2929182
29.8,0.2958444
29.85,0.3123283
29.9,0.2938075
