Data File Name,Eukaryote Total RNA Nano_2020-12-10_15-17-25.xad
Data File Path,C:\Program Files (x86)\Agilent\2100 bioanalyzer\2100 expert\Data\2020-12-10
Date Created,"Thursday, December 10, 2020 11:17:25 PM"
Date Last Modified,"Friday, December 11, 2020 12:01:13 AM"
Version Created,B.02.11.SI811
Version Last Modified,B.02.11.SI811
 
Assay Name,Eukaryote Total RNA Nano Series II
Assay Path,C:\Program Files (x86)\Agilent\2100 bioanalyzer\2100 expert\assays\RNA
Assay Title,Eukaryote Total RNA Nano
Assay Version,2.6
 
Number of Samples Run,11
 
Sample Name,Ladder
Number of Events,1060
 
Time,Value
17,-3.419734E-02
17.05,-3.004332E-02
17.1,-4.099274E-02
17.15,-4.399483E-02
17.2,-5.599186E-02
17.25,-5.841255E-02
17.3,-3.679567E-02
17.35,-2.666952E-02
17.4,-1.747894E-02
17.45,-1.296271E-02
17.5,-1.737585E-02
17.55,-6.961994E-03
17.6,1.725198E-03
17.65,7.049355E-03
17.7,1.968534E-02
17.75,2.095002E-02
17.8,1.137844E-02
17.85,-8.773948E-03
17.9,-0.0166012
17.95,-1.923949E-02
18,-1.056671E-03
18.05,-1.510362E-03
18.1,-1.251514E-02
18.15,-2.717148E-02
18.2,-2.196028E-02
18.25,-8.575826E-03
18.3,1.711383E-02
18.35,2.995653E-02
18.4,2.072579E-02
18.45,-4.705675E-03
18.5,-8.140923E-03
18.55,4.030053E-03
18.6,1.600022E-02
18.65,4.156402E-02
18.7,6.601346E-02
18.75,8.221636E-02
18.8,5.656631E-02
18.85,3.484653E-02
18.9,8.480072E-03
18.95,-1.666757E-02
19,-2.273705E-02
19.05,-9.466316E-03
19.1,1.252475E-02
19.15,2.480029E-02
19.2,2.148835E-02
19.25,2.733102E-02
19.3,2.038731E-02
19.35,1.54469E-03
19.4,-1.858965E-02
19.45,-2.991572E-02
19.5,-2.238067E-02
19.55,-1.042002E-02
19.6,7.458667E-03
19.65,1.196353E-02
19.7,1.267535E-03
19.75,1.019148E-02
19.8,8.098602E-03
19.85,2.658306E-02
19.9,3.723361E-02
19.95,0.0369008
20,4.717924E-02
20.05,3.395345E-02
20.1,0.0368955
20.15,2.938759E-02
20.2,2.846024E-02
20.25,3.176888E-02
20.3,4.118293E-02
20.35,5.629034E-02
20.4,5.414327E-02
20.45,7.223141E-02
20.5,8.378726E-02
20.55,8.454195E-02
20.6,6.947635E-02
20.65,8.015554E-02
20.7,9.034456E-02
20.75,0.1192213
20.8,0.156113
20.85,0.183541
20.9,0.1792038
20.95,0.1676588
21,0.1635259
21.05,0.1824966
21.1,0.1844597
21.15,0.1779442
21.2,0.1621119
21.25,0.1676886
21.3,0.1772067
21.35,0.1791166
21.4,0.1726914
21.45,0.1395439
21.5,0.1082387
21.55,8.740976E-02
21.6,0.1029701
21.65,0.1307462
21.7,0.1453748
21.75,0.1434644
21.8,0.1205554
21.85,9.974118E-02
21.9,8.803182E-02
21.95,8.570841E-02
22,8.500924E-02
22.05,7.444801E-02
22.1,4.399397E-02
22.15,0.1095877
22.2,0.6494519
22.25,2.200071
22.3,5.068616
22.35,8.872693
22.4,12.54239
22.45,14.87741
22.5,15.14135
22.55,13.44847
22.6,10.60562
22.65,7.555386
22.7,4.909078
22.75,2.897798
22.8,1.542364
22.85,0.755469
22.9,0.3862463
22.95,0.246319
23,0.1914382
23.05,0.176215
23.1,0.1670137
23.15,0.1511252
23.2,0.1473012
23.25,0.1263534
23.3,0.1172554
23.35,0.1074119
23.4,0.1103287
23.45,0.1501193
23.5,0.1813208
23.55,0.2077655
23.6,0.2197117
23.65,0.2110532
23.7,0.2048982
23.75,0.1892605
23.8,0.1856122
23.85,0.1819553
23.9,0.1825074
23.95,0.1960252
24,0.2057355
24.05,0.2051875
24.1,0.2025308
24.15,0.2195187
24.2,0.2256322
24.25,0.2245617
24.3,0.2156372
24.35,0.2168189
24.4,0.200164
24.45,0.1984353
24.5,0.2164185
24.55,0.2466976
24.6,0.2666539
24.65,0.2820593
24.7,0.2865607
24.75,0.2524338
24.8,0.2183535
24.85,0.2119798
24.9,0.2186203
24.95,0.2289213
25,0.2358428
25.05,0.2337863
25.1,0.1998568
25.15,0.1881931
25.2,0.181736
25.25,0.1847204
25.3,0.174836
25.35,0.1781209
25.4,0.1821051
25.45,0.1711408
25.5,0.1574898
25.55,0.1583657
25.6,0.1640414
25.65,0.174551
25.7,0.1858114
25.75,0.187042
25.8,0.176013
25.85,0.1650143
25.9,0.1627363
25.95,0.1639601
26,0.1577173
26.05,0.144268
26.1,0.1509666
26.15,0.1550263
26.2,0.1721622
26.25,0.1680864
26.3,0.1832247
26.35,0.2024457
26.4,0.2099533
26.45,0.2007215
26.5,0.1742525
26.55,0.1448598
26.6,0.1276049
26.65,0.1146356
26.7,9.430283E-02
26.75,7.435606E-02
26.8,7.185829E-02
26.85,8.315794E-02
26.9,0.1281986
26.95,0.1524683
27,0.17593
27.05,0.1752663
27.1,0.184592
27.15,0.2054277
27.2,0.2176733
27.25,0.2130677
27.3,0.210742
27.35,0.2049816
27.4,0.2295573
27.45,0.2874296
27.5,0.3956666
27.55,0.505294
27.6,0.5676542
27.65,0.5824574
27.7,0.532836
27.75,0.471905
27.8,0.4198971
27.85,0.4342481
27.9,0.4331093
27.95,0.4240983
28,0.3846809
28.05,0.3510344
28.1,0.3220757
28.15,0.3178342
28.2,0.3458492
28.25,0.3815099
28.3,0.4193735
28.35,0.4912298
28.4,0.6419639
28.45,0.9670367
28.5,1.643221
28.55,3.013249
28.6,5.384612
28.65,8.878493
28.7,12.99833
28.75,16.86608
28.8,19.3452
28.85,19.43488
28.9,17.57277
28.95,14.48958
29,11.13193
29.05,8.237254
29.1,6.069195
29.15,4.569115
29.2,3.518907
29.25,2.824705
29.3,2.377192
29.35,2.040961
29.4,1.790174
29.45,1.609167
29.5,1.475523
29.55,1.387628
29.6,1.296257
29.65,1.240504
