Data File Name,Eukaryote Total RNA Nano_2020-12-11_09-00-11.xad
Data File Path,C:\Program Files (x86)\Agilent\2100 bioanalyzer\2100 expert\Data\2020-12-11
Date Created,"Friday, December 11, 2020 5:00:11 PM"
Date Last Modified,"Friday, December 11, 2020 6:30:31 PM"
Version Created,B.02.11.SI811
Version Last Modified,B.02.11.SI811
 
Assay Name,Eukaryote Total RNA Nano Series II
Assay Path,C:\Program Files (x86)\Agilent\2100 bioanalyzer\2100 expert\assays\RNA
Assay Title,Eukaryote Total RNA Nano
Assay Version,2.6
 
Number of Samples Run,12
 
Sample Name,17a_PU_21_TP6
Number of Events,1060
 
Time,Value
17,-0.0152766
17.05,-9.056271E-03
17.1,-8.132835E-03
17.15,-1.643743E-02
17.2,-2.470803E-02
17.25,-0.0274895
17.3,-2.706957E-02
17.35,-1.869453E-02
17.4,4.768276E-03
17.45,1.844896E-02
17.5,3.191122E-02
17.55,4.294048E-02
17.6,5.101793E-02
17.65,4.882098E-02
17.7,3.711537E-02
17.75,2.161619E-02
17.8,6.047838E-03
17.85,5.940932E-03
17.9,-3.14529E-03
17.95,-1.856735E-02
18,-0.0352027
18.05,-4.514675E-02
18.1,-4.927312E-02
18.15,-5.248303E-02
18.2,-2.759434E-02
18.25,-1.272492E-02
18.3,-7.429199E-03
18.35,-1.884222E-03
18.4,1.059838E-02
18.45,1.824963E-02
18.5,4.629583E-03
18.55,-2.695955E-03
18.6,-2.564057E-03
18.65,-1.134644E-02
18.7,-1.397967E-02
18.75,1.444872E-03
18.8,3.059942E-02
18.85,4.516476E-02
18.9,5.623376E-02
18.95,6.085543E-02
19,5.172196E-02
19.05,4.404358E-02
19.1,0.048707
19.15,5.930937E-02
19.2,5.754825E-02
19.25,3.630192E-02
19.3,7.849613E-03
19.35,-1.385108E-02
19.4,-8.783689E-03
19.45,1.473761E-02
19.5,3.786223E-02
19.55,6.247988E-02
19.6,7.460091E-02
19.65,7.341541E-02
19.7,6.556521E-02
19.75,5.441468E-02
19.8,4.199827E-02
19.85,1.686987E-02
19.9,6.640065E-03
19.95,4.426603E-03
20,4.51108E-03
20.05,1.859544E-02
20.1,1.308481E-02
20.15,9.923381E-03
20.2,2.296517E-02
20.25,0.0388797
20.3,4.879798E-02
20.35,5.114482E-02
20.4,2.825279E-02
20.45,2.639832E-02
20.5,7.839271E-03
20.55,4.140496E-02
20.6,5.867094E-02
20.65,0.0517721
20.7,4.744586E-02
20.75,4.103196E-02
20.8,3.805037E-02
20.85,3.329682E-02
20.9,4.062535E-02
20.95,4.946695E-02
21,4.796208E-02
21.05,1.290388E-02
21.1,2.394135E-02
21.15,1.683515E-02
21.2,-9.704241E-03
21.25,-3.737586E-02
21.3,-4.215433E-02
21.35,-2.958124E-02
21.4,-3.019704E-02
21.45,-4.232406E-03
21.5,2.845876E-02
21.55,4.886788E-02
21.6,7.162337E-02
21.65,8.244188E-02
21.7,8.489136E-02
21.75,9.320912E-02
21.8,8.206852E-02
21.85,9.854713E-02
21.9,0.1111945
21.95,0.1052959
22,8.721149E-02
22.05,6.799309E-02
22.1,4.005673E-02
22.15,3.541647E-02
22.2,0.4334488
22.25,1.977481
22.3,5.250181
22.35,10.07354
22.4,15.29535
22.45,19.34001
22.5,20.93921
22.55,19.57199
22.6,16.24428
22.65,12.23912
22.7,8.434269
22.75,5.294153
22.8,3.033412
22.85,1.603166
22.9,0.7451419
22.95,0.2843922
23,0.1182779
23.05,6.841715E-02
23.1,4.956094E-02
23.15,5.077542E-02
23.2,8.539458E-02
23.25,8.470401E-02
23.3,6.240103E-02
23.35,7.186653E-02
23.4,8.229878E-02
23.45,9.816331E-02
23.5,0.1101945
23.55,0.1262555
23.6,0.1241576
23.65,0.1053457
23.7,0.1106818
23.75,0.1258736
23.8,0.166536
23.85,0.2090555
23.9,0.247165
23.95,0.2555415
24,0.2542969
24.05,0.2770733
24.1,0.2765653
24.15,0.2842221
24.2,0.2766135
24.25,0.2718007
24.3,0.2485059
24.35,0.2212813
24.4,0.2068202
24.45,0.1946835
24.5,0.2035283
24.55,0.2030495
24.6,0.2288157
24.65,0.2176833
24.7,0.2081931
24.75,0.1995464
24.8,0.2061775
24.85,0.1886621
24.9,0.1899502
24.95,0.1944097
25,0.1950347
25.05,0.1892971
25.1,0.1828302
25.15,0.1720614
25.2,0.1537731
25.25,0.1553871
25.3,0.1556967
25.35,0.1720072
25.4,0.1800506
25.45,0.1570626
25.5,0.14062
25.55,0.1293703
25.6,0.144228
25.65,0.1660219
25.7,0.1964346
25.75,0.2072739
25.8,0.1870597
25.85,0.1687362
25.9,0.1601506
25.95,0.1562518
26,0.1519705
26.05,0.1590174
26.1,0.1634154
26.15,0.1845159
26.2,0.2072427
26.25,0.2306999
26.3,0.246043
26.35,0.2565051
26.4,0.2595735
26.45,0.2501446
26.5,0.2607458
26.55,0.2811048
26.6,0.2981642
26.65,0.3107786
26.7,0.3066513
26.75,0.2944505
26.8,0.296122
26.85,0.3096576
26.9,0.337604
26.95,0.3320172
27,0.311372
27.05,0.3037928
27.1,0.3071972
27.15,0.3119735
27.2,0.3036023
27.25,0.3007081
27.3,0.2980171
27.35,0.2937997
27.4,0.2859584
27.45,0.2654856
27.5,0.2721266
27.55,0.2778223
27.6,0.3070835
27.65,0.3309563
27.7,0.3386456
27.75,0.3241989
27.8,0.2941882
27.85,0.293379
27.9,0.280419
27.95,0.2629116
28,0.2541929
28.05,0.2501814
28.1,0.2575884
28.15,0.2889416
