Sample,Nucleotide,Timepoint,Plate,FileNumber,FracIntactNorm,FracIntact,TotalArea,Total_mRNA,PeakArea1,PeakArea2,PeakArea3
Eterna_hHBB+3XHANluc+JEV+hHBB+F30Pepper_EiFisker_Yellowstone,Unmodified,0.000000,1,2, 1.00000, 0.48128,482.25620,243.12531,200.42909,38.70180,117.01255
Eterna_hHBB+3XHANluc+JEV+hHBB+F30Pepper_EiFisker_Yellowstone,Unmodified,0.500000,1,3, 0.90170, 0.43397,491.59237,250.93970,200.96675,39.68592,108.90141
Eterna_hHBB+3XHANluc+JEV+hHBB+F30Pepper_EiFisker_Yellowstone,Unmodified,1.000000,1,4, 0.62199, 0.29935,529.01927,275.10815,205.71523,48.19589,82.35475
Eterna_hHBB+3XHANluc+JEV+hHBB+F30Pepper_EiFisker_Yellowstone,Unmodified,1.500000,1,5, 0.42218, 0.20319,578.91091,331.71155,199.89655,47.30282,67.40079
Eterna_hHBB+3XHANluc+JEV+hHBB+F30Pepper_EiFisker_Yellowstone,Unmodified,2.000000,1,6, 0.39276, 0.18903,513.72439,258.18918,204.06642,51.46879,48.80514
Eterna_hHBB+3XHANluc+JEV+hHBB+F30Pepper_EiFisker_Yellowstone,Unmodified,3.000000,1,7, 0.14062, 0.06768,542.04684,298.08048,194.06146,49.90490,20.17321
Eterna_hHBB+3XHANluc+JEV+hHBB+F30Pepper_EiFisker_Yellowstone,Unmodified,4.000000,1,8, 0.08036, 0.03868,569.39295,316.00252,197.32585,56.06458,12.22206
Eterna_hHBB+3XHANluc+JEV+hHBB+F30Pepper_EiFisker_Yellowstone,Unmodified,5.000000,1,9, 0.05000, 0.02406,557.32495,309.04500,195.24188,53.03807, 7.43673
Eterna_hHBB+3XHANluc+JEV+hHBB+F30Pepper_EiFisker_Yellowstone,Unmodified,18.000000,1,10, 0.00581, 0.00280,457.74481,214.52122,192.71131,50.51227, 0.59976
Eterna_hHBB+3XHANluc+JEV+hHBB+F30Pepper_EiFisker_Yellowstone,Unmodified,24.000000,1,11,-0.00065,-0.00031,576.99154,323.52915,192.77024,60.69215,-0.10077
Eterna_hHBB+3XHANluc+JEV+hHBB+F30Pepper_jiabei618_LinearDesign-1,Unmodified,0.000000,2,2, 1.00000, 0.50963,412.09229,204.84468,137.02395,70.22366,104.39583
Eterna_hHBB+3XHANluc+JEV+hHBB+F30Pepper_jiabei618_LinearDesign-1,Unmodified,0.500000,2,3, 1.30278, 0.66394,340.71428,136.71163,134.60881,69.39383,90.76866
Eterna_hHBB+3XHANluc+JEV+hHBB+F30Pepper_jiabei618_LinearDesign-1,Unmodified,1.000000,2,4, 0.89587, 0.45656,381.16913,176.86003,137.17972,67.12938,80.74786
Eterna_hHBB+3XHANluc+JEV+hHBB+F30Pepper_jiabei618_LinearDesign-1,Unmodified,1.500000,2,5, 0.77452, 0.39472,405.64211,197.10625,138.97571,69.56016,77.80234
