Sample,Nucleotide,Timepoint,Plate,FileNumber,FracIntactNorm,FracIntact,TotalArea,Total_mRNA,PeakArea1,PeakArea2,PeakArea3
hHBB_Yellowstone_hHBB-natural,natural,0.000000,1,1, 1.00000, 0.49760,1265.66079,861.47975,204.68790,199.49314,428.67123
hHBB_Yellowstone_hHBB-natural,natural,0.500000,1,2, 0.74768, 0.37204,806.01387,478.54070,214.41785,113.05532,178.03820
hHBB_Yellowstone_hHBB-natural,natural,1.000000,1,3, 0.43988, 0.21889,779.91712,473.51021,214.14701,92.25991,103.64480
hHBB_Yellowstone_hHBB-natural,natural,1.500000,1,4, 0.35184, 0.17508,662.91135,352.18030,216.61039,94.12067,61.65888
hHBB_Yellowstone_hHBB-natural,natural,2.000000,1,5, 0.24269, 0.12076,725.89624,417.95421,218.54638,89.39564,50.47378
hHBB_Yellowstone_hHBB-natural,natural,3.000000,1,6, 0.07592, 0.03778,705.23652,386.18343,218.93873,100.11435,14.58944
hHBB_Yellowstone_hHBB-natural,natural,4.000000,1,7, 0.07354, 0.03659,642.89284,352.78650,211.28152,78.82483,12.91022
hHBB_Yellowstone_hHBB-natural,natural,5.000000,1,8, 0.02917, 0.01452,714.33214,408.00371,214.51396,91.81448, 5.92302
hHBB_Yellowstone_hHBB-natural,natural,18.000000,1,9, 0.00117, 0.00058,690.77900,381.91687,214.24748,94.61465, 0.22268
hHBB_Yellowstone_hHBB-natural,natural,24.000000,1,10,-0.00079,-0.00039,868.33551,524.32364,213.29472,130.71715,-0.20537
hHBB_Yellowstone_hHBB-5mC,5mC,0.000000,1,11, 1.00000, 0.55082,565.74916,304.06397,217.68638,43.99881,167.48463
hHBB_Yellowstone_hHBB-5mC,5mC,0.500000,1,12, 0.64681, 0.35628,573.88531,308.74094,218.83486,46.30951,109.99716
hHBB_Yellowstone_hHBB-5mC,5mC,1.000000,2,1, 0.43120, 0.23752,529.55369,299.89668,190.94562,38.71138,71.23022
hHBB_Yellowstone_hHBB-5mC,5mC,1.500000,2,2, 0.29499, 0.16248,547.03787,314.57292,195.00909,37.45585,51.11305
hHBB_Yellowstone_hHBB-5mC,5mC,2.000000,2,3, 0.22654, 0.12478,596.99472,357.61030,192.55089,46.83353,44.62283
hHBB_Yellowstone_hHBB-5mC,5mC,3.000000,2,4, 0.12468, 0.06868,655.13467,408.43897,195.05474,51.64097,28.05071
hHBB_Yellowstone_hHBB-5mC,5mC,4.000000,2,5, 0.07847, 0.04322,645.99412,391.80701,198.98962,55.19750,16.93429
hHBB_Yellowstone_hHBB-5mC,5mC,5.000000,2,6, 0.04628, 0.02549,659.77889,401.37018,201.83364,56.57507,10.23265
hHBB_Yellowstone_hHBB-5mC,5mC,18.000000,2,7,-0.00154,-0.00085,633.96347,381.12733,190.91541,61.92074,-0.32261
hHBB_Yellowstone_hHBB-5mC,5mC,24.000000,2,8, 0.00112, 0.00061,626.75109,379.56081,191.62374,55.56653, 0.23324
hHBB_Yellowstone_hHBB-PSU,PSU,0.000000,6,11, 1.00000, 0.76766,683.80383,517.35583,121.34457,45.10344,397.15461
hHBB_Yellowstone_hHBB-PSU,PSU,0.500000,6,12, 0.79217, 0.60812,778.23982,597.15260,122.58210,58.50512,363.14027
hHBB_Yellowstone_hHBB-PSU,PSU,1.000000,7,1, 0.68318, 0.52445,786.04153,518.98156,218.36313,48.69684,272.18245
hHBB_Yellowstone_hHBB-PSU,PSU,1.500000,7,2, 0.64247, 0.49320,745.18374,462.93809,225.24595,56.99970,228.32202
hHBB_Yellowstone_hHBB-PSU,PSU,2.000000,7,3, 0.46941, 0.36035,793.52911,514.34634,226.91370,52.26907,185.34251
