Sample,Nucleotide,Timepoint,Plate,FileNumber,FracIntactNorm,FracIntact,TotalArea,Total_mRNA,PeakArea1,PeakArea2,PeakArea3
hHBB_LinearDesign-1_hHBB-natural,natural,0.000000,1,2, 1.00000, 0.69846,562.83479,435.13594,77.82905,49.86980,303.92588
hHBB_LinearDesign-1_hHBB-natural,natural,1.000000,1,4, 0.71167, 0.49707,653.30889,513.55223,74.35354,65.40312,255.27251
hHBB_LinearDesign-1_hHBB-natural,natural,3.000000,1,5, 0.48254, 0.33704,597.09048,462.28513,72.34876,62.45659,155.80714
hHBB_LinearDesign-1_hHBB-natural,natural,5.000000,1,6, 0.27877, 0.19471,604.66644,470.93647,70.34736,63.38261,91.69484
hHBB_LinearDesign-1_hHBB-PSU,PSU,0.000000,1,7, 1.00000, 0.77090,501.24719,388.39862,63.77948,49.06909,299.41826
hHBB_LinearDesign-1_hHBB-PSU,PSU,1.000000,1,8, 0.85087, 0.65594,491.29823,372.82366,63.72808,54.74649,244.55094
hHBB_LinearDesign-1_hHBB-PSU,PSU,3.000000,1,9, 0.70882, 0.54643,553.92391,437.53541,61.53619,54.85231,239.08396
hHBB_LinearDesign-1_hHBB-PSU,PSU,5.000000,1,10, 0.75673, 0.58337,410.91088,309.67636,61.03031,40.20420,180.65530
hHBB_Nluc-start_hHBB-natural,natural,0.000000,2,2, 1.00000, 0.74105,721.66536,565.77601,109.47990,46.40944,419.27028
hHBB_Nluc-start_hHBB-natural,natural,1.000000,2,3, 0.24593, 0.18225,693.58387,515.71808,105.34984,72.51595,93.99001
hHBB_Nluc-start_hHBB-natural,natural,3.000000,2,4, 0.02915, 0.02161,666.65986,494.54790,102.97462,69.13734,10.68481
hHBB_Nluc-start_hHBB-natural,natural,5.000000,2,5, 0.00873, 0.00647,595.96437,427.84496,103.66944,64.44997, 2.76751
hHBB_Nluc-start_hHBB-PSU,PSU,0.000000,2,6, 1.00000, 0.76625,983.88148,816.68891,99.84683,67.34573,625.78380
hHBB_Nluc-start_hHBB-PSU,PSU,1.000000,2,7, 0.48094, 0.36852,915.35505,742.44813,95.21147,77.69545,273.60654
hHBB_Nluc-start_hHBB-PSU,PSU,3.000000,2,8, 0.17514, 0.13420,928.00498,752.03057,91.42386,84.55054,100.92137
hHBB_Nluc-start_hHBB-PSU,PSU,5.000000,2,9, 0.06135, 0.04701,864.20498,699.80706,88.92504,75.47288,32.89822
CoV-2-TTG-TTGfull-dSL1-3_LinearDesign-1_DEN2-natural,natural,0.000000,3,2, 1.00000, 2.34042,304.15497,155.60711,84.13822,64.40964,364.18674
CoV-2-TTG-TTGfull-dSL1-3_LinearDesign-1_DEN2-natural,natural,1.000000,3,3, 0.22395, 0.52414,424.25261,282.86420,80.50865,60.87976,148.25967
CoV-2-TTG-TTGfull-dSL1-3_LinearDesign-1_DEN2-natural,natural,3.000000,3,4, 0.05533, 0.12950,728.34566,559.91199,80.88831,87.54535,72.51134
CoV-2-TTG-TTGfull-dSL1-3_LinearDesign-1_DEN2-natural,natural,5.000000,3,5, 0.01433, 0.03353,703.19460,558.88769,79.25577,65.05114,18.73977
CoV-2-TTG-TTGfull-dSL1-3_LinearDesign-1_DEN2-PSU,PSU,0.000000,3,6, 1.00000, 1.26991,428.36471,252.42792,78.65287,97.28391,320.56061
CoV-2-TTG-TTGfull-dSL1-3_LinearDesign-1_DEN2-PSU,PSU,1.000000,3,7, 0.33300, 0.42288,510.50898,353.10134,66.50288,90.90476,149.31938
CoV-2-TTG-TTGfull-dSL1-3_LinearDesign-1_DEN2-PSU,PSU,3.000000,3,8, 0.01712, 0.02175,657.58807,512.82000,66.76213,78.00595,11.15197
CoV-2-TTG-TTGfull-dSL1-3_LinearDesign-1_DEN2-PSU,PSU,5.000000,3,9, 0.00862, 0.01095,741.17852,606.74302,62.57558,71.85992, 6.64341
CoV-2-TTG-TTGfull-dSL1-3_Nluc_start_DEN2-natural,natural,0.000000,4,2, 1.00000, 4.08208,316.14314,162.82566,94.90420,58.41329,664.66737
CoV-2-TTG-TTGfull-dSL1-3_Nluc_start_DEN2-natural,natural,1.000000,4,3,-0.00082,-0.00337,241.53166,73.95466,89.62555,77.95145,-0.24898
CoV-2-TTG-TTGfull-dSL1-3_Nluc_start_DEN2-natural,natural,3.000000,4,4, 0.00084, 0.00341,1073.63198,874.21577,92.83446,106.58175, 2.97987
