Sample,Nucleotide,Timepoint,Plate,FileNumber,FracIntactNorm,FracIntact,TotalArea,Total_mRNA,PeakArea1,PeakArea2,PeakArea3
hHBB_10383581_START_reference_hHBB,PSU,0.000000,1,1, 1.00000, 0.72296,657.68102,495.01385,107.07062,55.59655,357.87436
hHBB_10383581_START_reference_hHBB,PSU,1.000000,1,2, 0.56724, 0.41009,635.46214,470.05810,109.07146,56.33258,192.76792
hHBB_10383581_START_reference_hHBB,PSU,3.000000,1,3, 0.29956, 0.21657,589.17711,413.54934,110.23034,65.39744,89.56273
hHBB_10383581_START_reference_hHBB,PSU,5.000000,1,4, 0.18291, 0.13223,580.07805,415.18307,107.61222,57.28275,54.90119
hHBB_10383601_LinearDesign-beamsize50-USETHISONE_hHBB,PSU,0.000000,1,5, 1.00000, 0.62472,520.34633,353.00242,107.74361,59.60030,220.52631
hHBB_10383601_LinearDesign-beamsize50-USETHISONE_hHBB,PSU,1.000000,1,6, 1.02799, 0.64220,416.67140,239.49330,114.52004,62.65806,153.80327
hHBB_10383601_LinearDesign-beamsize50-USETHISONE_hHBB,PSU,3.000000,1,7, 0.48492, 0.30294,470.84122,317.42146,97.09969,56.32007,96.15829
hHBB_10383601_LinearDesign-beamsize50-USETHISONE_hHBB,PSU,5.000000,1,8, 0.36674, 0.22911,466.37962,323.43889,97.18025,45.76049,74.10253
hHBB_10383653_GC_rich_2_hHBB,PSU,0.000000,1,9, 1.00000, 0.79723,622.41367,469.64961,99.41158,53.35248,374.41648
hHBB_10383653_GC_rich_2_hHBB,PSU,1.000000,1,10, 0.57370, 0.45737,570.32820,419.85218,97.52368,52.95235,192.02852
hHBB_10383653_GC_rich_2_hHBB,PSU,3.000000,1,11, 0.24770, 0.19747,608.74480,457.09638,92.35499,59.29343,90.26346
hHBB_10383653_GC_rich_2_hHBB,PSU,5.000000,1,12, 0.14272, 0.11378,572.92923,438.79280,89.04968,45.08674,49.92542
hHBB_10383651_GC_rich_1_hHBB,PSU,0.000000,2,1, 1.00000, 0.71433,611.30006,502.37466,53.85716,55.06825,358.85986
hHBB_10383651_GC_rich_1_hHBB,PSU,1.000000,2,2, 0.58480, 0.41774,497.80044,388.02517,54.59096,55.18431,162.09415
hHBB_10383651_GC_rich_1_hHBB,PSU,3.000000,2,3, 0.27311, 0.19509,709.56230,583.70381,53.46392,72.39458,113.87344
hHBB_10383651_GC_rich_1_hHBB,PSU,5.000000,2,4, 0.16562, 0.11831,485.87513,387.12909,51.46460,47.28144,45.79990
hHBB_10388774_Twist_1_hHBB,PSU,0.000000,2,5, 1.00000, 0.61618,484.40515,379.56176,52.00001,52.84339,233.87859
hHBB_10388774_Twist_1_hHBB,PSU,1.000000,2,6, 0.64606, 0.39809,432.19547,326.26175,50.61632,55.31741,129.88097
hHBB_10388774_Twist_1_hHBB,PSU,3.000000,2,7, 0.29136, 0.17953,489.72644,378.78131,45.53190,65.41323,68.00316
hHBB_10388774_Twist_1_hHBB,PSU,5.000000,2,8, 0.16568, 0.10209,335.72157,247.84872,44.14759,43.72526,25.30199
hHBB_10388767_Genewiz_1_hHBB,PSU,0.000000,2,9, 1.00000, 0.76987,478.69461,386.34455,42.32465,50.02542,297.43490
