,index,Sample,Nucleotide,Timepoint,Plate,FileNumber,filename,time,fu,nt,peak_idx,widths,loc_curated,w_curated,peak_nts,peak_area,backgd_area,peak_area_backsub,total_area,frac_intact,frac_norm
0,0,hHBB_10383581_START_reference_hHBB,PSU,0,1,1,nts-Eukaryote Total RNA Nano_2020-12-02_14-31-30_Sample1.csv,[17.   17.05 17.1  ... 69.85 69.9  69.95],[-0.2112787 -0.2134546 -0.1750618 ...  0.1230125  0.1230125  0.1230125],"[  -60.95978156   -60.12814982   -59.30094682 ... 19318.80827183
 19378.14304902 19437.60650104]",[110 263 390],[5.98846369 7.73074297 6.95078984],[110 263 390],[5.98846369 7.73074297 6.95078984],[ 23.34814491 282.58199462 857.84402345],[106.3388884  59.8591601 344.9597069],[12.8678664 15.2314904 86.7532673],[ 93.471022   44.6276697 258.2064396],655.14936728,5.785792566265228,1.0
1,1,hHBB_10383581_START_reference_hHBB,PSU,1,1,2,nts-Eukaryote Total RNA Nano_2020-12-02_14-31-30_Sample2.csv,[17.   17.05 17.1  ... 69.85 69.9  69.95],[0.00248901 0.04364058 0.08847702 ... 0.02961349 0.02961349 0.02961349],"[  -60.95978156   -60.12814982   -59.30094682 ... 19318.80827183
 19378.14304902 19437.60650104]",[110 262 391],[5.96583474 7.86556786 7.79422387],[110 262 391],[5.96583474 7.86556786 7.79422387],[ 23.34814491 279.69296203 864.32051015],[107.9658744  66.396139  213.539346 ],[11.3207424 23.7731344 62.92044  ],[ 96.645132   42.6230046 150.618906 ],632.4872427979999,3.5337467973808683,0.6107627877958867
2,2,hHBB_10383581_START_reference_hHBB,PSU,3,1,3,nts-Eukaryote Total RNA Nano_2020-12-02_14-31-30_Sample3.csv,[17.   17.05 17.1  ... 69.85 69.9  69.95],"[-0.0086578  -0.03545208 -0.07573447 ... -0.06667328 -0.06667328
 -0.06667328]","[  -60.95978156   -60.12814982   -59.30094682 ... 19318.80827183
 19378.14304902 19437.60650104]",[110 262 338 392],[ 6.14879271  8.34354447 15.56988324  8.98205371],[110 262 392],[6.14879271 8.34354447 8.98205371],[ 23.34814491 279.69296203 870.83230289],[108.1784704  87.17422   116.598741 ],[ 1.4640619 33.645033  44.262216 ],[106.7144085  53.529187   72.336525 ],587.0590643779996,1.3513473499980482,0.2335630485401852
3,3,hHBB_10383581_START_reference_hHBB,PSU,5,1,4,nts-Eukaryote Total RNA Nano_2020-12-02_14-31-30_Sample4.csv,[17.   17.05 17.1  ... 69.85 69.9  69.95],[0.05726109 0.05824839 0.0553504  ... 0.1184273  0.1184273  0.1184273 ],"[  -60.95978156   -60.12814982   -59.30094682 ... 19318.80827183
 19378.14304902 19437.60650104]",[110 262 338 393],[ 6.0572978  10.47426774 18.88167043  8.00362773],[110 262 393],[ 6.0572978  10.47426774  8.00362773],[ 23.34814491 279.69296203 877.37951766],[107.03242158  92.48844     78.17491   ],[ 2.47764706 42.172592   34.737381  ],[104.55477452  50.315848    43.437529  ],576.7132718000001,0.8632971663321667,0.14920983710437988
4,4,hHBB_10383601_LinearDesign-beamsize50-USETHISONE_hHBB,PSU,0,1,5,nts-Eukaryote Total RNA Nano_2020-12-02_14-31-30_Sample5.csv,[17.   17.05 17.1  ... 69.85 69.9  69.95],[-0.1123678 -0.1114804 -0.1196878 ...  0.1233635  0.1233635  0.1233635],"[  -60.95978156   -60.12814982   -59.30094682 ... 19318.80827183
 19378.14304902 19437.60650104]",[110 262 392],[5.97131961 7.93130303 6.60312486],[110 262 392],[5.97131961 7.93130303 6.60312486],[ 23.34814491 279.69296203 870.83230289],[108.4736593  62.6180273 216.0954419],[11.4130218 17.9653816 59.4169793],[ 97.0606375  44.6526457 156.6784626],516.94144203,3.5088282036555785,1.0
5,5,hHBB_10383601_LinearDesign-beamsize50-USETHISONE_hHBB,PSU,1,1,6,nts-Eukaryote Total RNA Nano_2020-12-02_14-31-30_Sample6.csv,[17.   17.05 17.1  ... 69.85 69.9  69.95],[-0.1738982 -0.1554702 -0.1528477 ... -0.2131462 -0.2131462 -0.2131462],"[  -60.95978156   -60.12814982   -59.30094682 ... 19318.80827183
 19378.14304902 19437.60650104]",[110 263 393],[6.11888816 8.02313016 7.22784008],[110 263 393],[6.11888816 8.02313016 7.22784008],[ 23.34814491 282.58199462 877.37951766],[110.66800851  65.2145424  166.361514  ],[ 4.5682798 11.0263635 43.644872 ],[106.09972871  54.1881789  122.716642  ],416.05067151499986,2.2646386073697715,0.6454116519613068
6,6,hHBB_10383601_LinearDesign-beamsize50-USETHISONE_hHBB,PSU,3,1,7,nts-Eukaryote Total RNA Nano_2020-12-02_14-31-30_Sample7.csv,[17.   17.05 17.1  ... 69.85 69.9  69.95],"[-0.1251539  -0.1035929  -0.08551167 ...  0.1519127   0.1519127
  0.1519127 ]","[  -60.95978156   -60.12814982   -59.30094682 ... 19318.80827183
 19378.14304902 19437.60650104]",[110 262 336 392],[5.96623151 7.81281388 6.80309351 7.91339843],[110 262 392],[5.96623151 7.81281388 7.91339843],[ 23.34814491 279.69296203 870.83230289],[ 99.3783728  65.1803324 123.891087 ],[ 8.9317308 17.1251904 44.698856 ],[90.446642 48.055142 79.192231],467.3337175070002,1.6479450003498064,0.46965679272440275
7,7,hHBB_10383601_LinearDesign-beamsize50-USETHISONE_hHBB,PSU,5,1,8,nts-Eukaryote Total RNA Nano_2020-12-02_14-31-30_Sample8.csv,[17.   17.05 17.1  ... 69.85 69.9  69.95],[0.00042245 0.05074899 0.07853856 ... 0.1225357  0.1225357  0.1225357 ],"[  -60.95978156   -60.12814982   -59.30094682 ... 19318.80827183
 19378.14304902 19437.60650104]",[110 262 336 392],[5.92251909 7.81092281 6.69452756 8.44113777],[110 262 392],[5.92251909 7.81092281 8.44113777],[ 23.34814491 279.69296203 870.83230289],[ 99.3681689  54.9593893 104.59316  ],[ 8.4553434 18.5512176 40.400991 ],[90.9128255 36.4081717 64.192169 ],463.0363541667998,1.763125309585375,0.5024826543939969
8,8,hHBB_10383653_GC_rich_2_hHBB,PSU,0,1,9,nts-Eukaryote Total RNA Nano_2020-12-02_14-31-30_Sample9.csv,[17.   17.05 17.1  ... 69.85 69.9  69.95],"[-0.123392   -0.1252729  -0.1311057  ...  0.07453156  0.07453156
  0.07453156]","[  -60.95978156   -60.12814982   -59.30094682 ... 19318.80827183
 19378.14304902 19437.60650104]",[110 262 390],[6.03659688 7.90367349 8.73712277],[110 262 390],[6.03659688 7.90367349 8.73712277],[ 23.34814491 279.69296203 857.84402345],[ 97.18735146  56.4702883  371.4146    ],[ 1.8295403 14.0637432 69.617799 ],[ 95.35781116  42.4065451  301.796801  ],621.4381528259997,7.116750498969558,1.0
9,9,hHBB_10383653_GC_rich_2_hHBB,PSU,1,1,10,nts-Eukaryote Total RNA Nano_2020-12-02_14-31-30_Sample10.csv,[17.   17.05 17.1  ... 69.85 69.9  69.95],[-0.1920945 -0.1751174 -0.1467825 ...  0.1838837  0.1838837  0.1838837],"[  -60.95978156   -60.12814982   -59.30094682 ... 19318.80827183
 19378.14304902 19437.60650104]",[110 261 389],[6.0612049  7.80137875 9.87140399],[110 261 389],[6.0612049  7.80137875 9.87140399],[ 23.34814491 276.82487886 851.40272689],[ 97.0117288  61.12427   216.471478 ],[ 3.1795484 19.5853504 63.17777  ],[ 93.8321804  41.5389196 153.293708 ],566.9096613039999,3.690363386340941,0.518546123947337
